date,high,low,open,close,volume
1520883000,182.39,181.72,181.88,181.72,2163689
1520881200,181.99,181.54,181.7,181.89,371192
1520879400,181.71,181.13,181.51,181.7,252997
1520877600,181.79,181.07,181.65,181.52,278494
1520875800,182.18,181.61,182.02,181.65,288728
1520874000,182.11,181.73,181.77,182.03,290425
1520872200,182,181.66,181.94,181.75,197001
1520870400,182.08,181.82,181.89,181.95,361191
1520868600,181.88,180.99,181.02,181.88,331220
1520866800,181.88,180.89,181.59,181.01,451134
1520865000,182.2,181.58,181.85,181.6,722030
1520863200,182,181.41,181.42,181.85,539574
1520861400,181.92,180.21,180.23,181.41,1608407
1520627400,180,179.56,179.795,179.98,3589067
1520625600,179.79,179.57,179.65,179.79,474246
1520623800,179.66,179.36,179.46,179.65,284895
1520622000,179.71,179.29,179.52,179.45,366555
1520620200,179.53,178.92,179.09,179.52,363517
1520618400,179.35,179.06,179.12,179.08,277002
1520616600,179.46,178.93,179.245,179.11,238268
1520614800,179.65,179.23,179.43,179.24,327287
1520613000,179.62,179.11,179.29,179.425,420746
1520611200,179.3,178.57,178.59,179.3,590483
1520609400,178.91,178.46,178.67,178.6,393624
1520607600,178.72,177.94,178,178.65,613809
1520605800,178.44,177.39,177.77,177.98,1285226
1520541000,176.97,176.28,176.88,176.94,1885591
1520539200,177.1,176.74,176.97,176.89,370618
1520537400,177.09,176.34,176.59,176.96,356845
1520535600,176.73,176.26,176.64,176.6,247826
1520533800,176.67,176.11,176.25,176.63,217661
1520532000,176.95,176.06,176.65,176.27,299777
1520530200,176.67,176.19,176.51,176.64,227294
1520528400,176.705,176.06,176.43,176.54,391113
1520526600,176.49,175.96,176.21,176.42,321359
1520524800,176.29,175.45,175.49,176.22,417388
1520523000,175.66,175.26,175.6,175.47,342085
1520521200,175.69,175.08,175.4,175.61,462764
1520519400,176.05,175.24,175.41,175.33,994467
1520454600,175.33,174.73,175.09,175.03,2830850
1520452800,175.59,174.89,175.05,175.08,540167
1520451000,175.49,174.92,175.26,175.06,320396
1520449200,175.61,175.05,175.24,175.25,284345
1520447400,175.72,175.05,175.65,175.25,268499
