date,high,low,open,close,volume
1520883000,99.02,97.48,98.54,97.67,497665
1520881200,98.58,98.33,98.34,98.54,12171
1520879400,98.46,98.27,98.38,98.33,9268
1520877600,98.63,98.27,98.52,98.39,8823
1520875800,98.62,98.39,98.44,98.5,10163
1520874000,98.52,98.16,98.331,98.44,10897
1520872200,98.55,98.24,98.47,98.24,5370
1520870400,98.59,98.44,98.56,98.48,5884
1520868600,98.79,98.45,98.48,98.51,11248
1520866800,98.94,98.4,98.88,98.46,23436
1520865000,99.29,98.89,99.29,98.89,16897
1520863200,99.34,99.05,99.15,99.31,19247
1520861400,99.69,98.99,99.09,99.17,90189
1520627400,99.09,98.7,98.83,99.04,141765
1520625600,98.88,98.67,98.78,98.8,20790
1520623800,98.78,98.5,98.52,98.78,11362
1520622000,98.96,98.47,98.81,98.5,15659
1520620200,98.75,98.24,98.24,98.75,38242
1520618400,98.43,98.18,98.27,98.25,26015
1520616600,98.38,98.14,98.14,98.24,10664
1520614800,98.31,97.97,97.97,98.15,14763
1520613000,97.99,97.67,97.71,97.96,7474
1520611200,97.83,97.47,97.7,97.73,18146
1520609400,97.93,97.52,97.65,97.7,14052
1520607600,97.71,97.28,97.39,97.61,16825
1520605800,97.69,97.09,97.59,97.42,84158
1520541000,96.63,96.11,96.61,96.57,196524
1520539200,96.67,96.24,96.26,96.6,37947
1520537400,96.31,95.85,95.95,96.23,18393
1520535600,96,95.67,95.86,95.95,18017
1520533800,95.85,95.5,95.63,95.85,14112
1520532000,95.95,95.57,95.65,95.63,13717
1520530200,95.75,95.5,95.72,95.63,15978
1520528400,95.85,95.39,95.79,95.71,14992
1520526600,95.99,95.64,95.95,95.82,17537
1520524800,96.2,95.61,95.63,95.94,21698
1520523000,95.72,95.11,95.24,95.66,21453
1520521200,95.65,95.23,95.63,95.23,35294
1520519400,96.44,95.6,96.04,95.62,75461
1520454600,95.69,95.35,95.53,95.63,191663
1520452800,95.54,94.96,94.96,95.49,22698
1520451000,95.2,94.8,94.85,94.89,14312
1520449200,95,94.45,94.74,94.73,25167
1520447400,95.06,94.63,95,94.72,21701
1520445600,94.93,94.4,94.65,94.93,12421
1520443800,94.84,94.37,94.4,94.78,18818
1520442000,94.7,94.28,94.61,94.42,31428
1520440200,95.4,94.59,95.27,94.59,15307
1520438400,95.46,95.1,95.34,95.22,11652
1520436600,95.63,95.15,95.21,95.31,12916
1520434800,95.35,95.05,95.09,95.18,19020
1520433000,95.7,94.89,95.21,95.09,58857
1520368200,96.28,95.91,96.17,96.08,123975
1520366400,96.21,95.9,96.09,96.17,25480
1520364600,96.47,96.13,96.13,96.13,16949
1520362800,96.23,96.01,96.09,96.11,14851
1520361000,96.44,95.98,96.41,96.02,16024
1520359200,96.73,96.34,96.42,96.39,13521
1520357400,96.41,95.45,95.5,96.36,19567
1520355600,95.57,95.34,95.48,95.4,12701
1520353800,95.46,95.17,95.3,95.46,23902
1520352000,95.51,95.22,95.35,95.29,22285
1520350200,95.9,95.32,95.775,95.33,25636
1520348400,95.92,95.45,95.77,95.77,38384
1520346600,96.885,95.73,96.88,95.73,71881
1520281800,97.14,96.66,96.94,96.67,125590
