date,high,low,open,close,volume
1520883000,346.09,344.2,344.82,344.26,130426
1520881200,345.54,344.44,344.53,344.805,23314
1520879400,345.19,344.021,345.03,344.4,21608
1520877600,346.2,344.7,346,345.08,13165
1520875800,346.57,344.6,344.85,346.37,15379
1520874000,345.48,344.8,345.08,344.94,14862
1520872200,346.5,345,346.01,345.08,16094
1520870400,347.02,345.19,345.19,345.99,27582
1520868600,346.2,343.48,343.79,345,46123
1520866800,347.32,343.31,346.71,343.7,56005
1520865000,350.22,346.76,349.9,346.76,41739
1520863200,351.72,349.59,351.51,349.59,37203
1520861400,355.23,350.94,355.02,351.72,83642
1520627400,354.78,353.39,353.5,354.53,97858
1520625600,353.45,352.52,352.55,353.45,57634
1520623800,353.79,352.42,353.12,352.51,13708
1520622000,354.1,352.95,353.84,353.22,8039
1520620200,354.61,353.51,354.61,353.75,7957
1520618400,354.89,353.66,353.77,354.6,13365
1520616600,354.25,353.31,353.9,353.47,10909
1520614800,354.49,353.26,353.3,354.03,19141
1520613000,353.75,352.6,353.57,352.9,12895
1520611200,353.5,352.46,352.6,353.44,30966
1520609400,352.8,351.23,351.33,352.57,16901
1520607600,351.65,350.66,351.4,351.05,16269
1520605800,352.91,350.36,352.75,350.99,117434
1520541000,348.87,346.53,348.85,348.68,80838
1520539200,349,346.51,346.56,348.78,22040
1520537400,346.68,344.71,344.86,346.56,13634
1520535600,345.62,344.75,345.34,345.14,9767
1520533800,345.5,344,345.37,345.5,13810
1520532000,347.21,345.5,346.19,345.53,9965
1520530200,346.43,345.6,346.17,346.19,9375
1520528400,347.61,345.72,347.61,346.25,18232
1520526600,348.88,347.26,348.88,347.65,17699
1520524800,349.45,347.11,347.3,348.9,14762
1520523000,348.99,347,348.85,347.3,21781
1520521200,349.69,348.28,349.32,349.02,13783
1520519400,352.5,348.74,349.51,348.88,96654
1520454600,347.97,346.47,347.28,347.12,58248
1520452800,347.89,345.15,345.15,347.27,24923
1520451000,346.05,344.15,345.07,345.07,19118
1520449200,345.73,344.52,344.9,345.02,15017
1520447400,345.349,344.25,344.3,344.88,13948
1520445600,344,342.26,343.25,344,12507
1520443800,343.92,342.835,343.57,343.64,10067
1520442000,344.02,342.36,342.97,343.95,25511
1520440200,346.83,342.78,346.5,342.78,25383
1520438400,347.59,346.09,347.25,346.57,11211
1520436600,348.34,346.31,347.5,347.35,23023
1520434800,347.5,343.81,345.51,347.34,36972
1520433000,347.51,339.75,341.23,345.51,175479
1520368200,350.75,348.56,350.03,349.06,92884
1520366400,350.9,349.56,350.77,350.01,16565
1520364600,352,350.01,350.01,350.64,16037
1520362800,350.61,349.12,350.61,349.82,16198
1520361000,352.43,349.6,352.16,350.54,13348
1520359200,353.33,351.47,351.75,352.33,29904
1520357400,351.55,347.03,347.03,351.55,20936
1520355600,348,346.87,347.55,347.03,11365
1520353800,347.7,346.12,346.36,347.5,16269
