date,high,low,open,close,volume
1520883000,45.71,45.54,45.59,45.55,2055827
1520881200,45.595,45.49,45.49,45.59,223301
1520879400,45.54,45.43,45.53,45.49,206517
1520877600,45.69,45.48,45.66,45.52,215592
1520875800,45.74,45.66,45.69,45.66,165599
1520874000,45.7,45.635,45.64,45.69,177452
1520872200,45.71,45.595,45.69,45.64,153575
1520870400,45.725,45.61,45.67,45.69,245458
1520868600,45.67,45.48,45.48,45.66,297188
1520866800,45.61,45.4,45.53,45.47,245795
1520865000,45.78,45.52,45.78,45.54,350173
1520863200,45.835,45.67,45.68,45.79,494692
1520861400,45.87,45.49,45.55,45.68,989683
1520627400,45.46,45.26,45.46,45.37,2952363
1520625600,45.49,45.4,45.485,45.46,247206
1520623800,45.48,45.385,45.47,45.48,198172
1520622000,45.54,45.38,45.41,45.48,245154
1520620200,45.47,45.39,45.41,45.41,183481
1520618400,45.41,45.3,45.3,45.41,150945
1520616600,45.4,45.26,45.34,45.29,128362
1520614800,45.37,45.15,45.15,45.35,194163
1520613000,45.19,45.055,45.1,45.15,153711
1520611200,45.24,45.03,45.23,45.09,174048
1520609400,45.23,45.04,45.07,45.22,227963
1520607600,45.115,44.77,44.895,45.07,484494
1520605800,44.97,44.63,44.63,44.9,789514
1520541000,44.35,44.08,44.275,44.34,2013175
1520539200,44.3,44.235,44.27,44.28,260671
1520537400,44.265,44.075,44.1,44.265,406276
1520535600,44.11,44.04,44.09,44.1,123848
1520533800,44.11,44.01,44.05,44.08,161440
1520532000,44.155,44.01,44.12,44.05,140754
1520530200,44.12,44.02,44.08,44.12,131370
1520528400,44.1,43.94,44.07,44.07,151912
1520526600,44.09,43.94,43.96,44.07,203084
1520524800,44.12,43.95,43.97,43.96,300161
1520523000,44.16,43.97,44.13,43.97,239860
1520521200,44.23,44.06,44.16,44.13,240711
1520519400,44.4,44.12,44.31,44.15,581591
1520454600,44.335,44.19,44.26,44.2,2560039
1520452800,44.39,44.195,44.2,44.26,388378
1520451000,44.29,44.16,44.22,44.2,205882
1520449200,44.32,44.075,44.13,44.21,303588
1520447400,44.22,44.09,44.19,44.13,288195
1520445600,44.19,43.91,44.05,44.18,145623
1520443800,44.07,43.92,43.95,44.05,189691
1520442000,43.98,43.8,43.94,43.95,288785
1520440200,44.17,43.93,44.08,43.93,172206
1520438400,44.19,43.96,44.17,44.06,142800
1520436600,44.2,44.07,44.12,44.17,181428
1520434800,44.17,43.965,44.06,44.12,307251
1520433000,44.23,43.88,44.03,44.07,900464
1520368200,44.37,44.205,44.29,44.29,2042076
1520366400,44.37,44.22,44.37,44.3,265336
1520364600,44.44,44.26,44.26,44.37,186021
1520362800,44.34,44.18,44.3,44.25,237329
1520361000,44.51,44.26,44.47,44.295,184016
1520359200,44.58,44.42,44.48,44.47,231045
1520357400,44.49,44.265,44.28,44.48,215973
1520355600,44.47,44.27,44.46,44.29,155605
1520353800,44.48,44.14,44.23,44.46,257654
1520352000,44.49,44.215,44.27,44.23,254961
1520350200,44.67,44.27,44.62,44.28,264900
1520348400,44.69,44.44,44.49,44.62,330626
1520346600,44.785,44.48,44.67,44.49,1221963
1520281800,44.76,44.52,44.56,44.52,2688915
1520280000,44.65,44.53,44.62,44.56,205410
1520278200,44.63,44.48,44.48,44.62,184630
1520276400,44.63,44.38,44.62,44.46,161330
1520274600,44.675,44.485,44.615,44.62,160759
1520272800,44.71,44.6,44.62,44.61,160952
1520271000,44.62,44.5,44.56,44.62,172946
1520269200,44.675,44.45,44.55,44.56,222239
1520267400,44.57,44.335,44.4,44.55,275657
1520265600,44.51,44.22,44.25,44.4,396565
1520263800,44.26,43.88,43.93,44.26,264894
1520262000,44.04,43.7,44.01,43.92,290535
1520260200,44.05,43.77,43.92,44,904683
1520022600,44.2,43.775,43.78,44.06,3377671
1520020800,43.815,43.61,43.72,43.78,411134
1520019000,43.88,43.61,43.72,43.72,327546
1520017200,43.83,43.57,43.57,43.72,304937
1520015400,43.66,43.415,43.52,43.56,252367
1520013600,43.79,43.52,43.77,43.52,271767
1520011800,43.84,43.56,43.67,43.78,324465
1520010000,43.68,43.47,43.65,43.65,317886
1520008200,43.67,43.31,43.39,43.66,381341
1520006400,43.435,43.22,43.34,43.39,598393
1520004600,43.58,43.31,43.35,43.35,449834
1520002800,43.46,43.21,43.33,43.35,551305
1520001000,43.42,43.11,43.29,43.33,1338405
1519936200,43.975,43.57,43.88,43.8,3525503
1519934400,44.04,43.48,43.62,43.88,673175
1519932600,43.71,43.43,43.64,43.62,671884
1519930800,43.71,43.35,43.68,43.63,894075
1519929000,44.02,43.67,43.95,43.68,423566
1519927200,44.21,43.81,44.21,43.95,629478
1519925400,44.36,44.15,44.32,44.22,469865
1519923600,44.74,44.27,44.74,44.33,526983
1519921800,44.83,44.51,44.58,44.74,388598
1519920000,44.8,44.53,44.64,44.59,424390
1519918200,45,44.61,44.78,44.64,549773
1519916400,44.79,44.34,44.4,44.78,545388
1519914600,44.97,44.33,44.68,44.4,1339680
1519849800,45.29,44.78,45.19,44.78,5087712
1519848000,45.41,45.075,45.37,45.18,484807
1519846200,45.735,45.345,45.73,45.36,294804
1519844400,45.88,45.71,45.81,45.72,230014
1519842600,45.815,45.675,45.73,45.805,168884
1519840800,45.745,45.56,45.6,45.73,169549
1519839000,45.61,45.37,45.37,45.6,221506
1519837200,45.445,45.31,45.425,45.38,249383
1519835400,45.42,45.195,45.39,45.42,366157
1519833600,45.42,45.2,45.37,45.385,358226
1519831800,45.63,45.31,45.54,45.37,449628
1519830000,45.62,45.48,45.615,45.54,221529
1519828200,45.61,45.19,45.27,45.61,870251
1519763400,45.29,45.02,45.125,45.04,3440508
1519761600,45.16,44.995,45.13,45.12,375322
1519759800,45.24,45.05,45.12,45.14,230607
1519758000,45.17,45.01,45.13,45.13,263378
1519756200,45.21,45.06,45.16,45.12,176543
1519754400,45.19,45.01,45.07,45.16,198793
1519752600,45.08,44.73,44.77,45.07,264824
1519750800,44.93,44.625,44.76,44.78,288629
1519749000,45.02,44.76,44.96,44.76,309490
1519747200,45.16,44.92,45,44.96,314617
1519745400,45.37,44.95,45.35,45,404860
1519743600,45.45,44.985,44.985,45.355,471720
1519741800,45.605,44.93,45.5,44.97,1379660
1519677000,45.435,45.24,45.4,45.36,3515932
1519675200,45.445,45.305,45.305,45.41,360185
1519673400,45.35,45.22,45.34,45.31,289193
1519671600,45.38,45.275,45.28,45.34,256763
1519669800,45.33,45.205,45.28,45.27,319846
1519668000,45.29,45.085,45.085,45.29,370443
1519666200,45.12,44.875,44.93,45.09,619443
1519664400,44.93,44.82,44.825,44.93,304208
1519662600,44.84,44.68,44.75,44.82,228617
1519660800,44.75,44.49,44.5,44.75,385516
1519659000,44.65,44.43,44.45,44.51,376488
1519657200,44.62,44.43,44.45,44.46,515908
1519655400,44.55,44.2,44.2,44.45,1107277
1519417800,44.03,43.83,43.85,44,3132147
1519416000,43.9,43.69,43.7,43.85,362709
1519414200,43.75,43.45,43.5,43.69,299118
1519412400,43.52,43.425,43.44,43.5,166528
1519410600,43.45,43.39,43.435,43.44,155757
1519408800,43.44,43.31,43.36,43.44,141480
