date,high,low,open,close,
1520884800,25180.47,25178.48,25180.47,25178.61,
1520883000,25280.27,25179.67,25207.36,25180.51,
1520881200,25219.15,25164.78,25168.55,25207.73,
1520879400,25200.7,25152.02,25192.55,25168.39,
1520877600,25240.2,25176.2,25218.8,25192.81,
1520875800,25241.68,25194.86,25204.57,25219.03,
1520874000,25218.64,25191.14,25195.64,25204.56,
1520872200,25252.76,25185.77,25237.79,25196.01,
1520870400,25256.61,25221.76,25223.49,25237.93,
1520868600,25248.5,25177.64,25182.43,25223.02,
1520866800,25279.72,25175.84,25252.68,25181.95,
1520865000,25368.77,25253.18,25368.77,25253.36,
1520863200,25417.01,25356.99,25416.35,25369.25,
1520861400,25449.15,25367.66,25372.44,25416.23,
1520629200,25335.88,25332.92,25332.92,25335.74,
1520627400,25336.33,25265.12,25274.89,25332.99,
1520625600,25285.65,25251.44,25271.74,25273.63,
1520623800,25282.72,25256.13,25261.35,25271.64,
1520622000,25300.31,25243.55,25271.71,25261.36,
1520620200,25279.88,25257.3,25274.53,25269.94,
1520618400,25282.1,25220.85,25220.85,25272.61,
1520616600,25247.44,25214.38,25220.64,25219.57,
1520614800,25240.53,25173.31,25173.63,25220.89,
1520613000,25194.95,25160.19,25186.8,25173.72,
1520611200,25187.11,25139.85,25147.32,25184.65,
1520609400,25177.98,25091.47,25098.54,25147.2,
1520607600,25115.24,25040.13,25060.9,25097.5,
1520605800,25076.7,25004.89,25004.89,25063.72,
1520542800,24895.83,24894.11,24894.59,24895.21,
1520541000,24900.13,24781.34,24888.26,24893.63,
1520539200,24908.41,24837.16,24837.16,24887.51,
1520537400,24841.33,24743.33,24766.45,24839.62,
1520535600,24769.91,24724.54,24761.4,24766.69,
1520533800,24765.89,24703.05,24735.48,24761.12,
1520532000,24797.3,24719,24761.27,24735.29,
1520530200,24778.33,24725.46,24766.59,24760.04,
1520528400,24813.33,24712.8,24799.95,24766.5,
1520526600,24844.94,24761.81,24844.94,24799.28,
1520524800,24880,24800.23,24818.49,24844.7,
1520523000,24851.34,24779.49,24847.94,24818.16,
1520521200,24893.07,24830.3,24881.09,24848.98,
1520519400,24950.49,24850.63,24853.41,24881.21,
1520456400,24804.98,24801.36,24804.98,24801.36,
1520454600,24849.68,24785.55,24792.48,24804.77,
1520452800,24803.42,24684.58,24687.76,24789.83,
1520451000,24736.08,24661.76,24661.76,24688.11,
1520449200,24700.28,24618.04,24645.22,24662.28,
1520447400,24677.12,24623.01,24640.35,24644.73,
1520445600,24640.37,24535.12,24606.9,24640.37,
1520443800,24620.59,24556.82,24586.45,24609.24,
1520442000,24627.2,24539.96,24596.59,24587.02,
1520440200,24745.55,24593.85,24714.88,24595.79,
1520438400,24795.99,24691.91,24789.11,24715.15,
1520436600,24817.54,24724.28,24739.71,24790.25,
1520434800,24750.03,24657.17,24680.2,24737.33,
1520433000,24758.15,24571.5,24758.15,24685.99,
1520370000,24886.57,24883.85,24886.57,24884.12,
1520368200,24909.05,24839.57,24882.33,24886.3,
1520366400,24912.69,24842.09,24903.33,24883.8,
1520364600,24936.58,24841.4,24841.4,24903.98,
1520362800,24876.53,24830.28,24855.85,24840.95,
1520361000,24939.72,24836.91,24924.26,24855.37,
1520359200,24956.17,24898.79,24901.2,24924.05,
1520357400,24900.76,24725.57,24730.07,24900.76,
1520355600,24780.11,24723.83,24777.58,24729.58,
1520353800,24779.09,24708.41,24744.77,24779.01,
1520352000,24804.91,24726.25,24790.74,24742.76,
1520350200,24915.59,24774.55,24896.39,24791.13,
1520348400,24928.77,24828.35,24903.17,24895.18,
1520346600,24995.24,24865.75,24965.89,24904.4,
1520283600,24881.95,24874.76,24881.61,24874.76,
1520281800,24961,24871.18,24890.22,24882.4,
1520280000,24937.49,24879.72,24885.18,24890.04,
1520278200,24886.87,24793.86,24799.35,24885.34,
1520276400,24835.64,24751.4,24817.28,24799.88,
1520274600,24817.57,24763.01,24786.28,24816.46,
1520272800,24832.59,24781.99,24782.94,24786.49,
1520271000,24783.49,24694.91,24719.37,24783.49,
1520269200,24755.68,24679.32,24716.8,24718.98,
1520267400,24748.85,24656.71,24669.75,24718.2,
1520265600,24699.35,24540.96,24554.18,24669.26,
1520263800,24557.47,24440.81,24463.33,24553.53,
1520262000,24465.58,24390.7,24425.38,24462.99,
1520260200,24491.21,24387.15,24471.31,24418.91,
1520024400,24538.2,24534.31,24534.52,24538.06,
