date,high,low,open,close,volume
1520883000,274.67,273.32,273.36,273.38,73084
1520881200,274.14,273.24,273.67,273.37,18084
1520879400,274.32,273.64,274.26,273.75,13035
1520877600,274.55,273.77,274.3,274.26,19261
1520875800,274.49,273.38,273.39,274.16,12488
1520874000,273.4,272.28,272.72,273.4,10112
1520872200,272.85,272.4,272.58,272.67,14408
1520870400,273.03,272.41,272.74,272.77,13727
1520868600,272.86,271.35,271.57,272.61,21198
1520866800,272.84,271.6,272.71,271.64,30042
1520865000,274.9,272.8,274.82,272.8,44381
1520863200,275.29,274.01,274.65,274.97,40901
1520861400,274.66,271.1,271.21,274.66,96751
1520627400,270.77,269.92,270.06,270.76,90164
1520625600,270.46,269.77,270.27,269.95,23237
1520623800,270.39,269.8,269.83,270.26,21147
1520622000,270.57,269.38,269.89,269.8,20080
1520620200,270.24,269.74,269.84,269.88,17718
1520618400,270.18,269.17,269.17,269.84,26429
1520616600,270.26,269.121,269.74,269.18,23959
1520614800,271.09,269.8,270.25,269.8,36752
1520613000,270.73,267.04,270.73,270.11,120216
1520611200,270.72,269.79,269.98,270.69,12169
1520609400,270.51,269.26,269.32,269.88,22083
1520607600,269.58,268.25,268.66,269.22,26163
1520605800,269.51,268.35,268.7,268.64,78159
1520541000,266.61,265.44,266.56,266.31,48839
1520539200,267.15,266.29,266.29,266.58,8974
1520537400,266.38,265.06,265.12,266.25,11148
1520535600,265.33,264.61,264.91,265.23,9349
1520533800,264.87,263.73,263.8,264.79,5477
1520532000,264.63,263.55,263.66,263.77,9324
1520530200,264.01,263.33,263.34,263.39,10752
1520528400,264.08,262.63,263.96,263.34,15361
1520526600,265.07,263.38,265.01,263.95,25701
1520524800,265.48,264.18,264.41,265.28,8410
1520523000,265.52,264.33,265.46,264.41,16460
1520521200,266.94,265.42,266.69,265.78,31609
1520519400,268.08,266.37,266.48,266.59,49066
1520454600,266,264.84,265.25,265.34,47447
1520452800,265.47,263.52,263.6,265.28,25880
1520451000,264.45,263.34,263.36,263.42,14797
1520449200,263.87,262.69,263.1,263.32,13804
1520447400,263.229,262.18,262.67,263.03,14040
1520445600,262.61,261,261.95,262.61,21833
1520443800,262.49,261.39,262.25,262.16,14837
1520442000,263.04,261.54,263.02,262.3,25044
1520440200,265.26,262.53,264.55,262.61,16470
1520438400,265.55,264.02,265.52,264.47,9301
1520436600,266.33,264.841,264.9,265.65,20451
1520434800,264.79,263.5,263.91,264.67,20757
1520433000,264.84,262.47,262.69,263.89,77384
1520368200,267.55,266.51,267.02,267.08,65583
1520366400,267.24,266.46,266.85,266.95,10281
1520364600,267.5,266.42,266.42,267.07,12849
1520362800,266.69,266.1,266.44,266.34,7737
1520361000,267.54,266.26,267.42,266.46,9524
1520359200,267.75,266.49,266.49,267.16,21939
1520357400,266.5,264.04,264.04,266.37,13033
1520355600,264.72,264.02,264.39,264.07,10046
1520353800,264.3,263.39,263.49,264.26,7220
1520352000,264.04,263.26,263.94,263.5,16452
1520350200,265.43,263.9,264.64,264.08,17264
1520348400,265.28,264,264.85,264.49,18711
1520346600,266,263.66,264.77,264.9,64807
1520281800,264.11,263.001,263.41,263.12,61165
1520280000,264.5,263.33,264.24,263.56,12839
1520278200,264.2,263.07,263.43,264.2,11934
1520276400,263.71,262.71,263.58,263.42,11035
1520274600,263.55,262.41,262.95,263.55,6885
1520272800,263.95,262.13,262.49,263.03,17781
1520271000,262.57,261.23,261.6,262.44,11532
1520269200,261.51,260.68,261.18,261.51,15154
1520267400,261.6,260.75,261.17,261.24,9036
1520265600,262,259.62,259.76,261.24,24206
1520263800,259.94,258.14,258.4,259.94,7323
1520262000,258.33,257.04,257.3,258.33,9920
1520260200,258.33,256.37,256.46,257.13,57349
1520022600,258.68,257.24,257.24,257.93,66831
1520020800,257.36,255.73,256.35,257.3,24551
1520019000,257.59,256.43,257.05,256.43,15565
1520017200,258.35,256.9,257.06,257.07,13032
1520015400,257.82,256.07,256.9,257.02,12434
1520013600,258.72,256.95,258.54,257,11048
1520011800,259.22,257.31,257.65,258.71,25945
1520010000,257.67,255.99,256.85,257.65,28479
1520008200,256.9,254.56,255.54,256.89,35982
1520006400,255.52,253.33,253.77,255.19,20016
1520004600,254.4,252.22,252.42,253.81,31333
1520002800,253.97,252.37,253.61,252.51,31881
1520001000,256.05,252.79,255,253.57,96426
1519936200,259.03,256.6,258.57,256.79,134752
1519934400,259.5,256.25,257.2,258.61,30128
