date,high,low,open,close,volume
1520883000,160.9,160.27,160.35,160.27,156982
1520881200,160.4,160,160,160.37,29502
1520879400,160.45,159.98,160.37,160,39220
1520877600,160.67,160.25,160.5,160.39,22092
1520875800,160.71,160.37,160.44,160.53,24503
1520874000,160.55,160.13,160.13,160.43,43258
1520872200,160.22,159.73,160.11,160.12,42485
1520870400,160.25,159.88,160.01,160.12,39590
1520868600,160.17,159.76,159.81,159.99,36915
1520866800,160.08,159.34,159.92,159.74,32712
1520865000,160.59,159.73,160.47,159.98,91391
1520863200,160.91,160.14,160.91,160.5,48677
1520861400,161.01,158.93,159.76,160.91,238742
1520627400,159.34,158.81,159.3,159.32,209504
1520625600,159.58,159.16,159.38,159.29,49748
1520623800,159.48,159.23,159.47,159.38,25968
1520622000,159.54,159.25,159.25,159.47,33880
1520620200,159.22,158.86,158.9,159.22,44070
1520618400,158.94,158.47,158.47,158.91,18385
1520616600,158.912,158.4,158.48,158.45,29143
1520614800,158.52,158.11,158.11,158.48,22628
1520613000,158.3,157.95,158.21,158.04,19243
1520611200,158.36,157.89,158.32,158.18,46624
1520609400,158.72,158.28,158.54,158.28,42154
1520607600,158.71,158.08,158.56,158.5,50535
1520605800,158.61,157.4,157.47,158.53,143939
1520541000,156.36,155.71,156.24,156.25,147052
1520539200,156.35,155.99,156.11,156.21,29659
1520537400,156.09,155.45,155.65,156.09,18474
1520535600,155.79,155.11,155.2,155.69,21021
1520533800,155.49,155.07,155.45,155.19,40301
1520532000,156.38,155.46,156.14,155.51,29731
1520530200,156.41,155.9,156.26,156.09,16224
1520528400,156.66,155.83,156.58,156.36,33843
1520526600,156.7,156.17,156.63,156.61,30018
1520524800,157.85,156.5,157.85,156.64,50537
1520523000,158.52,157.87,158.46,157.87,25142
1520521200,158.88,158.26,158.63,158.48,28351
1520519400,159.55,158.46,159,158.53,125615
1520454600,158.83,158.17,158.28,158.34,149205
1520452800,158.27,157.55,157.55,158.27,37408
1520451000,157.72,157.32,157.46,157.49,13685
1520449200,157.69,157.17,157.23,157.44,18531
1520447400,157.43,157.15,157.26,157.34,17551
1520445600,157.15,156.43,156.78,157.15,11006
1520443800,156.88,156.39,156.41,156.85,10515
1520442000,156.73,156.15,156.65,156.41,11131
1520440200,157.31,156.62,157.08,156.62,22684
1520438400,157.31,156.82,157.26,156.97,22140
1520436600,157.44,156.83,156.86,157.28,45287
1520434800,156.92,156.36,156.36,156.84,28819
1520433000,156.91,154.75,155,156.4,94406
1520368200,155.86,155.52,155.73,155.75,97298
1520366400,156.09,155.56,155.92,155.75,38542
1520364600,156.1,155.79,155.79,155.94,22969
1520362800,156.14,155.71,156.08,155.79,18646
1520361000,156.45,155.93,156.34,156.06,18079
1520359200,156.51,156.23,156.28,156.34,12364
1520357400,156.29,155.23,155.25,156.29,12879
1520355600,156,155.18,156,155.26,17555
1520353800,156.07,155.68,156,156,11114
1520352000,156.49,155.96,156.31,155.96,20431
1520350200,157.23,156.27,157.2,156.36,20340
1520348400,157.38,156.79,157.26,157.13,18892
1520346600,157.85,156.87,157.28,157.32,120685
1520281800,157.45,156.92,157.02,156.98,86987
1520280000,157.3,156.91,157.098,157.02,30660
1520278200,157.11,156.43,156.43,157.11,19808
1520276400,156.67,156.08,156.59,156.41,17934
1520274600,156.78,156.37,156.66,156.56,11841
1520272800,157.11,156.69,156.89,156.71,31220
1520271000,156.86,156.59,156.86,156.8,11624
1520269200,157.03,156.46,156.85,156.83,12680
1520267400,156.95,156.51,156.61,156.79,15004
1520265600,156.67,155.65,155.66,156.57,23047
1520263800,156.09,155.44,155.95,155.71,35289
1520262000,155.91,155.5,155.6,155.91,32759
1520260200,155.59,154.11,154.12,155.52,123919
1520022600,154.76,153.84,153.84,154.47,88472
1520020800,153.87,153.35,153.76,153.86,15742
1520019000,154.13,153.62,153.84,153.78,13573
1520017200,154.28,153.76,153.86,153.79,12997
1520015400,154.06,153.66,154.03,153.81,8592
1520013600,154.49,153.99,154.45,153.99,12741
1520011800,154.64,154,154.33,154.5,12279
1520010000,154.41,153.93,154.33,154.2,13362
1520008200,154.38,153.41,153.56,154.31,14462
1520006400,153.69,153.05,153.56,153.63,16406
1520004600,153.89,153.23,153.28,153.51,23091
1520002800,153.4,152.33,152.33,153.16,50487
1520001000,153.29,151.88,152.79,152.42,137992
1519936200,154.18,153.21,154.01,153.76,110411
1519934400,154.25,152.81,153.26,153.96,42426
1519932600,153.71,152.89,153.71,153.255,32642
1519930800,153.831,152.79,153.77,153.51,51783
1519929000,154.66,153.89,154.49,153.93,16913
1519927200,155.32,154.11,155.32,154.56,48549
1519925400,155.75,155.16,155.45,155.33,17659
1519923600,156.18,155.31,156.16,155.5,23396
1519921800,156.56,155.89,155.96,156.23,29045
1519920000,156.51,155.77,156.1,155.95,25537
1519918200,156.93,156.12,156.43,156.15,23463
1519916400,156.42,155.27,155.35,156.37,26212
1519914600,156.4,155.16,155.96,155.42,120798
1519849800,157.13,155.8,157.04,155.81,140458
1519848000,157.49,156.75,157.39,157.015,30768
1519846200,158,157.31,157.95,157.31,19787
1519844400,158.13,157.8,157.93,157.96,20015
1519842600,157.91,157.35,157.64,157.91,16421
1519840800,157.73,157.36,157.73,157.65,17388
1519839000,157.85,157.11,157.16,157.74,19433
1519837200,157.55,157.13,157.44,157.31,18068
1519835400,157.75,156.94,157.75,157.44,21476
1519833600,157.78,157.09,157.21,157.7,25748
1519831800,157.66,157.07,157.55,157.17,34454
1519830000,157.77,157.4,157.77,157.54,31801
1519828200,157.95,157.11,157.5,157.82,98772
1519763400,157.28,156.53,156.97,156.53,114530
1519761600,157.4,156.74,157.35,156.94,24215
1519759800,157.67,157.19,157.49,157.38,22773
1519758000,157.6,156.96,157.3,157.58,26870
1519756200,157.66,157.15,157.56,157.29,20484
1519754400,157.84,157.48,157.69,157.57,19948
1519752600,157.71,156.8,156.86,157.71,18730
1519750800,157.55,156.64,157.08,156.99,34987
1519749000,157.88,157,157.59,157.1,38914
1519747200,158.39,157.44,157.92,157.62,36414
1519745400,159.41,157.85,159.31,158.05,48937
1519743600,159.75,159.29,159.37,159.31,50013
1519741800,159.33,158.2,158.5,159.33,124389
1519677000,158.88,158.36,158.72,158.58,113374
1519675200,158.74,158.3,158.31,158.74,26151
1519673400,158.5,158.15,158.46,158.34,18771
1519671600,158.82,158.35,158.35,158.48,27131
1519669800,158.4,157.97,158.16,158.35,16856
1519668000,158.18,157.75,157.87,158.18,31863
1519666200,157.83,157.16,157.42,157.8,25436
1519664400,157.44,156.91,156.91,157.44,18794
1519662600,157.1,156.84,156.99,156.89,18142
1519660800,157.03,156.44,156.44,157,24566
1519659000,156.7,156.4,156.65,156.51,21950
1519657200,156.87,156.28,156.51,156.63,28001
