date,high,low,open,close,volume
1520883000,51.795,51.35,51.35,51.52,3452767
1520881200,51.38,51.26,51.27,51.36,247438
1520879400,51.335,51.22,51.26,51.27,194740
1520877600,51.41,51.17,51.37,51.26,180091
1520875800,51.45,51.31,51.44,51.36,192057
1520874000,51.49,51.25,51.25,51.45,177085
1520872200,51.31,51.2,51.26,51.24,141014
1520870400,51.42,51.26,51.29,51.27,188071
1520868600,51.29,50.875,50.9,51.28,217077
1520866800,51.13,50.86,51.08,50.89,288093
1520865000,51.35,51.005,51.26,51.08,369750
1520863200,51.39,51.03,51.15,51.27,509064
1520861400,51.95,50.5,51.86,51.16,1604943
1520627400,52.22,51.97,52,52.19,4397302
1520625600,52.01,51.91,51.965,52,306804
1520623800,52,51.825,51.99,51.96,216180
1520622000,52.15,51.895,52.07,51.99,246224
1520620200,52.2,52,52.16,52.07,197303
1520618400,52.29,52.15,52.175,52.15,209207
1520616600,52.25,52.12,52.15,52.18,188800
1520614800,52.22,51.94,51.94,52.15,322047
1520613000,52.08,51.88,51.95,51.93,276130
1520611200,51.99,51.86,51.87,51.95,330183
1520609400,52.02,51.64,51.75,51.87,508750
1520607600,51.81,51.53,51.58,51.75,395069
1520605800,51.63,51.01,51.26,51.56,967954
1520541000,50.75,50.48,50.715,50.74,2465812
1520539200,50.89,50.69,50.78,50.71,450714
1520537400,50.83,50.55,50.67,50.78,319551
1520535600,50.715,50.51,50.695,50.67,319141
1520533800,50.815,50.61,50.69,50.69,229495
1520532000,51,50.565,50.88,50.68,205291
1520530200,51.035,50.8,51.02,50.875,213282
1520528400,51.15,50.735,51.15,51.015,270860
1520526600,51.17,50.99,51.1,51.15,205163
1520524800,51.23,51.005,51.1,51.1,340773
1520523000,51.3,50.95,51.3,51.11,428360
1520521200,51.525,51.29,51.445,51.305,420446
1520519400,52.08,51.375,51.79,51.44,1273304
1520454600,51.43,51.28,51.365,51.32,2206096
1520452800,51.485,51.06,51.095,51.36,346337
1520451000,51.225,50.95,50.955,51.11,331419
1520449200,51.165,50.96,51.05,50.96,218763
1520447400,51.12,50.9,50.92,51.05,272453
1520445600,50.91,50.58,50.72,50.91,196580
1520443800,50.78,50.55,50.675,50.73,200824
1520442000,50.73,50.445,50.61,50.67,448349
1520440200,51.03,50.59,50.83,50.61,311600
1520438400,51.175,50.735,51.165,50.82,434976
1520436600,51.18,50.77,50.84,51.16,411950
1520434800,50.95,50.5,50.54,50.84,449891
1520433000,51.04,50.1,50.18,50.55,1475254
1520368200,50.72,50.515,50.575,50.71,3247006
1520366400,50.865,50.455,50.85,50.58,361256
1520364600,50.91,50.665,50.665,50.86,250621
1520362800,50.755,50.57,50.67,50.67,353506
1520361000,50.91,50.62,50.85,50.67,282797
1520359200,51.11,50.78,50.96,50.85,373214
1520357400,50.97,50.31,50.35,50.97,374238
1520355600,50.59,50.35,50.575,50.36,501816
