date,high,low,open,close,volume
1520883000,240.91,239.75,239.75,239.85,60156
1520881200,240.12,239.48,239.48,239.75,14432
1520879400,240.17,239.31,240.17,239.48,16762
1520877600,240.76,240.06,240.44,240.15,10968
1520875800,240.7,240.24,240.55,240.44,11894
1520874000,240.93,240.35,240.41,240.58,9065
1520872200,240.92,240.3,240.73,240.38,9794
1520870400,241.11,240.49,241.04,240.78,8557
1520868600,241.13,240.34,240.52,240.99,17339
1520866800,240.72,240.09,240.37,240.41,16209
1520865000,242.06,240.34,241.94,240.45,24187
1520863200,242.69,241.55,242.665,241.91,28490
1520861400,243,241.65,242.1,242.66,93892
1520627400,241.37,240.34,240.39,241.35,66029
1520625600,240.5,239.99,240.36,240.4,14525
1520623800,240.47,240.17,240.47,240.33,8165
1520622000,240.84,240.32,240.82,240.52,10001
1520620200,241.08,240.58,241.07,240.87,6413
1520618400,241.11,240.36,240.36,241.07,9522
1520616600,240.88,240.26,240.53,240.3,9265
1520614800,240.8,240.13,240.13,240.45,15660
1520613000,240.41,239.73,240.18,239.97,15131
1520611200,240.11,239.44,239.44,240.08,25439
1520609400,240,238.22,238.28,239.46,16707
1520607600,238.8,236.79,237.43,238.18,15837
1520605800,238.13,236.21,237.64,237.56,70027
1520541000,236.38,235.17,236.26,236.31,52987
1520539200,236.59,235.76,235.76,236.25,14402
1520537400,235.96,234.58,234.82,235.76,12640
1520535600,235.38,234.76,235.34,234.91,9988
1520533800,235.32,234.27,234.72,235.22,11273
1520532000,235.16,234.6,234.77,234.73,5513
1520530200,235.18,234.48,235,234.68,8199
1520528400,235.68,234.2,235.39,235,14582
1520526600,236.13,235,236.13,235.48,10968
1520524800,236.48,235.78,235.98,236.21,13912
1520523000,236.54,235.56,236.33,236.01,18577
1520521200,236.76,236.12,236.61,236.36,19697
1520519400,237.69,236.16,236.78,236.6,61203
1520454600,236.22,235.2,235.241,235.64,79288
1520452800,235.33,233.77,233.77,235.26,25936
1520451000,233.93,233.06,233.08,233.71,13671
1520449200,233.38,232.29,232.5,233.05,15195
1520447400,232.98,232.301,232.56,232.53,14743
1520445600,232.49,231.31,231.81,232.46,17575
1520443800,232.14,231.05,231.21,231.98,19810
1520442000,231.63,230.68,231.51,231.38,23757
1520440200,232.54,231.47,232.16,231.47,28546
1520438400,232.82,231.95,232.79,232.08,14487
1520436600,233.13,232.07,232.41,232.88,13768
1520434800,232.67,231.57,231.61,232.42,30942
1520433000,232.67,230.78,230.8,231.62,58659
1520368200,233.71,233.15,233.4,233.65,63670
1520366400,233.85,232.99,233.7,233.35,16000
1520364600,234.18,233.1,233.1,233.76,16020
1520362800,233.45,232.84,233.39,233.02,10619
1520361000,233.72,233.01,233.6,233.31,16776
1520359200,233.96,232.9,232.93,233.59,30748
1520357400,232.65,230.8,230.97,232.65,20805
1520355600,231.91,230.97,231.91,230.97,15415
1520353800,232.52,231.56,232.51,231.9,17400
1520352000,233.15,232.15,232.99,232.46,25119
1520350200,234.17,232.85,233.95,233.09,21985
1520348400,234.15,232.98,233.85,233.88,23446
1520346600,235.92,233.8,234.41,233.87,84131
1520281800,233.7,232.51,232.77,232.88,54798
1520280000,233.06,232.13,232.19,232.8,17449
1520278200,232.23,231.36,231.75,232.11,19530
1520276400,232,230.92,231.99,231.63,18280
1520274600,232,231.42,231.64,231.92,12932
1520272800,232.2,231.4,231.51,231.61,15308
1520271000,231.5,230.72,231.21,231.48,14385
1520269200,231.44,230.58,230.7,231.12,11783
1520267400,231.25,230.07,230.26,230.72,28735
1520265600,230.54,229.25,229.33,230.33,33227
1520263800,229.98,228.96,229.39,229.34,24574
1520262000,229.62,228.57,229.01,229.39,22116
1520260200,230.14,228.79,230,228.89,58748
1520022600,231.22,229.83,229.83,230.38,79155
1520020800,230.12,229.35,229.99,229.86,21385
1520019000,230.79,229.59,230.14,230.04,14451
1520017200,230.93,229.73,229.85,230.03,25200
1520015400,230.14,228.82,229.66,229.71,23689
1520013600,230.25,229.32,230.25,229.57,23724
1520011800,230.42,228.72,229.26,230.34,27975
1520010000,229.14,228.28,228.69,229.13,31444
1520008200,228.76,226.65,227.46,228.73,42884
1520006400,227.78,226.36,227.57,227.42,31699
1520004600,228.87,227.55,227.94,227.55,41797
1520002800,229.59,227.99,229.2,227.99,31032
1520001000,230.35,228.3,229.71,229.12,76069
1519936200,232.17,230.56,231.57,231.23,116722
1519934400,231.96,229.62,230.17,231.57,37852
1519932600,230.94,229.62,230.94,230.2,27479
1519930800,231.26,229.85,231.07,231.06,39859
1519929000,232.95,230.81,232.94,231.11,23740
1519927200,234.55,232.33,234.5,232.88,35478
1519925400,235.28,234.56,235.19,234.65,31302
1519923600,236.04,235.01,236.01,235.33,22450
1519921800,236.36,235.08,235.26,236,22145
1519920000,236.28,235.16,235.75,235.2,24391
1519918200,236.83,235.59,236.26,235.61,22605
1519916400,236.31,234.67,234.67,236.21,44431
1519914600,236.82,234.35,236.15,234.89,56279
1519849800,237.45,235.4,237.08,235.41,138383
1519848000,238.11,236.85,238.03,237.07,30799
1519846200,239.22,237.81,239.22,237.83,29986
1519844400,239.91,239.15,239.55,239.23,26416
1519842600,239.56,238.61,239.41,239.52,15185
1519840800,239.48,238.68,239.18,239.41,10938
1519839000,239.67,238.66,238.78,239.25,11944
