date,high,low,open,close,volume
1520883000,97.21,96.76,96.81,96.77,3107591
1520881200,96.84,96.65,96.69,96.82,326074
1520879400,96.83,96.58,96.79,96.69,288029
1520877600,97.09,96.77,96.95,96.78,232623
1520875800,97.12,96.94,97,96.94,244544
1520874000,97.05,96.74,96.75,97.01,282065
1520872200,96.84,96.62,96.76,96.76,175968
1520870400,96.84,96.5,96.505,96.77,287221
1520868600,96.52,96.2,96.24,96.51,267662
1520866800,96.5,96.07,96.29,96.23,304343
1520865000,96.59,96.24,96.59,96.31,387006
1520863200,96.89,96.435,96.89,96.6,497569
1520861400,96.91,96.05,96.53,96.88,1238551
1520627400,96.54,96.09,96.25,96.54,4984615
1520625600,96.25,96.125,96.17,96.25,406900
1520623800,96.3,96.06,96.2,96.16,278575
1520622000,96.35,96.11,96.19,96.19,315822
1520620200,96.29,96.145,96.245,96.195,254889
1520618400,96.245,96.02,96.02,96.24,224293
1520616600,96.2,95.99,96.05,96.02,189656
1520614800,96.25,95.83,95.83,96.05,420984
1520613000,95.91,95.63,95.64,95.82,310749
1520611200,95.95,95.6,95.89,95.64,392144
1520609400,96.01,95.645,95.69,95.895,565252
1520607600,95.76,95.21,95.43,95.68,486164
1520605800,95.59,95,95.33,95.42,1288523
1520541000,94.485,93.77,94.46,94.43,3120589
1520539200,94.47,94.16,94.16,94.465,309240
1520537400,94.35,93.9,93.98,94.16,280156
1520535600,94.06,93.83,94.03,93.99,235090
1520533800,94.11,93.84,94,94.04,266060
1520532000,94.46,93.85,94.37,94,242300
1520530200,94.57,94.29,94.55,94.36,207294
1520528400,94.72,94.4,94.67,94.54,227896
1520526600,94.86,94.58,94.82,94.68,229198
1520524800,95.06,94.67,94.73,94.82,316485
1520523000,94.77,94.35,94.6,94.73,388902
1520521200,95.03,94.61,94.69,94.61,515065
1520519400,95.09,94.06,94.1,94.685,1257703
1520454600,93.94,93.62,93.78,93.86,3087294
1520452800,93.88,93.405,93.46,93.77,455260
1520451000,93.7,93.36,93.52,93.46,299172
1520449200,93.74,93.38,93.48,93.51,293479
1520447400,93.53,93.345,93.43,93.48,190036
1520445600,93.43,92.83,93.09,93.42,314071
1520443800,93.14,92.76,92.78,93.1,256099
1520442000,92.84,92.43,92.68,92.79,362505
1520440200,93.095,92.67,92.93,92.67,270926
1520438400,93.26,92.74,93.235,92.93,379890
1520436600,93.47,93.06,93.17,93.24,377827
1520434800,93.365,92.945,93.05,93.16,435775
1520433000,93.54,92.74,92.84,93.07,1074602
1520368200,93.47,93.06,93.21,93.32,3113568
1520366400,93.39,93.04,93.38,93.22,305360
1520364600,93.54,93.02,93.03,93.38,260689
1520362800,93.36,92.98,93.28,93.02,333964
1520361000,93.68,93.2,93.62,93.27,256303
1520359200,93.77,93.52,93.63,93.62,264723
1520357400,93.62,93.22,93.26,93.62,305713
1520355600,93.51,93.22,93.51,93.26,216474
1520353800,93.51,92.95,93.19,93.5,264295
1520352000,93.55,93.1,93.35,93.2,339607
1520350200,94.21,93.32,94.15,93.37,360423
1520348400,94.23,93.77,94.13,94.14,332986
1520346600,94.47,93.92,94.34,94.13,977817
1520281800,94.01,93.62,93.82,93.64,3108438
1520280000,94.27,93.77,94,93.81,395299
1520278200,94.04,93.65,93.67,93.99,318947
1520276400,93.82,93.41,93.72,93.67,256001
1520274600,93.92,93.55,93.84,93.71,217373
1520272800,94.09,93.82,93.82,93.84,272664
1520271000,93.82,93.49,93.59,93.81,171625
1520269200,93.83,93.41,93.58,93.58,341819
1520267400,93.63,93.24,93.245,93.58,314730
1520265600,93.31,92.87,92.92,93.25,316967
1520263800,92.95,92.475,92.56,92.92,279149
1520262000,93.11,92.31,92.99,92.57,407910
1520260200,93.19,92.29,92.47,92.98,1278645
1520022600,93.15,92.275,92.31,93.05,4728939
1520020800,92.38,91.8,92.14,92.31,361669
1520019000,92.41,91.8,91.95,92.14,346071
1520017200,92.22,91.67,91.67,91.97,271109
1520015400,91.86,91.35,91.65,91.64,333601
1520013600,92.31,91.62,92.23,91.62,357618
1520011800,92.38,91.98,92.33,92.25,450817
