date,high,low,open,close,volume
1520883000,142.15,141.44,141.59,141.49,48703
1520881200,141.57,140.97,140.97,141.57,8571
1520879400,141.22,140.91,141.03,140.96,5471
1520877600,141.53,141.07,141.36,141.08,5215
1520875800,141.45,141.09,141.3,141.28,5300
1520874000,141.33,141.09,141.28,141.3,3482
1520872200,141.91,141.23,141.91,141.23,6549
1520870400,142,141.76,141.97,141.85,4290
1520868600,142.37,141.84,142.1,142.06,4106
1520866800,142.15,141.67,142.03,142.04,6198
1520865000,143.05,142.17,143.02,142.21,13678
1520863200,143.25,142.73,142.84,143.09,12339
1520861400,143.12,141.9,142.79,142.83,51605
1520627400,142.31,141.92,142.1,142.28,52652
1520625600,142.15,141.88,142.12,142.06,11624
1520623800,142.39,142.02,142.02,142.13,14856
1520622000,142.08,141.66,141.66,141.97,11528
1520620200,141.81,141.62,141.71,141.71,4730
1520618400,141.75,141.26,141.26,141.71,4728
1520616600,141.37,140.87,140.88,141.19,9157
1520614800,140.99,140.77,140.78,140.9,10832
1520613000,140.79,140.54,140.54,140.7,11650
1520611200,140.61,140.19,140.42,140.54,6344
1520609400,140.89,140.34,140.34,140.45,9308
1520607600,140.54,140,140.3,140.35,10128
1520605800,140.45,139.84,140.2,140.43,36373
1520541000,139.72,139.08,139.62,139.64,65335
1520539200,139.82,139.33,139.33,139.61,8270
1520537400,139.32,138.72,138.73,139.32,5930
1520535600,138.95,138.65,138.89,138.82,5058
1520533800,139,138.63,138.96,138.89,5581
1520532000,139.16,138.81,138.88,138.96,4121
1520530200,138.94,138.67,138.9,138.84,4068
1520528400,139.42,138.48,139.39,138.85,8209
1520526600,139.39,138.91,139.08,139.39,8852
1520524800,139.22,138.59,138.59,139.11,13203
1520523000,138.89,138.22,138.81,138.68,13330
1520521200,139.39,138.74,139.32,138.74,16265
1520519400,139.57,138.51,138.92,139.17,41158
1520454600,139.05,138.62,138.63,138.87,39701
1520452800,138.93,138.12,138.12,138.63,8751
1520451000,138.49,138.02,138.13,138.06,5848
1520449200,138.26,137.63,137.7,138.12,6440
1520447400,138.19,137.7,138.06,137.74,10975
