date,high,low,open,close,volume
1520883000,131.92,131.4,131.49,131.52,104303
1520881200,131.63,131.31,131.31,131.49,26736
1520879400,131.53,131.13,131.53,131.29,16238
1520877600,131.85,131.46,131.74,131.49,11214
1520875800,131.92,131.5,131.51,131.77,16072
1520874000,131.8,131.44,131.78,131.5,14266
1520872200,132.07,131.73,132.04,131.78,12944
1520870400,132.21,131.85,131.94,132.04,16555
1520868600,131.96,131.28,131.57,131.94,38415
1520866800,132.02,131.12,131.79,131.54,24549
1520865000,132.34,131.8,132.2,131.86,24957
1520863200,132.8,132.2,132.8,132.22,21178
1520861400,134.2,132.23,134.02,132.82,120174
1520627400,134.18,133.52,133.56,134.08,148495
1520625600,133.55,133.14,133.49,133.55,29968
1520623800,133.59,132.83,132.87,133.47,24648
1520622000,133.03,132.75,132.97,132.84,12888
1520620200,133.07,132.91,133.01,133,7582
1520618400,133.05,132.48,132.59,132.98,23744
1520616600,132.75,132.51,132.52,132.58,16545
1520614800,132.79,132.53,132.61,132.56,32891
1520613000,133.35,132.49,133.26,132.6,25227
1520611200,133.29,132.82,133.11,133.24,17886
1520609400,133.1,132,132.05,133.1,20489
1520607600,132.33,131.67,131.7,131.97,28392
1520605800,132.54,131.51,132.19,131.73,112849
1520541000,131.34,130.74,131.29,131.25,116357
1520539200,131.57,131,131.04,131.3,26038
1520537400,131.08,130.15,130.24,131.05,13125
1520535600,130.3,129.99,130.23,130.28,12077
1520533800,130.26,129.92,130.05,130.22,13343
1520532000,130.39,130.04,130.16,130.11,11846
1520530200,130.22,129.92,130.2,130.14,12378
1520528400,130.32,129.63,130.09,130.21,43191
1520526600,130.43,130.03,130.42,130.08,11406
1520524800,130.81,130.26,130.3,130.42,11425
1520523000,130.61,130.17,130.61,130.32,13740
1520521200,131.09,130.46,130.97,130.66,16618
1520519400,132.09,130.91,131.56,130.97,69358
1520454600,131.2,130.74,131.11,130.91,93668
1520452800,131.26,130.54,130.54,131.09,33602
1520451000,130.8,130.36,130.38,130.52,21609
1520449200,130.54,130.13,130.25,130.37,14966
1520447400,130.48,130.08,130.19,130.33,16134
1520445600,130.21,129.71,130.01,130.19,17696
1520443800,130.18,129.92,130.11,130.09,16416
1520442000,130.23,129.9,130.12,130.1,15351
1520440200,130.74,130,130.5,130.06,13101
1520438400,130.92,130.4,130.92,130.51,15284
1520436600,131.08,130.4,130.62,130.93,10010
1520434800,130.74,129.96,130.51,130.6,18155
1520433000,130.98,130,130,130.53,85583
