date,high,low,open,close
1524496500,166.48,165.71,165.79,166.37
1524495600,166.15,165.6,165.91,165.78
1524494700,166.24,165.21,166.02,165.91
1524493800,166.9,165.89,166.86,166.04
1524257100,166.06,165.7,165.91,165.72
1524256200,166.4,165.51,165.65,165.9
1524255300,165.91,165.58,165.73,165.65
1524254400,165.85,165.43,165.85,165.74
1524253500,165.94,165.52,165.91,165.84
1524252600,166.01,165.65,165.69,165.91
1524251700,165.99,165.65,165.94,165.69
1524250800,166.1,165.81,165.85,165.95
1524249900,166.26,165.82,166.02,165.85
1524249000,166.2,165.95,166.08,166.02
1524248100,166.43,165.69,166.42,166.08
1524247200,166.44,165.8,165.89,166.405
1524246300,166.075,165.59,165.88,165.9
1524245400,166.11,165.78,165.97,165.89
1524244500,166.5,165.87,166.49,165.98
1524243600,166.99,166.44,166.93,166.48
1524242700,167.14,166.8,167.11,166.92
1524241800,167.27,166.78,166.83,167.11
1524240900,167.08,166.7,166.78,166.84
1524240000,167,166.53,166.95,166.8
1524239100,167.65,166.88,167.62,166.95
1524238200,168.1,167.3,167.43,167.62
1524237300,167.63,166.82,167.32,167.41
1524236400,167.77,166.74,167.43,167.32
1524235500,168.51,166.87,168.41,167.42
1524234600,171.19,168.3,170.45,168.41
1524170700,173.37,172.77,173.01,172.8
1524169800,173.55,172.82,172.94,173
1524168900,173.38,172.9,173.19,172.93
1524168000,173.35,173.06,173.11,173.2
1524167100,173.14,172.83,172.96,173.11
1524166200,172.99,172.66,172.9,172.96
1524165300,173.52,172.78,173.51,172.9
1524164400,173.95,173.49,173.86,173.51
1524163500,173.98,173.77,173.9,173.85
1524162600,173.91,173.48,173.54,173.89
1524161700,173.65,173.35,173.4,173.53
1524160800,173.46,173.2,173.35,173.41
1524159900,173.74,173.33,173.59,173.35
1524159000,173.72,173.31,173.39,173.58
1524158100,173.79,173.37,173.41,173.4
1524157200,173.48,173.16,173.36,173.42
1524156300,173.95,173.37,173.91,173.39
1524155400,174,173.66,173.92,173.9
1524154500,173.93,173.28,173.4,173.91
1524153600,173.73,173.26,173.73,173.4
1524152700,173.96,173.66,173.84,173.73
1524151800,174.35,173.85,173.97,173.85
1524150900,174.63,173.91,174.48,173.98
1524150000,174.55,174.08,174.5,174.5
1524149100,174.7,174.12,174.38,174.5
1524148200,175.39,174.31,174.83,174.36
1524084300,178.17,177.76,178.1,177.84
1524083400,178.32,177.95,178.28,178.11
1524082500,178.72,178.21,178.57,178.28
1524081600,178.695,178.31,178.31,178.57
1524080700,178.64,178.3,178.46,178.31
1524079800,178.58,178.38,178.48,178.46
1524078900,178.62,178.37,178.55,178.46
1524078000,178.56,177.79,177.94,178.56
1524077100,178.17,177.9,178.16,177.93
1524076200,178.25,178.01,178.23,178.15
1524075300,178.31,178.04,178.2,178.22
1524074400,178.19,177.88,177.89,178.19
1524073500,178,177.78,177.97,177.89
1524072600,178.21,177.73,178.12,177.95
1524071700,178.33,178,178.24,178.11
1524070800,178.31,177.955,177.955,178.25
1524069900,178.13,177.78,177.88,177.95
1524069000,178.13,177.84,177.91,177.89
1524068100,177.97,177.69,177.88,177.91
1524067200,178.04,177.65,177.68,177.86
1524066300,177.7,177.46,177.63,177.68
1524065400,177.65,177.01,177.22,177.63
1524064500,177.5,177.01,177.12,177.21
1524063600,177.72,176.88,177.68,177.1
1524062700,178.36,177.59,178.16,177.69
1524061800,178.82,177.78,177.78,178.15
1523997900,178.78,178.08,178.7,178.24
1523997000,178.93,178.57,178.76,178.7
1523996100,178.75,178.48,178.51,178.75
1523995200,178.68,178.41,178.47,178.5
1523994300,178.57,178.24,178.25,178.48
1523993400,178.4,178.23,178.39,178.25
1523992500,178.56,178.24,178.48,178.39
1523991600,178.66,178.42,178.42,178.49
1523990700,178.48,178.15,178.36,178.46
1523989800,178.41,178.2,178.32,178.35
1523988900,178.33,177.83,178.25,178.33
1523988000,178.39,178.08,178.17,178.25
1523987100,178.22,178.03,178.19,178.17
1523986200,178.57,178,178.52,178.2
