date,high,low,open,close
1524496500,100.43,100.23,100.34,100.26
1524495600,100.61,100.31,100.61,100.32
1524494700,100.8,100.54,100.73,100.6
1524493800,101.16,100.69,100.78,100.7
1524257100,100.82,100.51,100.73,100.79
1524256200,100.92,100.54,100.62,100.72
1524255300,100.65,100.37,100.62,100.62
1524254400,100.7,100.45,100.62,100.63
1524253500,100.79,100.6,100.79,100.69
1524252600,101.05,100.69,101.02,100.78
1524251700,101.07,100.93,101.04,101.04
1524250800,101.26,101.01,101.2,101.01
1524249900,101.32,101.16,101.24,101.19
1524249000,101.26,100.99,101.02,101.25
1524248100,101.03,100.75,100.76,101.03
1524247200,100.75,100.63,100.67,100.75
1524246300,100.74,100.42,100.56,100.71
1524245400,100.75,100.52,100.75,100.55
1524244500,100.95,100.61,100.84,100.755
1524243600,101.16,100.81,101.14,100.82
1524242700,101.26,101.06,101.2,101.18
1524241800,101.4,100.8,100.8,101.18
1524240900,100.98,100.75,100.84,100.79
1524240000,101.16,100.75,101.11,100.83
1524239100,101.59,101.09,101.59,101.16
1524238200,101.67,101.35,101.37,101.59
1524237300,101.44,101.03,101.27,101.35
1524236400,101.74,101.18,101.65,101.23
1524235500,101.92,101.33,101.39,101.61
1524234600,102.61,101.23,102.2,101.4
1524170700,102.95,101.73,102.03,102.45
1524169800,102.24,101.645,101.79,102.03
1524168900,102.1,101.78,101.99,101.79
1524168000,102.09,101.95,102.02,101.99
1524167100,102.18,101.97,102.11,102.01
1524166200,102.22,101.6,101.62,102.13
1524165300,101.74,101.36,101.47,101.7
1524164400,101.62,101.41,101.5,101.48
1524163500,101.49,101.12,101.12,101.47
1524162600,101.14,100.67,100.76,101.1
1524161700,100.85,100.57,100.68,100.75
1524160800,100.83,100.53,100.78,100.67
1524159900,101.03,100.64,101,100.81
1524159000,101.48,100.94,101.4,101.05
1524158100,101.478,101.17,101.35,101.41
1524157200,102.01,101.3,101.95,101.36
1524156300,102.16,101.84,102.02,101.99
1524155400,102.09,101.85,101.95,102
1524154500,102.17,101.59,101.62,101.94
1524153600,102.1,101.53,101.9,101.67
1524152700,102.87,101.76,102.08,101.9
1524151800,102.09,101.09,101.09,102.09
1524150900,101.28,100.61,101.11,101.06
1524150000,101.31,100.56,100.57,101.13
1524149100,100.99,100,100.091,100.6
1524148200,101.8,99.05,99.5,100.11
1524084300,95.23,95.03,95.115,95.15
1524083400,95.18,94.96,95.18,95.12
1524082500,95.24,94.78,94.78,95.18
1524081600,94.849,94.68,94.7,94.78
1524080700,94.83,94.61,94.62,94.68
1524079800,94.77,94.6,94.75,94.62
1524078900,94.85,94.75,94.85,94.78
1524078000,94.9,94.66,94.7,94.83
1524077100,94.86,94.75,94.79,94.76
1524076200,94.93,94.69,94.92,94.77
1524075300,94.98,94.84,94.89,94.88
1524074400,95,94.81,94.81,94.89
1524073500,94.81,94.63,94.67,94.81
1524072600,94.76,94.59,94.76,94.67
1524071700,94.89,94.77,94.86,94.83
1524070800,94.96,94.83,94.83,94.87
1524069900,95.04,94.8,94.93,94.86
1524069000,95.12,94.85,94.96,94.89
1524068100,95.11,94.8,94.84,94.97
1524067200,95.16,94.84,95.16,94.878
1524066300,95.17,94.9,94.97,95.17
1524065400,94.97,94.72,94.93,94.93
1524064500,95.01,94.71,94.74,95
1524063600,95.06,94.76,95.02,94.76
1524062700,95.16,94.74,94.74,95.07
1524061800,94.75,94,94.04,94.65
1523997900,94.18,93.86,94.14,93.88
1523997000,94.23,94.06,94.13,94.14
1523996100,94.26,94.03,94.03,94.11
1523995200,94.12,93.78,93.78,94.04
1523994300,93.85,93.65,93.78,93.82
1523993400,93.76,93.59,93.7,93.76
1523992500,93.97,93.69,93.89,93.69
1523991600,94.08,93.88,94.04,93.9
1523990700,94.08,93.9,94.03,94.04
1523989800,94.02,93.89,93.97,94.02
1523988900,94.1,93.82,94.1,93.95
1523988000,94.23,94.1,94.15,94.11
1523987100,94.29,94.16,94.21,94.17
1523986200,94.4,94.15,94.4,94.25
