date,high,low,open,close
1524496500,339.75,338.84,339.08,339.47
1524495600,339.99,338.7001,339.76,339.16
1524494700,340.42,338.65,339.71,339.7
1524493800,341.26,339.05,339.55,339.77
1524257100,338.82,337.29,337.755,338.67
1524256200,337.81,336.63,336.9,337.73
1524255300,337.28,336.6001,337.09,336.9
1524254400,337.87,336.69,337.87,337.12
1524253500,338.1625,337.67,337.96,337.94
1524252600,338.6678,337.66,338.47,337.9
1524251700,338.625,338.03,338.26,338.44
1524250800,338.8,338.14,338.67,338.22
1524249900,339.24,338.63,339.0706,338.63
1524249000,339.1499,338.48,338.66,339.063
1524248100,338.79,337.87,338.4,338.79
1524247200,338.7722,337.66,338.58,338.57
1524246300,338.85,337.69,337.98,338.7
1524245400,338.52,337.42,337.99,337.95
1524244500,338.22,337.1,337.42,338.03
1524243600,338.34,337.12,337.69,337.252
1524242700,338.155,337.38,337.47,337.77
1524241800,338.34,337.05,337.104,337.38
1524240900,337.88,335.53,335.69,337.0941
1524240000,338.26,335.05,338.2228,335.69
1524239100,339.68,338.151,339.19,338.2696
1524238200,339.71,338.55,338.91,339.09
1524237300,339.37,338.33,338.33,339.07
1524236400,339.67,338.26,339.67,338.33
1524235500,340.21,338.8129,339.4,339.62
1524234600,341.3959,338.36,340.73,339.28
1524170700,342.13,339.94,342.04,340.65
1524169800,342.41,340.08,340.12,341.98
1524168900,340.88,340.08,340.8,340.1337
1524168000,341.34,340.74,340.795,340.805
1524167100,341,340.27,340.83,340.795
1524166200,340.92,340.32,340.42,340.82
1524165300,340.66,339.9,340.5,340.45
1524164400,341.69,340.44,341.4,340.4912
1524163500,341.43,340.25,340.3869,341.35
1524162600,340.71,339.5,339.95,340.37
1524161700,340.5,339.85,340.185,339.8798
1524160800,341.13,340.07,340.8674,340.217
1524159900,341.8,340.5,341.1,340.88
1524159000,341.35,340,340.15,341.21
1524158100,340.74,339.22,339.28,340.21
1524157200,339.77,338.91,339.71,339.36
1524156300,341.0508,339.75,340.77,339.75
1524155400,340.87,339.76,340.575,340.755
1524154500,340.66,339.52,339.87,340.52
