date,high,low,open,close
1524496500,154.32,153.77,154.29,154.07
1524495600,155.04,154.15,154.84,154.24
1524494700,154.93,153.74,154.83,154.75
1524493800,155.7,154.4,154.4,154.85
1524257100,153.3,152.76,152.86,153.24
1524256200,152.96,152.38,152.58,152.85
1524255300,152.93,152.53,152.85,152.6
1524254400,153.02,152.58,153,152.9
1524253500,153.4,152.96,153.3,153.09
1524252600,153.65,153.15,153.63,153.23
1524251700,153.65,153.42,153.58,153.6
1524250800,154.06,153.58,154.06,153.58
1524249900,154.35,154,154.35,154.05
1524249000,154.37,154,154.05,154.34
1524248100,154.16,153.83,153.9,154.1
1524247200,153.91,153.34,153.39,153.91
1524246300,153.53,153.21,153.28,153.49
1524245400,153.83,153.28,153.83,153.28
1524244500,154,153.66,153.81,153.83
1524243600,154.35,153.86,154.35,153.86
1524242700,154.62,154.33,154.49,154.4
1524241800,154.8,154.16,154.17,154.5
1524240900,154.35,153.7,153.81,154.18
1524240000,154.58,153.69,154.55,153.7
1524239100,155.59,154.57,155.26,154.57
1524238200,155.39,155,155.33,155.13
1524237300,155.49,154.72,154.78,155.378
1524236400,156.09,154.79,156.06,154.79
1524235500,156.04,154.95,155.24,156.04
1524234600,155.99,154.8,155.25,155.12
1524170700,156.25,155.51,156.18,155.71
1524169800,156.32,155.46,155.81,156.24
1524168900,155.88,155.36,155.45,155.78
1524168000,155.57,155.3,155.38,155.45
1524167100,155.43,155.16,155.31,155.35
1524166200,155.35,154.88,154.94,155.32
1524165300,155,154.66,154.97,154.97
1524164400,155.13,154.84,154.93,154.94
1524163500,155.14,154.82,154.87,154.94
1524162600,154.82,154.44,154.49,154.79
1524161700,154.84,154.48,154.81,154.49
1524160800,154.91,154.71,154.86,154.88
1524159900,155.15,154.75,154.94,154.91
1524159000,154.95,154.68,154.71,154.95
1524158100,155.03,154.67,154.8,154.67
1524157200,154.81,154.38,154.53,154.81
1524156300,155,154.51,154.91,154.59
1524155400,155.43,154.75,155.4,154.93
1524154500,155.37,154.95,155.03,155.36
1524153600,155.4,154.82,154.97,155.06
1524152700,155.41,154.84,155.15,155.01
1524151800,155.51,155.07,155.51,155.16
1524150900,155.62,154.94,154.94,155.47
1524150000,154.9,153.98,154.37,154.9
1524149100,154.89,154.23,154.88,154.42
1524148200,156.02,154.88,155.39,154.89
1524084300,156.12,155.82,156.08,155.94
1524083400,156.17,156.01,156.08,156.1
1524082500,156.22,155.98,156.12,156.09
1524081600,156.29,156.06,156.19,156.1
1524080700,156.41,156.12,156.2,156.19
1524079800,156.18,155.89,156.18,156.16
1524078900,156.32,156.07,156.22,156.11
1524078000,156.16,155.82,155.94,156.14
1524077100,156.33,155.98,156.21,155.98
1524076200,156.31,156.07,156.22,156.1
1524075300,156.36,156.08,156.25,156.22
1524074400,156.33,156.07,156.12,156.29
1524073500,156.15,155.76,155.91,156.11
1524072600,156.26,155.89,156.1,155.93
1524071700,156.37,156.06,156.35,156.08
1524070800,156.51,156.28,156.42,156.35
1524069900,156.55,156.28,156.32,156.39
1524069000,156.58,156.28,156.58,156.34
1524068100,156.74,156.38,156.72,156.65
1524067200,157.1,156.4,156.4,156.83
1524066300,156.69,156.13,156.45,156.3
1524065400,156.43,155.75,155.89,156.38
1524064500,156.08,155.14,155.19,155.85
1524063600,155.5,155.05,155.41,155.06
1524062700,156.34,155.42,156.34,155.45
1524061800,156.47,154.62,155.19,156.31
1523997900,154.29,153.43,154.28,153.61
1523997000,154.7,154.11,154.55,154.28
1523996100,154.63,154.28,154.28,154.52
1523995200,154.38,154.04,154.13,154.3
1523994300,154.27,153.91,154.08,154.13
1523993400,154.02,153.68,153.68,154.02
1523992500,154,153.52,153.94,153.69
1523991600,154.33,153.89,154.23,153.91
1523990700,154.61,154.15,154.51,154.22
1523989800,154.49,154.16,154.28,154.46
1523988900,154.25,153.81,154.17,154.25
1523988000,154.38,154.03,154.22,154.07
1523987100,154.39,154.2,154.31,154.22
1523986200,154.54,154.17,154.5,154.48
1523985300,155.02,154.51,154.96,154.52
1523984400,155.16,154.76,155.11,154.93
1523983500,155.23,154.87,155,154.87
1523982600,155.09,154.71,155.09,154.95
1523981700,155.53,154.93,155.15,155.1
1523980800,155.25,154.83,154.94,155.11
1523979900,154.9,154.32,154.46,154.88
1523979000,154.49,153.88,154.22,154.49
1523978100,154.48,153.93,154.08,154.05
1523977200,154.3,153.4,153.4,154.07
1523976300,153.52,153.01,153.4,153.36
1523975400,153.87,153.28,153.34,153.39
1523911500,152.61,152.08,152.56,152.16
1523910600,152.6,152.12,152.19,152.57
1523909700,152.26,151.89,152.24,152.22
1523908800,152.5,152.17,152.23,152.26
1523907900,152.41,152.03,152.26,152.21
1523907000,152.51,152.2,152.24,152.31
1523906100,152.54,152.23,152.52,152.3
1523905200,152.98,152.52,152.96,152.52
1523904300,152.95,152.84,152.85,152.93
1523903400,152.89,152.7,152.71,152.82
1523902500,153.22,152.64,153.22,152.65
1523901600,153.24,152.9,153.07,153.24
1523900700,153.41,152.79,152.79,153.07
1523899800,152.89,152.49,152.76,152.75
1523898900,152.75,152.35,152.41,152.75
1523898000,152.57,152.16,152.39,152.43
1523897100,152.41,151.94,152.15,152.33
1523896200,152.4,151.91,152.04,152.12
1523895300,152.18,151.721,151.87,151.94
1523894400,152.47,151.87,152.08,151.87
1523893500,152.67,151.93,152.52,152.09
1523892600,152.9,152.39,152.49,152.45
1523891700,152.46,151.36,151.62,152.46
1523890800,151.77,150.44,150.45,151.59
1523889900,151.57,150.28,151.49,150.47
1523889000,152.25,151.22,151.74,151.45
1523652300,150.32,149.82,150.01,150.23
1523651400,149.99,149.34,149.38,149.98
1523650500,149.63,148.99,149.63,149.42
1523649600,150.07,149.565,150.06,149.8
1523648700,150.47,149.97,150.47,150.08
1523647800,150.79,150.33,150.48,150.43
1523646900,150.69,150.35,150.69,150.48
1523646000,150.925,150.631,150.8,150.73
1523645100,150.96,150.7,150.96,150.8
1523644200,151.07,150.82,151.07,150.97
1523643300,151.1,150.6,150.81,151.02
1523642400,150.74,150.36,150.43,150.72
1523641500,150.58,150.26,150.58,150.44
1523640600,150.84,150.47,150.84,150.55
1523639700,151,150.64,150.78,150.96
1523638800,150.94,150.48,150.67,150.72
1523637900,150.72,150.19,150.55,150.67
1523637000,150.82,150.38,150.56,150.65
1523636100,150.66,149.9,150.22,150.63
1523635200,150.5,149.9,150.5,150.17
1523634300,151.16,150.68,150.89,150.76
1523633400,151.24,150.59,151.1,150.88
1523632500,151.36,150.56,150.89,151.08
1523631600,151.55,150.73,151.25,150.94
1523630700,151.9,151.26,151.76,151.33
1523629800,152.89,151.74,151.75,151.75
1523565900,150.58,149.99,150.58,150.18
1523565000,151.08,150.53,151.03,150.65
1523564100,151.15,150.73,150.99,151.07
1523563200,150.96,150.43,150.84,150.96
1523562300,150.88,150.53,150.59,150.88
1523561400,150.78,150.49,150.75,150.61
1523560500,150.88,150.49,150.49,150.67
1523559600,150.53,149.97,150,150.44
1523558700,150.42,149.85,150.06,149.92
1523557800,150.29,149.68,149.92,150.28
1523556900,150.49,149.78,150.49,149.91
1523556000,150.99,150.45,150.7,150.48
1523555100,150.7,150.37,150.37,150.53
1523554200,150.55,150.16,150.4,150.27
1523553300,150.54,150.09,150.15,150.43
1523552400,150.69,150.13,150.58,150.29
1523551500,150.76,149.87,150.73,150.5
1523550600,150.72,150.29,150.55,150.72
1523549700,150.56,150.21,150.29,150.52
1523548800,150.35,149.55,149.55,150.32
1523547900,149.95,149.43,149.69,149.58
1523547000,150.09,149.46,150.03,149.68
1523546100,150.07,149.35,149.48,150.04
1523545200,149.35,148.64,148.89,149.34
1523544300,149.07,148.23,148.52,148.82
1523543400,148.86,147.64,147.64,148.43
1523479500,147.17,146.68,147.07,146.81
1523478600,147.28,146.88,146.9,147.11
1523477700,146.98,146.67,146.91,146.87
1523476800,147.57,146.85,147.51,146.93
1523475900,147.55,147.2,147.51,147.4
1523475000,147.95,147.51,147.56,147.57
1523474100,147.93,147.25,147.28,147.59
1523473200,147.77,147.07,147.75,147.31
1523472300,147.85,147.43,147.48,147.65
1523471400,147.7,147.41,147.69,147.56
1523470500,147.96,147.6,147.6,147.62
1523469600,147.96,147.46,147.88,147.52
1523468700,147.91,147.48,147.83,147.81
1523467800,147.93,147.46,147.69,147.89
1523466900,148.01,147.65,147.9,147.69
1523466000,148.35,147.85,147.85,147.92
1523465100,148.01,147.64,147.86,147.8
1523464200,148.06,147.39,147.59,147.99
1523463300,147.52,146.85,147.04,147.42
1523462400,147.33,146.7,147.32,146.91
1523461500,148.27,147.311,148.22,147.311
1523460600,148.27,147.87,148.23,148.15
1523459700,148.24,146.8,146.91,148.23
1523458800,147.66,146.97,147.49,146.97
1523457900,147.76,146.68,147.42,147.5
1523457000,148.06,146.35,146.68,147.24
1523393100,148.39,147.89,148.11,148.05
1523392200,148.37,147.91,148.31,148.12
1523391300,148.84,148.02,148.68,148.37
1523390400,148.79,148.29,148.69,148.73
1523389500,148.67,148.17,148.25,148.67
1523388600,149.01,148.12,148.6,148.31
1523387700,148.82,148.45,148.57,148.55
1523386800,148.75,148.16,148.36,148.59
1523385900,148.28,147.35,147.65,148.27
1523385000,148.02,147.54,147.72,147.64
1523384100,147.81,147.39,147.7,147.72
1523383200,147.79,147.24,147.4,147.68
1523382300,147.59,147.08,147.27,147.46
1523381400,147.68,147.04,147.14,147.17
1523380500,148.24,146.8,148.24,147.19
1523379600,148.51,148,148.51,148.24
1523378700,148.57,147.68,148.05,148.42
1523377800,148.71,148.01,148.27,148.03
1523376900,148.5,148.03,148.21,148.25
1523376000,148.75,147.98,148.3,148.13
1523375100,148.25,147.9,148.02,148.21
1523374200,148.055,147.34,147.34,147.91
1523373300,147.5,146.8,147.33,147.29
1523372400,147.35,146.09,146.26,147.3
1523371500,146.9,145.89,146.63,146.25
1523370600,146.94,145.63,146.75,146.56
1523306700,144.48,142.8,144.355,143.08
1523305800,144.96,144.1,144.67,144.34
1523304900,145.36,144.53,145.35,144.72
1523304000,145.82,145.49,145.69,145.5
1523303100,145.78,145.43,145.47,145.68
1523302200,145.92,145.25,145.67,145.36
1523301300,146.1,145.55,145.79,145.72
