date,high,low,open,close
1524496500,44.305,44.2,44.2,44.22
1524495600,44.3,44.17,44.3,44.18
1524494700,44.3,44.12,44.21,44.3
1524493800,44.3,44.055,44.26,44.21
1524257100,44.11,43.955,43.99,44.09
1524256200,44.04,43.875,43.92,44
1524255300,43.95,43.82,43.885,43.92
1524254400,43.98,43.77,43.98,43.88
1524253500,44.01,43.89,44.01,43.975
1524252600,44.03,43.91,44.02,44.01
1524251700,44.055,43.965,43.99,44.02
1524250800,44.05,43.96,43.99,43.99
1524249900,44.07,43.985,44.02,44
1524249000,44.05,43.87,43.89,44.02
1524248100,43.92,43.77,43.79,43.89
1524247200,43.79,43.64,43.675,43.78
1524246300,43.73,43.63,43.69,43.68
1524245400,43.76,43.63,43.71,43.7
1524244500,43.83,43.7,43.8,43.71
1524243600,43.91,43.79,43.89,43.795
1524242700,43.96,43.86,43.88,43.89
1524241800,43.92,43.77,43.8,43.88
1524240900,43.94,43.77,43.87,43.79
1524240000,44.17,43.83,44.15,43.87
1524239100,44.19,44,44.19,44.16
1524238200,44.305,44.18,44.28,44.2
1524237300,44.29,44.2,44.225,44.28
1524236400,44.32,44.18,44.31,44.22
1524235500,44.4,44.26,44.38,44.3
1524234600,44.71,44.29,44.5,44.37
1524170700,44.595,44.47,44.595,44.56
1524169800,44.775,44.55,44.57,44.605
1524168900,44.705,44.57,44.685,44.57
1524168000,44.7,44.605,44.655,44.69
1524167100,44.66,44.595,44.635,44.655
1524166200,44.64,44.485,44.5,44.64
1524165300,44.64,44.49,44.64,44.51
1524164400,44.68,44.62,44.645,44.645
1524163500,44.73,44.615,44.72,44.65
1524162600,44.71,44.565,44.615,44.71
1524161700,44.705,44.62,44.69,44.62
1524160800,44.77,44.66,44.76,44.7
1524159900,44.84,44.76,44.78,44.77
1524159000,44.83,44.72,44.74,44.79
1524158100,44.83,44.735,44.74,44.75
1524157200,44.79,44.68,44.72,44.73
1524156300,44.86,44.72,44.84,44.73
1524155400,44.875,44.78,44.87,44.84
1524154500,44.87,44.76,44.76,44.87
1524153600,44.93,44.77,44.91,44.77
1524152700,44.95,44.79,44.84,44.9
1524151800,44.88,44.66,44.72,44.84
1524150900,44.785,44.67,44.68,44.725
1524150000,44.68,44.53,44.59,44.68
1524149100,44.59,44.44,44.49,44.59
1524148200,44.65,44.45,44.52,44.48
1524084300,44.715,44.61,44.7,44.63
1524083400,44.77,44.7,44.765,44.7
1524082500,44.835,44.76,44.78,44.765
1524081600,44.82,44.72,44.74,44.775
1524080700,44.82,44.7,44.725,44.73
1524079800,44.775,44.715,44.75,44.725
1524078900,44.8,44.725,44.765,44.745
1524078000,44.77,44.66,44.715,44.76
1524077100,44.755,44.71,44.745,44.71
1524076200,44.8,44.72,44.795,44.745
1524075300,44.915,44.75,44.91,44.795
1524074400,44.92,44.86,44.885,44.91
1524073500,44.885,44.76,44.79,44.88
1524072600,44.85,44.76,44.83,44.8
1524071700,44.875,44.765,44.875,44.83
1524070800,44.88,44.815,44.82,44.875
1524069900,44.88,44.74,44.775,44.81
1524069000,44.825,44.74,44.76,44.78
1524068100,44.8,44.62,44.705,44.76
1524067200,44.75,44.65,44.68,44.71
1524066300,44.68,44.56,44.585,44.67
1524065400,44.59,44.44,44.45,44.57
1524064500,44.45,44.315,44.32,44.43
1524063600,44.485,44.3,44.485,44.31
