date,high,low,open,close
1524496500,100.23,100.05,100.09,100.19
1524495600,100.1,99.8,100.01,100.04
1524494700,100,99.53,99.89,100
1524493800,100.63,99.77,100.63,99.88
1524257100,100.26,100.05,100.08,100.23
1524256200,100.2,100.04,100.09,100.1
1524255300,100.13,99.91,100.01,100.11
1524254400,100.2,99.92,100.2,100.01
1524253500,100.25,100.07,100.16,100.21
1524252600,100.24,100.08,100.23,100.13
1524251700,100.35,100.18,100.33,100.26
1524250800,100.37,100.26,100.3,100.31
1524249900,100.38,100.23,100.23,100.28
1524249000,100.34,100.14,100.3,100.23
1524248100,100.32,100.13,100.18,100.31
1524247200,100.16,99.95,100.03,100.15
1524246300,100.17,100.01,100.1,100.05
1524245400,100.23,100.04,100.22,100.1
1524244500,100.29,100.15,100.16,100.22
1524243600,100.29,100.08,100.17,100.15
1524242700,100.5,100.16,100.49,100.22
1524241800,100.58,100.24,100.28,100.49
1524240900,100.46,100.22,100.27,100.26
1524240000,100.55,100.22,100.51,100.26
1524239100,100.65,100.4,100.64,100.51
1524238200,100.79,100.48,100.77,100.6
1524237300,100.87,100.65,100.85,100.76
1524236400,101.08,100.78,100.89,100.85
1524235500,100.9,100.6,100.87,100.87
1524234600,101.38,100.7,101.18,100.88
1524170700,100.94,100.72,100.92,100.88
1524169800,101.05,100.59,100.63,100.91
1524168900,100.75,100.63,100.72,100.64
1524168000,100.76,100.52,100.56,100.73
1524167100,100.61,100.49,100.57,100.56
1524166200,100.7,100.51,100.55,100.58
1524165300,100.59,100.44,100.52,100.57
1524164400,100.63,100.5,100.55,100.52
1524163500,100.57,100.47,100.47,100.55
1524162600,100.58,100.38,100.49,100.46
1524161700,100.61,100.45,100.53,100.47
1524160800,100.61,100.45,100.61,100.52
1524159900,100.7,100.54,100.62,100.61
1524159000,100.73,100.56,100.56,100.63
1524158100,100.79,100.47,100.48,100.55
1524157200,100.65,100.44,100.51,100.46
1524156300,100.91,100.52,100.88,100.52
1524155400,101.09,100.83,101.04,100.87
1524154500,101.13,100.94,101.1,101.06
1524153600,101.28,101.01,101.28,101.11
1524152700,101.38,101.185,101.235,101.27
1524151800,101.41,101.07,101.17,101.235
1524150900,101.56,101.15,101.49,101.17
1524150000,101.51,100.68,100.85,101.49
1524149100,100.89,100.47,100.54,100.86
1524148200,101.12,100.22,101,100.5
1524084300,101.355,101.2,101.355,101.22
1524083400,101.53,101.35,101.52,101.36
1524082500,101.61,101.51,101.52,101.51
1524081600,101.54,101.37,101.43,101.52
1524080700,101.58,101.43,101.57,101.43
1524079800,101.68,101.49,101.67,101.57
1524078900,101.74,101.64,101.74,101.66
1524078000,101.82,101.71,101.82,101.73
1524077100,101.91,101.82,101.89,101.83
1524076200,101.96,101.87,101.94,101.9
1524075300,101.99,101.92,101.93,101.93
1524074400,101.98,101.82,101.82,101.93
1524073500,101.95,101.82,101.87,101.82
1524072600,101.97,101.87,101.94,101.89
1524071700,101.98,101.85,101.98,101.96
1524070800,102.06,101.96,101.99,101.985
1524069900,102.12,101.95,102.03,101.98
1524069000,102.2,102.01,102.2,102.02
1524068100,102.27,102,102.19,102.22
1524067200,102.2,101.98,102.05,102.18
1524066300,102.07,101.83,101.88,102.06
1524065400,101.94,101.7,101.92,101.87
1524064500,102.22,101.82,102.03,101.94
1524063600,102.31,102.03,102.25,102.04
1524062700,102.64,102.26,102.56,102.26
1524061800,102.7,102.23,102.69,102.55
1523997900,102.5,102.17,102.48,102.18
1523997000,102.53,102.4,102.46,102.47
1523996100,102.51,102.36,102.42,102.46
1523995200,102.58,102.36,102.46,102.42
1523994300,102.58,102.46,102.54,102.47
1523993400,102.56,102.36,102.37,102.54
1523992500,102.38,102.17,102.2,102.38
1523991600,102.36,102.16,102.16,102.2
1523990700,102.2,102.14,102.16,102.17
1523989800,102.16,102.06,102.08,102.16
1523988900,102.1,101.99,102.08,102.1
1523988000,102.12,102,102.035,102.08
1523987100,102.1,101.98,102,102.035
1523986200,102.16,101.995,102.15,102.01
1523985300,102.19,102.07,102.11,102.16
1523984400,102.1,101.83,101.83,102.09
1523983500,101.94,101.8,101.815,101.83
1523982600,101.91,101.79,101.85,101.81
1523981700,101.92,101.645,101.645,101.88
1523980800,101.69,101.51,101.6,101.66
1523979900,101.68,101.425,101.55,101.6
1523979000,101.55,101.245,101.25,101.53
1523978100,101.25,100.89,100.965,101.22
1523977200,101.17,100.95,101.04,100.95
1523976300,101.3,101,101,101.04
1523975400,101.29,100.75,101.29,100.97
1523911500,100.24,100.1,100.17,100.21
1523910600,100.2,99.95,100.019,100.175
1523909700,100.1,99.83,100.09,100.02
1523908800,100.16,100.05,100.15,100.1
1523907900,100.28,100.14,100.25,100.14
1523907000,100.4,100.22,100.23,100.25
1523906100,100.42,100.22,100.39,100.24
1523905200,100.56,100.4,100.55,100.4
1523904300,100.65,100.52,100.65,100.53
1523903400,100.66,100.46,100.53,100.65
1523902500,100.56,100.35,100.41,100.54
1523901600,100.46,100.23,100.23,100.45
1523900700,100.31,100.17,100.17,100.22
1523899800,100.21,100.15,100.15,100.16
1523898900,100.2,100.1,100.16,100.12
1523898000,100.22,100.12,100.17,100.17
1523897100,100.2,100.09,100.16,100.16
1523896200,100.23,100.14,100.2,100.16
1523895300,100.22,100.14,100.19,100.21
1523894400,100.23,100.13,100.19,100.19
1523893500,100.38,100.151,100.34,100.19
1523892600,100.34,100.17,100.25,100.34
1523891700,100.3,100.06,100.13,100.27
1523890800,100.28,100,100.04,100.1
1523889900,100.21,99.92,100.06,100.05
1523889000,100.81,99.74,100.81,100.06
1523652300,100.47,100.33,100.42,100.37
1523651400,100.45,100.23,100.27,100.4
1523650500,100.38,100.17,100.38,100.28
1523649600,100.45,100.29,100.41,100.38
1523648700,100.62,100.37,100.61,100.42
1523647800,100.83,100.52,100.69,100.62
1523646900,100.71,100.58,100.66,100.69
1523646000,100.73,100.53,100.6,100.67
1523645100,100.6,100.46,100.5,100.6
1523644200,100.51,100.37,100.49,100.48
1523643300,100.66,100.37,100.64,100.48
1523642400,100.56,100.29,100.29,100.56
1523641500,100.4,100.23,100.37,100.29
1523640600,100.65,100.37,100.65,100.38
1523639700,100.67,100.5,100.55,100.67
1523638800,100.87,100.46,100.83,100.54
1523637900,100.84,100.51,100.56,100.83
1523637000,100.57,100.33,100.56,100.56
1523636100,100.69,100.38,100.39,100.57
1523635200,100.47,100.2,100.29,100.38
1523634300,100.83,100.3,100.67,100.3
1523633400,100.78,100.42,100.55,100.66
1523632500,101,100.56,100.91,100.56
1523631600,101.24,100.89,101.19,100.89
1523630700,101.36,100.94,101.36,101.18
