date,high,low,open,close
1524496500,66,65.74,65.99,65.76
1524495600,66.05,65.84,65.87,65.92
1524494700,65.88,65.7,65.84,65.88
1524493800,66.03,65.7,65.87,65.84
1524257100,66.05,65.8,65.9,66.04
1524256200,65.96,65.75,65.82,65.9
1524255300,65.85,65.68,65.73,65.83
1524254400,65.76,65.62,65.76,65.73
1524253500,65.78,65.7,65.78,65.76
1524252600,65.9,65.73,65.87,65.77
1524251700,65.88,65.8,65.84,65.86
1524250800,66.005,65.83,65.95,65.83
1524249900,66.05,65.95,66.045,65.95
1524249000,66.1,65.97,65.98,66.045
1524248100,66.005,65.87,65.98,65.96
1524247200,65.99,65.81,65.84,65.99
1524246300,65.92,65.79,65.88,65.83
1524245400,65.96,65.81,65.92,65.88
1524244500,65.99,65.88,65.97,65.93
1524243600,66.04,65.78,65.88,65.96
1524242700,66.095,65.89,66.095,65.9
1524241800,66.16,65.95,65.95,66.1
1524240900,66.04,65.91,65.98,65.91
1524240000,66.32,65.95,66.31,65.99
1524239100,66.68,66.29,66.67,66.29
1524238200,66.74,66.58,66.59,66.66
1524237300,66.66,66.55,66.58,66.6
1524236400,66.83,66.53,66.83,66.57
1524235500,66.95,66.69,66.7,66.82
1524234600,66.89,66.57,66.57,66.73
1524170700,66.69,66.32,66.665,66.53
1524169800,66.91,66.52,66.56,66.66
1524168900,66.67,66.54,66.58,66.56
1524168000,66.73,66.59,66.62,66.59
1524167100,66.65,66.51,66.58,66.62
1524166200,66.6,66.26,66.27,66.57
1524165300,66.35,66.21,66.32,66.27
1524164400,66.41,66.3,66.37,66.32
1524163500,66.44,66.35,66.39,66.36
1524162600,66.39,66.21,66.27,66.39
1524161700,66.4,66.23,66.38,66.28
1524160800,66.41,66.29,66.41,66.35
1524159900,66.56,66.38,66.45,66.41
1524159000,66.49,66.23,66.25,66.46
1524158100,66.5,66.25,66.47,66.25
1524157200,66.48,66.25,66.47,66.43
1524156300,66.69,66.48,66.58,66.48
1524155400,66.64,66.5,66.61,66.57
1524154500,66.83,66.49,66.69,66.63
1524153600,66.85,66.64,66.85,66.7
1524152700,67,66.78,66.95,66.83
1524151800,67.15,66.97,67.02,66.97
1524150900,67.21,67,67.17,67.01
1524150000,67.21,66.83,67.1,67.21
1524149100,67.32,67.05,67.3,67.11
1524148200,67.81,67.121,67.71,67.32
1524084300,68.07,67.96,68.04,68.04
1524083400,68.08,68.03,68.04,68.04
1524082500,68.08,67.96,67.96,68.03
1524081600,68.02,67.85,67.92,67.96
1524080700,68.02,67.88,67.93,67.92
1524079800,68.01,67.86,67.89,67.91
1524078900,67.97,67.89,67.94,67.9
1524078000,67.96,67.72,67.78,67.94
1524077100,67.87,67.761,67.83,67.79
1524076200,68.06,67.78,68.04,67.82
1524075300,68.16,68.04,68.1,68.05
1524074400,68.1,67.99,68,68.1
1524073500,68.02,67.89,67.91,68
1524072600,67.99,67.86,67.9,67.91
1524071700,67.93,67.79,67.93,67.88
1524070800,67.99,67.83,67.84,67.95
1524069900,68.18,67.88,68.15,67.89
1524069000,68.36,68.14,68.25,68.15
1524068100,68.35,68.21,68.33,68.26
1524067200,68.33,68.18,68.18,68.33
1524066300,68.35,68.13,68.25,68.19
1524065400,68.26,67.96,68.01,68.26
1524064500,68.04,67.84,67.88,68
1524063600,68,67.73,67.92,67.86
1524062700,68,67.8,67.89,67.89
1524061800,67.98,67.5,67.68,67.92
1523997900,67.71,67.47,67.71,67.54
1523997000,67.78,67.63,67.74,67.7
1523996100,67.82,67.57,67.57,67.71
1523995200,67.68,67.49,67.51,67.58
1523994300,67.56,67.44,67.52,67.53
1523993400,67.54,67.44,67.46,67.52
1523992500,67.49,67.34,67.38,67.47
1523991600,67.5,67.33,67.37,67.4
1523990700,67.4,67.28,67.28,67.36
1523989800,67.28,67.14,67.18,67.27
1523988900,67.24,67.05,67.24,67.15
1523988000,67.3,67.21,67.25,67.25
1523987100,67.36,67.2,67.32,67.26
1523986200,67.42,67.33,67.42,67.33
1523985300,67.5,67.4,67.44,67.42
1523984400,67.52,67.4,67.47,67.43
1523983500,67.59,67.46,67.53,67.47
1523982600,67.76,67.47,67.73,67.52
1523981700,67.88,67.69,67.78,67.73
1523980800,67.85,67.66,67.76,67.77
1523979900,67.84,67.55,67.55,67.75
1523979000,67.53,67.23,67.31,67.53
1523978100,67.64,67.28,67.64,67.31
1523977200,67.72,67.42,67.42,67.65
1523976300,67.53,67.29,67.36,67.41
1523975400,67.76,67.16,67.52,67.3
1523911500,67.13,66.94,67.11,67.01
1523910600,67.16,67.03,67.07,67.12
1523909700,67.11,66.905,66.96,67.08
1523908800,67.06,66.95,67.03,66.96
1523907900,67.2,67,67.16,67.02
1523907000,67.2,67.07,67.08,67.15
1523906100,67.2,67.09,67.15,67.09
1523905200,67.21,67.1,67.18,67.12
1523904300,67.25,67.15,67.22,67.17
1523903400,67.27,67.08,67.08,67.22
1523902500,67.11,67.03,67.07,67.07
1523901600,67.07,66.94,66.97,67.06
1523900700,67.02,66.64,66.64,66.97
1523899800,66.76,66.56,66.72,66.65
1523898900,66.82,66.65,66.73,66.73
1523898000,66.8,66.62,66.65,66.73
1523897100,66.61,66.41,66.49,66.61
1523896200,66.66,66.45,66.66,66.49
1523895300,66.73,66.5,66.55,66.68
1523894400,66.84,66.59,66.65,66.62
1523893500,66.71,66.53,66.69,66.64
1523892600,66.68,66.49,66.52,66.67
1523891700,66.56,66.18,66.33,66.53
1523890800,66.51,66.22,66.22,66.32
1523889900,66.34,66.09,66.12,66.21
1523889000,66.92,66.09,66.69,66.11
1523652300,66.26,66.01,66.01,66.18
1523651400,66.05,65.89,65.96,65.99
1523650500,66.04,65.9,66.03,65.99
1523649600,66.24,66,66.24,66.02
1523648700,66.47,66.22,66.42,66.25
1523647800,66.61,66.42,66.5,66.45
1523646900,66.66,66.48,66.6,66.54
1523646000,66.7,66.6,66.66,66.61
1523645100,66.86,66.61,66.85,66.67
1523644200,66.89,66.73,66.84,66.83
1523643300,66.83,66.53,66.54,66.83
