date,high,low,open,close
1524496500,176.82,176.32,176.39,176.77
1524495600,176.87,176.3,176.79,176.39
1524494700,176.87,176.28,176.87,176.82
1524493800,178.24,176.86,177.62,176.94
1524257100,177.07,176.35,176.6,176.99
1524256200,176.81,176.55,176.61,176.62
1524255300,176.67,176.35,176.54,176.61
1524254400,176.97,176.36,176.97,176.55
1524253500,177.09,176.85,176.92,176.99
1524252600,177.2,176.82,177.15,176.94
1524251700,177.21,177.04,177.07,177.16
1524250800,177.2,176.94,176.99,177.06
1524249900,177.31,176.88,177.12,177
1524249000,177.13,176.87,176.96,177.12
1524248100,177.14,176.71,177.08,176.9
1524247200,177.11,176.66,176.83,177.08
1524246300,177.29,176.73,177,176.86
1524245400,177.3,176.9,177.2,176.94
1524244500,177.45,177.05,177.13,177.22
1524243600,177.37,176.92,177.36,177.09
1524242700,177.56,177.21,177.47,177.37
1524241800,177.53,176.85,176.87,177.46
1524240900,177.4,176.86,177.29,176.9
1524240000,178.16,177.1,178.06,177.21
1524239100,178.86,177.87,178.86,178.08
1524238200,178.89,178.62,178.67,178.8
1524237300,178.71,178.23,178.33,178.71
1524236400,178.83,178.27,178.37,178.34
1524235500,178.37,177.86,177.9,178.37
1524234600,178.58,177.2,177.85,177.81
1524170700,177.28,176.84,177.18,177.1
1524169800,177.48,176.6,176.6,177.22
1524168900,176.78,176.57,176.69,176.6
1524168000,176.87,176.66,176.69,176.68
1524167100,176.83,176.63,176.74,176.67
1524166200,176.82,176.62,176.7,176.77
1524165300,176.88,176.51,176.82,176.74
1524164400,176.89,176.63,176.65,176.79
1524163500,176.63,176.25,176.37,176.62
1524162600,176.35,175.8,175.81,176.34
1524161700,176.12,175.78,176.1,175.8
1524160800,176.24,176.01,176.21,176.135
1524159900,176.68,176.21,176.48,176.39
1524159000,176.61,176.25,176.28,176.52
1524158100,176.61,176.22,176.45,176.25
1524157200,176.44,176.14,176.43,176.44
1524156300,176.98,176.45,176.65,176.45
1524155400,177.44,176.64,177.44,176.64
1524154500,177.55,177.1,177.34,177.46
1524153600,177.82,177.4,177.6,177.42
1524152700,178.26,177.55,178.15,177.6
