date,high,low,open,close
1524496500,126.7,126.33,126.65,126.37
1524495600,126.99,126.55,126.84,126.65
1524494700,126.93,126.37,126.45,126.83
1524493800,126.99,126.19,126.88,126.39
1524257100,126.71,126.29,126.41,126.66
1524256200,126.64,126.25,126.41,126.49
1524255300,126.47,126.17,126.32,126.4
1524254400,126.53,126.2,126.37,126.33
1524253500,126.46,126.29,126.46,126.37
1524252600,126.75,126.41,126.67,126.49
1524251700,126.71,126.49,126.57,126.65
1524250800,126.71,126.55,126.59,126.55
1524249900,126.7,126.54,126.58,126.61
1524249000,126.62,126.43,126.53,126.58
1524248100,126.54,126.36,126.42,126.53
1524247200,126.42,126.25,126.35,126.42
1524246300,126.48,126.25,126.35,126.35
1524245400,126.62,126.34,126.57,126.35
1524244500,126.7,126.54,126.64,126.58
1524243600,126.73,126.56,126.69,126.62
1524242700,126.71,126.57,126.67,126.71
1524241800,126.71,126.5,126.51,126.62
1524240900,126.67,126.38,126.43,126.48
1524240000,126.63,126.26,126.6,126.45
1524239100,126.95,126.48,126.94,126.62
1524238200,127.34,126.81,127.25,126.92
1524237300,127.56,127.11,127.55,127.26
1524236400,127.65,127.26,127.59,127.52
1524235500,127.58,127.15,127.46,127.58
1524234600,128.29,127.4,128.1,127.53
1524170700,127.69,127.48,127.66,127.62
1524169800,127.95,127.09,127.1,127.65
1524168900,127.17,127.02,127.03,127.11
1524168000,127.22,127.06,127.16,127.06
1524167100,127.33,127.14,127.26,127.16
1524166200,127.26,127.04,127.04,127.23
1524165300,127.2,127,127.01,127.05
1524164400,127.21,127.04,127.08,127.04
1524163500,127.31,127.02,127.18,127.07
1524162600,127.18,126.935,126.97,127.17
1524161700,127.02,126.89,126.99,126.96
1524160800,127.08,126.92,127.03,127.03
1524159900,127.19,126.96,127.12,127.04
1524159000,127.3,127.1,127.13,127.12
1524158100,127.21,127.01,127.03,127.11
1524157200,127.36,127.01,127.26,127.04
1524156300,127.65,127.27,127.51,127.28
1524155400,127.94,127.51,127.93,127.52
1524154500,127.97,127.71,127.74,127.94
1524153600,127.79,127.53,127.61,127.75
1524152700,127.59,127.3,127.48,127.59
1524151800,127.69,127.44,127.51,127.49
1524150900,127.97,127.55,127.95,127.56
1524150000,128.26,127.84,128.21,127.98
1524149100,128.25,127.66,127.78,128.21
1524148200,127.8,127.1,127.63,127.77
1524084300,127.98,127.755,127.78,127.81
1524083400,128.03,127.76,127.96,127.8
1524082500,127.99,127.75,127.84,127.94
1524081600,127.99,127.74,127.98,127.81
1524080700,128.1,127.88,128.1,127.96
1524079800,128.51,127.93,128.49,128.09
1524078900,128.5,128.1,128.1,128.47
1524078000,128.1,127.7,127.75,128.09
1524077100,127.82,127.59,127.82,127.7
1524076200,128.09,127.82,128.04,127.82
1524075300,128.14,127.99,128.08,128.02
1524074400,128.13,127.98,128.075,128.05
1524073500,128.115,127.99,128.115,128.06
1524072600,128.115,127.78,127.79,128.115
1524071700,127.91,127.6,127.77,127.84
1524070800,127.99,127.63,127.98,127.79
1524069900,128.18,127.94,128.02,127.98
1524069000,128.26,128.01,128.02,128.03
1524068100,128,127.37,127.57,128
1524067200,127.58,127.03,127.07,127.56
1524066300,127.43,127.05,127.4,127.08
1524065400,127.6,127.3,127.52,127.38
1524064500,127.75,127.27,127.27,127.51
1524063600,127.55,126.96,127.44,127.26
1524062700,128.44,127.36,128.44,127.5
1524061800,129.77,128.25,129.62,128.4
1523997900,130.75,130.2,130.24,130.45
1523997000,130.33,130.09,130.3,130.24
1523996100,130.39,130.08,130.11,130.29
1523995200,130.12,129.64,129.72,130.06
1523994300,129.76,129.18,129.34,129.72
1523993400,129.63,129.3,129.48,129.37
1523992500,129.75,129.44,129.68,129.49
1523991600,129.95,129.6,129.76,129.67
1523990700,129.84,129.61,129.82,129.75
1523989800,130.05,129.79,129.98,129.79
1523988900,130.19,129.94,130.19,130.02
1523988000,130.28,130.125,130.28,130.18
1523987100,130.31,129.85,129.85,130.28
1523986200,130.14,129.73,130,129.82
1523985300,130.33,130.02,130.06,130.02
1523984400,130.21,130,130.13,130.06
1523983500,130.27,130.04,130.17,130.11
1523982600,130.4,129.88,129.93,130.16
1523981700,130.14,129.62,129.69,129.93
1523980800,129.9,129.11,129.21,129.71
1523979900,129.79,129.11,129.79,129.21
1523979000,129.96,129.5,129.68,129.79
1523978100,129.73,129.13,129.45,129.69
1523977200,129.78,128.81,129.27,129.5
1523976300,130.71,129.25,130.6,129.26
1523975400,132.16,130.4,131.11,130.59
1523911500,132.01,131.715,131.95,131.86
1523910600,132.21,131.9,132.03,131.97
1523909700,132.06,131.9,131.96,132.05
1523908800,131.99,131.815,131.95,131.98
1523907900,132.05,131.91,131.92,131.949
1523907000,132.03,131.75,131.83,131.97
1523906100,132.06,131.86,131.99,131.87
1523905200,132.14,131.95,132.08,131.97
1523904300,132.13,132,132.03,132.071
1523903400,132.18,131.955,132.08,132.04
1523902500,132.24,132.03,132.21,132.11
1523901600,132.48,132.19,132.28,132.24
1523900700,132.49,131.94,131.94,132.25
1523899800,132.03,131.83,131.99,131.91
1523898900,132.06,131.94,131.95,131.98
1523898000,132.24,131.94,132.22,131.94
1523897100,132.42,132.13,132.41,132.21
1523896200,132.74,132.32,132.74,132.41
1523895300,132.85,132.51,132.73,132.74
1523894400,132.77,132.17,132.22,132.76
1523893500,132.45,132.19,132.39,132.23
1523892600,132.86,132.37,132.83,132.37
1523891700,132.86,132.22,132.41,132.86
1523890800,132.8,132.32,132.48,132.37
1523889900,132.58,131.91,131.91,132.48
1523889000,131.91,131.29,131.41,131.91
1523652300,130.79,130.29,130.33,130.61
1523651400,130.41,129.84,129.89,130.32
1523650500,130.01,129.66,130.01,129.9
1523649600,130.22,129.88,130.22,130.01
1523648700,130.49,130.09,130.46,130.22
1523647800,130.64,130.32,130.59,130.45
1523646900,130.59,130.29,130.59,130.57
1523646000,130.67,130.41,130.46,130.61
1523645100,130.59,130.4,130.45,130.47
1523644200,130.53,130.3,130.53,130.47
1523643300,130.56,130.3,130.38,130.51
1523642400,130.36,130.14,130.14,130.34
1523641500,130.21,130.01,130.13,130.13
1523640600,130.41,130,130.41,130.09
1523639700,130.35,130.03,130.08,130.35
1523638800,130.39,129.99,130.21,130.06
1523637900,130.28,130.02,130.13,130.22
1523637000,130.55,130.04,130.54,130.12
1523636100,130.59,130.38,130.41,130.56
1523635200,130.64,130.28,130.4,130.39
1523634300,130.79,130.41,130.67,130.43
1523633400,130.89,130.6,130.801,130.69
1523632500,131.31,130.76,131.16,130.82
1523631600,131.41,130.97,131.32,131.14
1523630700,131.34,130.64,130.75,131.29
1523629800,131.29,130.76,131.12,130.76
1523565900,130.91,130.43,130.91,130.45
1523565000,131.25,130.91,131.21,130.93
1523564100,131.31,130.8,130.86,131.23
1523563200,130.81,130.62,130.68,130.81
1523562300,130.65,130.44,130.58,130.65
1523561400,130.65,130.52,130.61,130.58
1523560500,130.69,130.55,130.68,130.57
1523559600,130.64,130.24,130.24,130.64
1523558700,130.48,130.16,130.37,130.27
1523557800,130.42,129.88,129.95,130.38
1523556900,130.4,129.89,130.4,129.96
1523556000,130.63,130.22,130.6,130.4
1523555100,130.71,130.45,130.45,130.5
1523554200,130.56,130.4,130.52,130.42
1523553300,130.61,130.39,130.53,130.52
1523552400,130.63,130.42,130.46,130.56
1523551500,130.48,130.24,130.36,130.44
1523550600,130.5,130.27,130.36,130.35
1523549700,130.6,130.35,130.52,130.36
1523548800,130.69,130.5,130.53,130.59
1523547900,130.79,130.5,130.54,130.54
1523547000,130.64,130.38,130.61,130.61
1523546100,130.97,130.62,130.86,130.62
1523545200,130.94,130.67,130.83,130.87
1523544300,130.87,130.21,130.21,130.85
1523543400,130.48,130.07,130.09,130.22
1523479500,129.91,129.44,129.83,129.71
1523478600,129.82,129.58,129.58,129.82
1523477700,129.69,129.36,129.48,129.54
1523476800,129.93,129.44,129.86,129.54
1523475900,129.87,129.65,129.76,129.79
1523475000,130.02,129.71,129.78,129.75
1523474100,130.04,129.67,129.71,129.78
1523473200,130.01,129.52,129.82,129.71
1523472300,129.87,129.62,129.7,129.8
1523471400,129.88,129.56,129.71,129.72
1523470500,129.97,129.67,129.85,129.68
1523469600,130.13,129.72,130.05,129.78
1523468700,130.16,129.91,130.16,130.06
1523467800,130.15,129.9,129.99,130.15
1523466900,130.24,129.9,130.24,129.95
1523466000,130.35,130.07,130.07,130.29
1523465100,130.18,129.84,129.84,130.03
1523464200,129.93,129.66,129.72,129.86
1523463300,129.69,129.36,129.48,129.6
1523462400,129.45,129.18,129.28,129.41
1523461500,129.75,129.32,129.75,129.32
1523460600,129.74,129.53,129.63,129.74
1523459700,129.85,129.53,129.53,129.56
1523458800,129.65,129.32,129.49,129.52
1523457900,129.9,129.3,129.9,129.49
