date,high,low,open,close
1524496500,43.69,43.565,43.655,43.61
1524495600,43.74,43.65,43.73,43.66
1524494700,43.88,43.72,43.73,43.73
1524493800,43.79,43.58,43.74,43.73
1524257100,43.82,43.695,43.72,43.74
1524256200,43.74,43.615,43.64,43.73
1524255300,43.68,43.61,43.67,43.635
1524254400,43.8,43.67,43.8,43.67
1524253500,43.82,43.77,43.785,43.805
1524252600,43.81,43.725,43.775,43.78
1524251700,43.77,43.725,43.73,43.77
1524250800,43.77,43.72,43.755,43.73
1524249900,43.77,43.695,43.72,43.76
1524249000,43.72,43.635,43.64,43.715
1524248100,43.665,43.585,43.6,43.64
1524247200,43.66,43.59,43.64,43.595
1524246300,43.68,43.62,43.68,43.65
1524245400,43.75,43.66,43.695,43.68
1524244500,43.74,43.67,43.73,43.69
1524243600,43.755,43.69,43.75,43.74
1524242700,43.89,43.75,43.86,43.76
1524241800,43.935,43.84,43.84,43.87
1524240900,43.89,43.83,43.835,43.84
1524240000,43.875,43.77,43.87,43.83
1524239100,43.9,43.785,43.89,43.87
1524238200,44,43.88,43.99,43.895
1524237300,44.17,43.99,44.135,43.995
1524236400,44.16,44.04,44.04,44.14
1524235500,44.205,44.015,44.205,44.03
1524234600,44.41,44.19,44.31,44.2
1524170700,44.325,44.23,44.27,44.31
1524169800,44.3,44.115,44.13,44.26
1524168900,44.16,44.11,44.15,44.13
1524168000,44.155,44.03,44.07,44.155
1524167100,44.14,44.06,44.11,44.075
1524166200,44.14,44.09,44.11,44.12
1524165300,44.155,44.08,44.11,44.12
1524164400,44.125,44.025,44.03,44.11
1524163500,44.09,44.025,44.085,44.025
1524162600,44.11,44.02,44.08,44.09
1524161700,44.15,44.03,44.13,44.07
1524160800,44.21,44.13,44.2,44.13
1524159900,44.295,44.18,44.25,44.21
1524159000,44.27,44.21,44.24,44.25
1524158100,44.355,44.235,44.295,44.24
1524157200,44.29,44.245,44.26,44.29
1524156300,44.37,44.27,44.365,44.27
1524155400,44.45,44.36,44.45,44.37
1524154500,44.46,44.36,44.36,44.46
1524153600,44.37,44.28,44.29,44.36
1524152700,44.32,44.22,44.32,44.29
1524151800,44.34,44.255,44.255,44.32
1524150900,44.395,44.26,44.33,44.26
1524150000,44.365,44.26,44.3,44.34
1524149100,44.41,44.23,44.295,44.31
1524148200,44.42,44.115,44.32,44.29
1524084300,44.545,44.47,44.5,44.52
1524083400,44.53,44.48,44.505,44.505
1524082500,44.51,44.465,44.485,44.505
1524081600,44.48,44.38,44.41,44.48
1524080700,44.44,44.4,44.4,44.41
1524079800,44.435,44.4,44.415,44.405
1524078900,44.43,44.39,44.4,44.41
1524078000,44.41,44.33,44.345,44.395
1524077100,44.375,44.335,44.36,44.345
1524076200,44.44,44.36,44.435,44.36
1524075300,44.495,44.44,44.48,44.44
1524074400,44.48,44.43,44.46,44.48
1524073500,44.52,44.45,44.52,44.46
1524072600,44.6,44.52,44.6,44.52
1524071700,44.63,44.57,44.63,44.6
1524070800,44.71,44.635,44.685,44.635
1524069900,44.72,44.67,44.71,44.68
1524069000,44.735,44.68,44.69,44.71
1524068100,44.69,44.64,44.66,44.69
1524067200,44.72,44.65,44.71,44.65
1524066300,44.775,44.71,44.77,44.71
1524065400,44.77,44.705,44.73,44.77
1524064500,44.79,44.735,44.77,44.735
1524063600,44.81,44.725,44.76,44.76
1524062700,44.96,44.76,44.95,44.76
1524061800,44.965,44.76,44.85,44.94
1523997900,44.945,44.875,44.91,44.89
1523997000,44.975,44.885,44.955,44.91
1523996100,44.99,44.945,44.95,44.955
1523995200,44.96,44.84,44.861,44.95
1523994300,44.93,44.87,44.91,44.87
1523993400,44.92,44.87,44.87,44.91
1523992500,44.87,44.8,44.81,44.87
1523991600,44.88,44.79,44.82,44.81
1523990700,44.855,44.79,44.85,44.825
1523989800,44.92,44.855,44.91,44.86
1523988900,44.905,44.86,44.9,44.905
1523988000,44.9,44.84,44.85,44.9
1523987100,44.86,44.78,44.78,44.85
1523986200,44.805,44.775,44.78,44.78
1523985300,44.8,44.755,44.77,44.78
1523984400,44.81,44.76,44.81,44.765
1523983500,44.845,44.77,44.82,44.81
1523982600,44.85,44.805,44.815,44.815
1523981700,44.88,44.82,44.86,44.82
1523980800,44.875,44.805,44.85,44.855
