date,high,low,open,close
1524496500,159,158.69,158.77,159
1524495600,158.89,158.58,158.58,158.7
1524494700,158.78,158.15,158.78,158.64
1524493800,159.26,158.35,158.97,158.78
1524257100,158.84,158.51,158.84,158.75
1524256200,159.07,158.83,159.06,158.85
1524255300,159.22,159.01,159.2,159.06
1524254400,159.35,159.06,159.31,159.2
1524253500,159.37,159.16,159.19,159.32
1524252600,159.35,159.09,159.3,159.23
1524251700,159.28,159.01,159.13,159.28
1524250800,159.36,159.16,159.3,159.16
1524249900,159.53,159.29,159.52,159.29
1524249000,159.52,159.26,159.3,159.5
1524248100,159.39,159.1,159.34,159.29
1524247200,159.34,159.11,159.18,159.34
1524246300,159.33,159.1,159.31,159.2
1524245400,159.51,159.22,159.37,159.3
1524244500,159.5,159.16,159.46,159.47
1524243600,159.78,159.5,159.78,159.5
1524242700,159.93,159.7,159.76,159.73
1524241800,159.97,159.7,159.93,159.78
1524240900,160.12,159.8,159.91,159.8
1524240000,160.38,159.82,160.2,159.91
1524239100,160.48,159.97,160.45,160.2
1524238200,160.63,160.22,160.63,160.41
1524237300,160.68,160.22,160.44,160.61
1524236400,160.72,160.33,160.55,160.42
1524235500,160.47,159.73,159.75,160.47
1524234600,159.9,159.19,159.44,159.83
1524170700,159.61,159.43,159.45,159.52
1524169800,159.56,158.84,159.06,159.43
1524168900,159.17,159.06,159.11,159.06
1524168000,159.18,159.02,159.07,159.12
1524167100,159.16,159.04,159.13,159.05
1524166200,159.28,159.08,159.22,159.14
1524165300,159.35,159.18,159.34,159.28
1524164400,159.43,159.22,159.22,159.34
1524163500,159.3,159.14,159.18,159.22
1524162600,159.34,159.15,159.21,159.23
1524161700,159.26,159.1,159.19,159.2
1524160800,159.19,159.07,159.11,159.15
1524159900,159.39,159.07,159.29,159.141
1524159000,159.36,159.18,159.18,159.31
1524158100,159.38,159.18,159.21,159.2
1524157200,159.2,158.79,158.91,159.2
1524156300,159.42,158.92,159.42,158.99
1524155400,159.74,159.46,159.73,159.47
1524154500,159.94,159.56,159.89,159.73
1524153600,160.08,159.72,159.97,159.88
1524152700,160.34,159.72,160.27,159.96
1524151800,160.6,160.29,160.56,160.29
1524150900,161.01,160.52,160.71,160.57
1524150000,160.96,160.48,160.95,160.66
1524149100,161.6,160.88,161.6,160.94
1524148200,162.06,161.34,161.61,161.54
1524084300,162.3,161.74,162.21,161.78
1524083400,162.41,162.22,162.36,162.22
1524082500,162.47,162.36,162.46,162.36
1524081600,162.61,162.43,162.6,162.43
1524080700,162.67,162.48,162.48,162.59
1524079800,162.59,162.41,162.58,162.46
1524078900,162.71,162.5,162.67,162.54
1524078000,162.65,162.38,162.42,162.64
1524077100,162.57,162.44,162.56,162.46
1524076200,162.69,162.53,162.59,162.54
1524075300,162.83,162.54,162.81,162.57
1524074400,162.79,162.59,162.61,162.79
1524073500,162.58,162.38,162.45,162.56
1524072600,162.77,162.46,162.75,162.46
1524071700,162.91,162.67,162.9,162.76
1524070800,162.91,162.68,162.68,162.9
1524069900,162.73,162.53,162.53,162.6
1524069000,162.71,162.5,162.71,162.52
1524068100,162.71,162.42,162.42,162.7
1524067200,162.97,162.45,162.67,162.45
1524066300,162.91,162.67,162.91,162.69
1524065400,163.11,162.83,162.91,162.92
1524064500,163.25,162.96,163.14,162.96
1524063600,163.3,162.99,163.06,163.15
1524062700,163.19,162.73,162.89,163.06
1524061800,163.07,162.5,162.59,162.87
1523997900,162.7,162.52,162.625,162.56
1523997000,162.83,162.53,162.82,162.63
1523996100,162.98,162.64,162.65,162.81
1523995200,162.76,162.43,162.51,162.65
1523994300,162.68,162.47,162.68,162.5
1523993400,162.58,162.31,162.31,162.58
1523992500,162.58,162.15,162.45,162.25
1523991600,162.77,162.4,162.65,162.42
1523990700,162.75,162.46,162.74,162.67
1523989800,162.85,162.69,162.77,162.72
1523988900,162.77,162.47,162.77,162.75
1523988000,162.94,162.76,162.93,162.79
1523987100,163,162.85,162.92,162.93
1523986200,163.14,162.9,163.09,162.92
1523985300,163.14,163.03,163.12,163.09
1523984400,163.28,163.02,163.02,163.12
1523983500,163.25,162.96,163.01,163.03
1523982600,163.21,162.96,163.21,163
1523981700,163.45,163.24,163.33,163.39
1523980800,163.44,163.28,163.31,163.31
1523979900,163.32,163.12,163.12,163.28
1523979000,163.3,162.97,163.23,163.13
1523978100,163.17,162.63,162.84,163.17
1523977200,163.2,162.79,162.95,162.79
1523976300,163.03,162.67,162.71,162.93
1523975400,162.82,162.06,162.06,162.67
1523911500,162.1,161.55,162.06,161.65
1523910600,162.13,161.86,161.9,162.07
1523909700,161.9,161.71,161.77,161.9
1523908800,161.82,161.63,161.66,161.79
1523907900,161.79,161.66,161.71,161.72
1523907000,161.99,161.73,161.84,161.73
1523906100,162.02,161.71,161.93,161.87
1523905200,162.08,161.87,162.08,161.91
1523904300,162.15,162.05,162.13,162.1
1523903400,162.29,162.03,162.29,162.06
1523902500,162.34,162.22,162.32,162.3
1523901600,162.44,162.15,162.37,162.28
1523900700,162.34,161.81,161.81,162.22
1523899800,161.89,161.67,161.72,161.8
1523898900,161.97,161.69,161.91,161.69
1523898000,162.09,161.97,162.09,161.97
1523897100,162.19,161.99,162.14,162.05
1523896200,162.12,161.78,161.87,162.07
1523895300,162,161.77,161.92,161.89
1523894400,162.09,161.83,161.89,161.89
1523893500,161.92,161.74,161.79,161.87
1523892600,161.87,161.53,161.55,161.81
1523891700,161.56,161,161.21,161.56
1523890800,161.42,161.17,161.42,161.18
1523889900,161.94,161.13,161.69,161.34
1523889000,161.67,160.86,161.36,161.67
1523652300,161.94,161.62,161.68,161.72
1523651400,161.8,161.27,161.35,161.66
1523650500,161.71,161.28,161.71,161.37
1523649600,161.73,161.48,161.72,161.72
1523648700,161.84,161.64,161.76,161.74
1523647800,162.06,161.69,161.84,161.76
1523646900,161.94,161.72,161.94,161.84
1523646000,162.04,161.88,161.88,161.94
1523645100,162.08,161.85,162.06,161.88
1523644200,162.26,162.01,162.26,162.06
1523643300,162.31,162.06,162.23,162.26
1523642400,162.22,161.99,161.99,162.11
1523641500,162.07,161.87,162.04,162.07
1523640600,162.25,162.02,162.25,162.06
1523639700,162.33,161.99,162.16,162.33
1523638800,162.41,162.1,162.3,162.13
1523637900,162.37,162.08,162.3,162.31
1523637000,162.31,162.03,162.3,162.26
1523636100,162.45,162.08,162.19,162.45
1523635200,162.28,161.62,161.9,162.19
1523634300,162.4,162,162.07,162.06
1523633400,162.28,161.9,161.95,162.09
1523632500,162.4,161.91,162.25,161.91
1523631600,162.95,162.13,162.65,162.25
1523630700,163,162.65,162.89,162.66
1523629800,163.12,162.16,162.16,162.89
1523565900,161.92,161.56,161.89,161.62
1523565000,162.32,161.88,162.24,161.88
1523564100,162.42,161.85,162.19,162.33
1523563200,162.5,162.13,162.43,162.18
1523562300,162.41,162.1,162.28,162.41
1523561400,162.71,162.26,162.66,162.34
1523560500,162.85,162.6,162.81,162.62
1523559600,162.95,162.74,162.85,162.82
1523558700,162.92,162.71,162.82,162.87
1523557800,162.85,162.5,162.57,162.82
1523556900,163.32,162.53,163.32,162.65
1523556000,163.71,163.14,163.68,163.38
1523555100,163.69,163.31,163.31,163.69
1523554200,163.5,163.25,163.41,163.28
1523553300,163.46,163.19,163.29,163.43
1523552400,163.479,163.21,163.21,163.43
1523551500,163.34,162.56,163.24,163.15
1523550600,163.96,162.96,163.55,163.15
1523549700,165.09,162.43,164.86,163.57
1523548800,165.24,164.82,164.85,164.9
1523547900,165.2,164.8,165.11,164.84
1523547000,165.4,165.03,165.07,165.12
1523546100,165.3,164.69,164.79,165.05
1523545200,164.82,164.39,164.41,164.77
1523544300,164.61,164.09,164.54,164.41
1523543400,164.81,163.36,163.59,164.52
1523479500,163.45,163.18,163.37,163.34
1523478600,163.62,163.34,163.34,163.49
1523477700,163.33,163.04,163.12,163.23
1523476800,163.67,163.19,163.54,163.2
1523475900,163.6,163.38,163.43,163.53
1523475000,163.8,163.5,163.74,163.52
1523474100,163.88,163.57,163.57,163.64
1523473200,164.02,163.46,163.99,163.64
1523472300,163.99,163.44,163.56,163.99
1523471400,163.63,163.36,163.53,163.58
1523470500,163.7,163.46,163.46,163.6
1523469600,163.62,163.39,163.56,163.39
1523468700,163.62,163.26,163.62,163.5
1523467800,163.62,163.36,163.44,163.59
1523466900,163.45,163.191,163.29,163.38
1523466000,163.67,163.29,163.33,163.35
1523465100,163.6,163.27,163.325,163.32
1523464200,163.36,162.91,162.91,163.34
1523463300,163.03,162.67,162.72,162.9
1523462400,162.82,162.32,162.48,162.8
1523461500,163.21,162.46,162.9,162.46
1523460600,163.27,162.9,163.18,162.9
1523459700,163.25,162.79,162.81,163.12
1523458800,162.85,162.3,162.34,162.84
1523457900,162.91,162.32,162.81,162.37
1523457000,163.02,162.395,162.5,162.75
1523393100,163.1,162.58,163.01,162.73
1523392200,163.14,162.67,162.79,162.96
1523391300,162.88,162.55,162.78,162.79
1523390400,162.87,162.46,162.6,162.79
1523389500,162.69,162.28,162.28,162.66
1523388600,162.67,162.14,162.53,162.29
1523387700,162.92,162.51,162.88,162.51
1523386800,162.91,162.49,162.63,162.79
1523385900,162.61,162.07,162.38,162.61
1523385000,162.72,162.36,162.52,162.36
1523384100,162.58,162.25,162.5,162.51
1523383200,162.66,162.32,162.66,162.53
1523382300,162.9,162.54,162.66,162.64
1523381400,162.94,162.4,162.49,162.7
1523380500,163.18,162.25,163.17,162.58
1523379600,163.5,163.17,163.41,163.22
1523378700,163.42,162.9,163.24,163.38
1523377800,163.69,163.23,163.58,163.23
1523376900,163.66,163.45,163.52,163.59
1523376000,163.96,163.32,163.66,163.5
1523375100,163.67,163.25,163.39,163.65
1523374200,163.47,163.22,163.3,163.38
1523373300,163.25,162.91,163.03,163.25
1523372400,163.01,162.19,162.51,163.01
1523371500,163.02,162.31,162.97,162.52
1523370600,163.32,162.58,162.9,162.89
1523306700,162.07,161.06,162.07,161.24
1523305800,162.4,161.95,162.24,162.07
1523304900,162.6,162.13,162.6,162.25
1523304000,162.85,162.65,162.79,162.66
1523303100,162.81,162.5,162.54,162.78
1523302200,162.99,162.45,162.83,162.54
1523301300,163.13,162.75,163,162.82
1523300400,163.32,162.99,163.32,163.03
1523299500,163.48,163.2,163.2,163.34
1523298600,163.23,163.01,163.23,163.08
1523297700,163.26,163.09,163.2,163.24
1523296800,163.36,163.17,163.19,163.19
1523295900,163.17,162.94,162.95,163.16
1523295000,162.95,162.75,162.79,162.93
1523294100,162.88,162.74,162.81,162.84
1523293200,162.93,162.8,162.8,162.81
1523292300,162.82,162.57,162.58,162.8
1523291400,162.83,162.6,162.77,162.6
1523290500,163.13,162.5,163.1,162.74
1523289600,163.05,162.71,162.81,163.05
1523288700,163.11,162.64,163,162.72
1523287800,163.55,162.83,162.83,162.99
1523286900,162.94,162.5,162.5,162.8
1523286000,163.05,162.51,163.05,162.55
1523285100,163.13,162.4,162.47,163.11
1523284200,162.46,161.75,162.06,162.37
1523047500,161.56,161.08,161.425,161.23
1523046600,161.61,161.1,161.15,161.39
1523045700,161.68,161.13,161.53,161.21
1523044800,161.51,160.94,161.24,161.51
1523043900,161.58,161,161.58,161.18
1523043000,162.23,161.54,162.1,161.58
1523042100,162.29,162,162.17,162.02
1523041200,162.28,161.83,161.83,162.13
1523040300,162.4,161.85,162.38,161.9
1523039400,162.82,162.22,162.71,162.36
1523038500,162.72,162.28,162.36,162.66
1523037600,162.62,162.2,162.62,162.36
1523036700,162.55,162.18,162.25,162.55
1523035800,162.38,161.81,161.81,162.28
1523034900,162.13,161.8,162.1,161.83
1523034000,162.46,162.1,162.36,162.1
1523033100,162.58,162.28,162.39,162.46
1523032200,162.56,162.21,162.36,162.46
1523031300,162.54,162.1,162.12,162.35
1523030400,162.68,162.19,162.54,162.19
1523029500,163.05,162.5,162.99,162.52
1523028600,163.24,162.85,163.23,162.99
