date,high,low,open,close
1524496500,59.79,59.52,59.57,59.63
1524495600,60.015,59.5,59.99,59.57
1524494700,60.21,59.75,60.15,59.99
1524493800,60.43,59.78,60.06,60.15
1524257100,58.82,58.67,58.735,58.82
1524256200,58.845,58.725,58.78,58.73
1524255300,58.82,58.69,58.82,58.78
1524254400,58.91,58.8,58.91,58.83
1524253500,58.94,58.86,58.908,58.91
1524252600,58.96,58.89,58.91,58.91
1524251700,58.92,58.85,58.915,58.91
1524250800,58.975,58.89,58.89,58.92
1524249900,58.95,58.88,58.95,58.89
1524249000,58.94,58.85,58.89,58.94
1524248100,58.89,58.775,58.84,58.89
1524247200,58.87,58.795,58.83,58.84
1524246300,58.89,58.775,58.82,58.85
1524245400,58.93,58.77,58.79,58.82
1524244500,58.9,58.75,58.89,58.81
1524243600,59,58.89,58.99,58.89
1524242700,59,58.83,58.84,59
1524241800,58.91,58.73,58.75,58.84
1524240900,58.95,58.72,58.83,58.75
1524240000,59.06,58.77,59.03,58.83
1524239100,59.1,58.915,59.08,59.04
1524238200,59.095,58.935,58.99,59.08
1524237300,59.05,58.9,58.95,59
1524236400,59.25,58.81,59.23,58.94
1524235500,59.27,58.95,59.02,59.22
1524234600,59.15,58.86,58.86,59.03
1524170700,58.78,58.62,58.78,58.64
1524169800,58.87,58.53,58.56,58.77
1524168900,58.64,58.57,58.63,58.57
1524168000,58.755,58.64,58.66,58.64
1524167100,58.68,58.57,58.6,58.67
1524166200,58.6,58.495,58.5,58.595
1524165300,58.52,58.47,58.49,58.5
1524164400,58.58,58.47,58.48,58.49
1524163500,58.53,58.45,58.51,58.47
1524162600,58.53,58.44,58.45,58.5
1524161700,58.53,58.42,58.53,58.45
1524160800,58.565,58.48,58.56,58.54
1524159900,58.63,58.555,58.57,58.56
1524159000,58.61,58.545,58.57,58.57
1524158100,58.6,58.495,58.59,58.57
1524157200,58.82,58.59,58.75,58.6
1524156300,58.9,58.76,58.88,58.76
1524155400,59,58.86,58.98,58.88
1524154500,59.03,58.92,58.98,58.98
1524153600,59.18,58.98,59.18,58.98
1524152700,59.18,58.94,59.13,59.18
1524151800,59.29,59.12,59.15,59.13
1524150900,59.32,59.125,59.2,59.15
1524150000,59.24,59.061,59.16,59.21
1524149100,59.26,59.06,59.26,59.16
1524148200,59.27,58.8,58.92,59.27
1524084300,58.925,58.78,58.84,58.9
1524083400,58.87,58.71,58.71,58.84
1524082500,58.73,58.66,58.72,58.71
1524081600,58.8,58.72,58.77,58.72
1524080700,58.83,58.75,58.81,58.76
1524079800,58.84,58.77,58.84,58.81
1524078900,58.84,58.76,58.79,58.84
1524078000,58.825,58.59,58.64,58.79
1524077100,58.7,58.61,58.695,58.64
1524076200,58.82,58.69,58.805,58.695
1524075300,58.985,58.81,58.985,58.81
1524074400,58.99,58.915,58.985,58.99
1524073500,59.05,58.96,59.04,58.98
1524072600,59.08,59.02,59.04,59.04
1524071700,59.16,59.03,59.14,59.04
1524070800,59.15,59.02,59.02,59.135
1524069900,59.11,58.93,58.955,59.02
1524069000,58.995,58.835,58.9,58.96
1524068100,58.92,58.75,58.82,58.89
1524067200,58.88,58.75,58.77,58.83
1524066300,58.81,58.7,58.73,58.78
1524065400,58.85,58.68,58.78,58.71
1524064500,58.86,58.68,58.72,58.78
1524063600,58.98,58.68,58.98,58.72
1524062700,59.09,58.73,59.01,58.99
1524061800,59.61,58.99,59.41,59.01
1523997900,59.45,59.21,59.36,59.28
1523997000,59.48,59.32,59.47,59.36
1523996100,59.55,59.45,59.46,59.46
1523995200,59.505,59.41,59.46,59.46
1523994300,59.48,59.38,59.435,59.47
1523993400,59.48,59.42,59.44,59.435
1523992500,59.455,59.32,59.33,59.44
1523991600,59.5,59.33,59.43,59.335
1523990700,59.435,59.295,59.37,59.43
1523989800,59.46,59.335,59.37,59.37
1523988900,59.42,59.29,59.42,59.37
1523988000,59.49,59.37,59.49,59.42
1523987100,59.49,59.37,59.37,59.49
1523986200,59.46,59.275,59.46,59.37
1523985300,59.5,59.29,59.305,59.47
1523984400,59.41,59.295,59.4,59.3
1523983500,59.51,59.39,59.51,59.4
1523982600,59.62,59.51,59.57,59.52
1523981700,59.77,59.58,59.75,59.58
1523980800,59.89,59.69,59.69,59.755
