date,high,low,open,close
1524496500,66.44,66.295,66.34,66.37
1524495600,66.54,66.26,66.45,66.33
1524494700,66.46,66.24,66.32,66.46
1524493800,66.33,65.95,66,66.32
1524257100,66.105,65.94,65.94,66.09
1524256200,66.01,65.88,65.91,65.94
1524255300,65.92,65.75,65.8,65.91
1524254400,65.93,65.73,65.88,65.8
1524253500,65.9,65.83,65.89,65.87
1524252600,65.9,65.78,65.89,65.88
1524251700,65.89,65.78,65.78,65.88
1524250800,65.81,65.73,65.81,65.79
1524249900,65.94,65.81,65.93,65.815
1524249000,66,65.91,65.94,65.93
1524248100,65.94,65.77,65.87,65.94
1524247200,65.86,65.71,65.73,65.86
1524246300,65.89,65.67,65.89,65.74
1524245400,66.09,65.89,66.02,65.9
1524244500,66.061,65.96,66.01,66.03
1524243600,66.06,65.91,66.01,66.03
1524242700,66.05,65.86,66.01,66.02
1524241800,66.05,65.88,65.9,66
1524240900,65.91,65.78,65.79,65.9
1524240000,65.9,65.76,65.9,65.8
1524239100,65.91,65.75,65.82,65.9
1524238200,65.88,65.78,65.82,65.82
1524237300,65.85,65.7,65.82,65.82
1524236400,65.95,65.77,65.92,65.82
1524235500,66.06,65.61,65.66,65.92
1524234600,65.78,65.46,65.76,65.66
1524170700,65.795,65.645,65.72,65.73
1524169800,65.8,65.47,65.48,65.72
1524168900,65.49,65.38,65.39,65.47
1524168000,65.56,65.41,65.56,65.41
1524167100,65.61,65.33,65.33,65.57
1524166200,65.41,65.26,65.34,65.34
1524165300,65.39,65.25,65.28,65.35
1524164400,65.32,65.2,65.23,65.29
1524163500,65.29,65.21,65.22,65.22
1524162600,65.22,65.02,65.02,65.22
1524161700,65.11,65,65.08,65.01
1524160800,65.1,64.99,65.1,65.08
1524159900,65.33,65.05,65.33,65.1
1524159000,65.38,65.24,65.26,65.33
1524158100,65.43,65.21,65.36,65.25
1524157200,65.37,65.21,65.22,65.36
1524156300,65.37,65.22,65.36,65.22
1524155400,65.4,65.15,65.26,65.37
1524154500,65.42,65.26,65.26,65.27
1524153600,65.53,65.24,65.53,65.26
1524152700,65.74,65.41,65.7,65.51
1524151800,65.9,65.7,65.79,65.71
1524150900,66.04,65.77,65.87,65.8
