date,high,low,open,close
1524496500,36.81,36.735,36.735,36.76
1524495600,36.8,36.71,36.77,36.74
1524494700,36.81,36.705,36.76,36.77
1524493800,36.795,36.69,36.75,36.76
1524257100,36.635,36.505,36.54,36.63
1524256200,36.59,36.505,36.54,36.54
1524255300,36.55,36.475,36.53,36.54
1524254400,36.615,36.5,36.615,36.53
1524253500,36.64,36.58,36.63,36.615
1524252600,36.67,36.6,36.65,36.635
1524251700,36.65,36.62,36.65,36.65
1524250800,36.7,36.61,36.615,36.65
1524249900,36.63,36.59,36.61,36.615
1524249000,36.63,36.59,36.63,36.62
1524248100,36.64,36.57,36.64,36.63
1524247200,36.635,36.565,36.595,36.63
1524246300,36.65,36.58,36.645,36.6
1524245400,36.69,36.61,36.66,36.64
1524244500,36.685,36.625,36.65,36.67
1524243600,36.685,36.65,36.675,36.65
1524242700,36.695,36.64,36.64,36.68
1524241800,36.66,36.55,36.55,36.65
1524240900,36.61,36.54,36.575,36.55
1524240000,36.675,36.52,36.665,36.58
1524239100,36.685,36.565,36.67,36.665
1524238200,36.775,36.62,36.765,36.665
1524237300,36.77,36.715,36.745,36.765
1524236400,36.79,36.67,36.74,36.75
1524235500,36.74,36.53,36.59,36.74
1524234600,36.78,36.5,36.5,36.58
1524170700,36.54,36.48,36.53,36.53
1524169800,36.6,36.395,36.41,36.52
1524168900,36.445,36.4,36.42,36.41
1524168000,36.465,36.41,36.43,36.43
1524167100,36.45,36.4,36.43,36.425
1524166200,36.42,36.34,36.345,36.42
1524165300,36.36,36.31,36.35,36.35
1524164400,36.4,36.34,36.345,36.35
1524163500,36.371,36.34,36.37,36.34
1524162600,36.37,36.285,36.305,36.37
1524161700,36.35,36.31,36.33,36.31
1524160800,36.36,36.315,36.34,36.335
1524159900,36.4,36.32,36.385,36.35
1524159000,36.39,36.33,36.335,36.38
1524158100,36.36,36.29,36.315,36.335
1524157200,36.4,36.28,36.375,36.32
1524156300,36.5,36.38,36.46,36.38
1524155400,36.58,36.47,36.58,36.47
1524154500,36.62,36.545,36.55,36.58
1524153600,36.645,36.55,36.63,36.55
1524152700,36.63,36.46,36.601,36.63
1524151800,36.675,36.595,36.62,36.6
1524150900,36.655,36.53,36.59,36.615
1524150000,36.645,36.48,36.64,36.595
1524149100,36.661,36.54,36.64,36.645
1524148200,36.69,36.36,36.36,36.65
1524084300,36.54,36.5,36.52,36.5
1524083400,36.53,36.505,36.525,36.52
1524082500,36.54,36.51,36.51,36.53
1524081600,36.585,36.51,36.58,36.51
1524080700,36.585,36.545,36.55,36.58
1524079800,36.575,36.53,36.57,36.55
1524078900,36.575,36.53,36.535,36.57
1524078000,36.53,36.43,36.44,36.53
1524077100,36.485,36.44,36.485,36.44
1524076200,36.535,36.48,36.525,36.48
1524075300,36.575,36.52,36.565,36.525
1524074400,36.565,36.525,36.55,36.565
1524073500,36.56,36.505,36.55,36.56
1524072600,36.55,36.515,36.525,36.55
1524071700,36.545,36.495,36.535,36.525
1524070800,36.54,36.48,36.48,36.54
1524069900,36.53,36.42,36.47,36.48
1524069000,36.49,36.45,36.46,36.47
1524068100,36.49,36.42,36.45,36.46
1524067200,36.46,36.38,36.39,36.46
1524066300,36.41,36.35,36.35,36.39
1524065400,36.365,36.31,36.36,36.34
1524064500,36.39,36.29,36.34,36.36
1524063600,36.41,36.31,36.395,36.34
1524062700,36.515,36.38,36.44,36.4
1524061800,36.475,36.34,36.36,36.44
1523997900,36.38,36.305,36.335,36.33
1523997000,36.415,36.33,36.405,36.34
1523996100,36.435,36.37,36.37,36.405
1523995200,36.38,36.3,36.31,36.365
1523994300,36.35,36.305,36.345,36.31
1523993400,36.38,36.29,36.29,36.34
1523992500,36.34,36.275,36.305,36.29
1523991600,36.36,36.305,36.32,36.31
1523990700,36.38,36.32,36.375,36.325
1523989800,36.42,36.375,36.42,36.375
1523988900,36.43,36.385,36.43,36.42
1523988000,36.445,36.41,36.44,36.42
1523987100,36.47,36.37,36.37,36.45
1523986200,36.4,36.345,36.38,36.37
1523985300,36.435,36.38,36.38,36.385
1523984400,36.385,36.33,36.335,36.37
1523983500,36.4,36.34,36.36,36.34
1523982600,36.41,36.33,36.4,36.35
1523981700,36.465,36.395,36.455,36.4
1523980800,36.49,36.395,36.395,36.455
1523979900,36.42,36.35,36.39,36.39
1523979000,36.415,36.335,36.395,36.395
1523978100,36.43,36.27,36.29,36.4
1523977200,36.43,36.285,36.405,36.285
1523976300,36.55,36.4,36.54,36.4
1523975400,36.77,36.54,36.73,36.54
1523911500,36.565,36.5,36.56,36.52
1523910600,36.56,36.5,36.51,36.56
1523909700,36.59,36.495,36.59,36.5
1523908800,36.625,36.57,36.61,36.59
1523907900,36.62,36.57,36.58,36.61
1523907000,36.6,36.52,36.52,36.585
1523906100,36.55,36.5,36.54,36.53
1523905200,36.57,36.495,36.53,36.54
1523904300,36.56,36.495,36.535,36.53
1523903400,36.555,36.44,36.45,36.535
1523902500,36.5,36.435,36.49,36.45
1523901600,36.54,36.44,36.46,36.49
1523900700,36.505,36.4,36.44,36.45
1523899800,36.49,36.395,36.48,36.43
1523898900,36.525,36.465,36.525,36.48
1523898000,36.59,36.52,36.57,36.525
1523897100,36.605,36.52,36.6,36.56
1523896200,36.7,36.59,36.7,36.6
1523895300,36.725,36.61,36.63,36.7
1523894400,36.65,36.55,36.575,36.635
1523893500,36.61,36.54,36.605,36.57
1523892600,36.635,36.55,36.6,36.61
1523891700,36.62,36.51,36.55,36.6
1523890800,36.695,36.54,36.625,36.545
1523889900,36.675,36.595,36.61,36.63
1523889000,36.65,36.49,36.59,36.6
1523652300,36.395,36.31,36.345,36.33
1523651400,36.385,36.205,36.205,36.34
1523650500,36.25,36.15,36.25,36.205
1523649600,36.3,36.2,36.3,36.26
1523648700,36.4,36.275,36.38,36.3
1523647800,36.39,36.33,36.38,36.38
1523646900,36.41,36.32,36.41,36.385
1523646000,36.43,36.38,36.38,36.411
1523645100,36.415,36.34,36.41,36.38
1523644200,36.43,36.38,36.42,36.405
1523643300,36.43,36.37,36.38,36.42
1523642400,36.37,36.3,36.3,36.37
1523641500,36.32,36.252,36.27,36.31
1523640600,36.36,36.25,36.36,36.27
1523639700,36.375,36.26,36.27,36.36
1523638800,36.355,36.24,36.31,36.26
1523637900,36.31,36.23,36.26,36.31
1523637000,36.31,36.21,36.29,36.26
1523636100,36.3,36.22,36.22,36.29
1523635200,36.26,36.14,36.18,36.215
1523634300,36.33,36.19,36.28,36.19
1523633400,36.35,36.27,36.34,36.27
1523632500,36.47,36.32,36.435,36.35
1523631600,36.49,36.39,36.46,36.43
1523630700,36.49,36.355,36.42,36.465
1523629800,36.495,36.36,36.36,36.42
1523565900,36.445,36.325,36.445,36.325
1523565000,36.485,36.425,36.47,36.44
1523564100,36.49,36.42,36.445,36.475
1523563200,36.45,36.38,36.42,36.44
1523562300,36.42,36.34,36.415,36.41
1523561400,36.44,36.39,36.405,36.41
1523560500,36.42,36.375,36.39,36.39
1523559600,36.395,36.32,36.32,36.39
1523558700,36.38,36.3,36.37,36.32
1523557800,36.39,36.25,36.265,36.37
1523556900,36.33,36.235,36.29,36.265
1523556000,36.39,36.225,36.39,36.28
1523555100,36.44,36.38,36.38,36.391
1523554200,36.44,36.38,36.425,36.38
1523553300,36.42,36.295,36.345,36.42
1523552400,36.355,36.31,36.34,36.345
1523551500,36.34,36.235,36.26,36.34
1523550600,36.305,36.235,36.275,36.255
1523549700,36.355,36.265,36.335,36.27
1523548800,36.39,36.28,36.335,36.335
1523547900,36.42,36.205,36.25,36.34
1523547000,36.32,36.2,36.315,36.26
1523546100,36.345,36.27,36.31,36.31
1523545200,36.35,36.255,36.33,36.3
1523544300,36.39,36.26,36.26,36.32
1523543400,36.3,35.99,36,36.26
1523479500,35.87,35.745,35.87,35.78
1523478600,35.875,35.76,35.76,35.87
1523477700,35.81,35.735,35.78,35.755
1523476800,35.92,35.77,35.9,35.785
1523475900,35.9,35.84,35.87,35.89
1523475000,35.95,35.87,35.87,35.875
1523474100,35.94,35.845,35.85,35.875
1523473200,35.925,35.8,35.86,35.855
1523472300,35.86,35.81,35.835,35.85
1523471400,35.9,35.81,35.84,35.835
1523470500,35.91,35.83,35.83,35.84
1523469600,35.96,35.83,35.94,35.83
1523468700,35.985,35.88,35.98,35.935
1523467800,35.975,35.92,35.95,35.97
1523466900,36.07,35.94,36.07,35.94
