date,high,low,open,close
1524496500,73.8,73.46,73.79,73.5
1524495600,73.83,73.58,73.73,73.78
1524494700,73.96,73.67,73.94,73.73
1524493800,73.97,73.38,73.59,73.94
1524257100,74.13,73.8,74.02,73.8
1524256200,74.07,73.945,73.97,74.03
1524255300,74.02,73.845,73.96,73.97
1524254400,74.27,73.953,74.265,73.97
1524253500,74.32,74.14,74.15,74.265
1524252600,74.16,73.97,74.05,74.16
1524251700,74.065,73.94,73.95,74.04
1524250800,74.01,73.94,73.945,73.955
1524249900,74.05,73.95,73.96,73.95
1524249000,73.99,73.88,73.97,73.96
1524248100,74.02,73.83,73.83,73.97
1524247200,73.88,73.79,73.82,73.83
1524246300,73.865,73.74,73.863,73.82
1524245400,74.04,73.86,73.95,73.88
1524244500,73.99,73.75,73.81,73.955
1524243600,74.1,73.8,74.06,73.8
1524242700,74.38,74.05,74.38,74.06
1524241800,74.45,74.335,74.35,74.39
1524240900,74.5,74.34,74.42,74.35
1524240000,74.505,74.37,74.47,74.42
1524239100,74.66,74.44,74.63,74.46
1524238200,74.705,74.5,74.64,74.64
1524237300,74.79,74.565,74.78,74.65
1524236400,74.9,74.67,74.685,74.79
1524235500,74.72,74.575,74.72,74.67
1524234600,74.92,74.16,74.16,74.71
1524170700,75.415,74.93,75.285,74.95
1524169800,75.5,75.08,75.08,75.29
1524168900,75.08,74.99,75.04,75.08
1524168000,75.1,75.005,75.06,75.04
1524167100,75.095,75.01,75.07,75.05
1524166200,75.1,75,75.06,75.08
1524165300,75.23,74.99,75.11,75.08
1524164400,75.17,74.99,75,75.11
1524163500,75.03,74.9,74.92,75
1524162600,74.94,74.83,74.87,74.93
1524161700,74.89,74.78,74.87,74.87
1524160800,75.065,74.8,75.065,74.88
1524159900,75.165,75.015,75.07,75.07
1524159000,75.11,74.77,74.86,75.1
1524158100,75.19,74.81,75.129,74.87
1524157200,75.32,75.12,75.265,75.12
1524156300,75.41,75.18,75.38,75.26
1524155400,75.62,75.34,75.62,75.38
1524154500,75.72,75.56,75.61,75.62
1524153600,75.71,75.28,75.39,75.59
1524152700,75.47,75.19,75.465,75.36
1524151800,75.51,75.16,75.21,75.47
1524150900,75.37,75,75.015,75.21
1524150000,75.18,74.83,74.87,75.02
1524149100,75.19,74.3,74.51,74.81
1524148200,75.34,74.22,75.28,74.5
1524084300,78.245,78.11,78.18,78.18
1524083400,78.22,78.1,78.11,78.18
1524082500,78.17,78.105,78.16,78.11
1524081600,78.175,78.1,78.12,78.15
1524080700,78.21,78.11,78.17,78.11
1524079800,78.19,78.14,78.155,78.16
1524078900,78.21,78.13,78.13,78.15
1524078000,78.14,78.03,78.08,78.125
1524077100,78.13,78.08,78.125,78.085
1524076200,78.17,78.12,78.13,78.125
1524075300,78.205,78.135,78.18,78.14
1524074400,78.2,78.155,78.17,78.18
1524073500,78.2,78.13,78.18,78.17
1524072600,78.22,78.14,78.21,78.19
1524071700,78.245,78.14,78.245,78.21
1524070800,78.38,78.245,78.37,78.25
1524069900,78.44,78.34,78.365,78.36
1524069000,78.44,78.339,78.42,78.37
1524068100,78.45,78.37,78.38,78.41
1524067200,78.38,78.305,78.32,78.38
1524066300,78.39,78.3,78.39,78.32
1524065400,78.41,78.29,78.36,78.39
1524064500,78.405,78.27,78.34,78.36
1524063600,78.49,78.338,78.45,78.34
1524062700,78.57,78.41,78.52,78.43
1524061800,78.67,78.4,78.63,78.53
1523997900,78.46,78.355,78.38,78.42
1523997000,78.44,78.355,78.44,78.39
1523996100,78.52,78.425,78.43,78.43
1523995200,78.41,78.29,78.35,78.41
1523994300,78.4,78.31,78.4,78.36
1523993400,78.4,78.34,78.37,78.39
1523992500,78.39,78.29,78.37,78.37
1523991600,78.4,78.29,78.29,78.37
