date,high,low,open,close
1524496500,235.305,234.58,234.58,235.05
1524495600,235.35,234.4,235.35,234.52
1524494700,235.94,235.17,235.47,235.39
1524493800,236.21,235.2,235.29,235.54
1524257100,235.17,234.25,234.27,235.06
1524256200,234.58,233.9,234.03,234.36
1524255300,234.05,233.54,233.8,234.02
1524254400,234.1,233.63,234.1,233.75
1524253500,234.4,233.8,234.4,234.01
1524252600,234.49,233.87,234.46,234.3
1524251700,234.45,234.03,234.24,234.37
1524250800,234.49,234.18,234.48,234.29
1524249900,235.19,234.5,235.09,234.55
1524249000,235.18,234.8,235.09,235.13
1524248100,235.17,234.63,235,235.08
1524247200,235,234.57,234.57,234.97
1524246300,234.79,234.23,234.23,234.67
1524245400,234.37,233.88,233.88,234.16
1524244500,234.14,233.65,233.7,233.94
1524243600,234.2,233.73,234.17,233.73
1524242700,234.19,233.89,234.161,234.18
1524241800,234.51,234.15,234.35,234.31
1524240900,234.4,233.84,233.84,234.1
1524240000,234.86,233.66,234.83,233.87
1524239100,235.05,234.6,234.97,234.83
1524238200,235.66,234.69,235.66,235.01
1524237300,235.77,234.85,235.16,235.67
1524236400,235.63,235,235.14,235.11
1524235500,235.57,234.78,235.32,235.14
1524234600,237.04,235.32,236.05,235.32
1524170700,236.42,235.52,236.33,235.8
1524169800,236.725,235.12,235.2,236.36
1524168900,235.52,235.04,235.52,235.2
1524168000,235.82,235.47,235.79,235.53
1524167100,236.04,235.7,236.01,235.79
1524166200,236,235.49,235.49,236
1524165300,235.77,235.44,235.68,235.6
1524164400,235.77,235.42,235.57,235.69
1524163500,235.8,235.51,235.73,235.61
1524162600,235.7,235.3,235.44,235.7
1524161700,235.54,235.13,235.17,235.32
1524160800,235.23,234.89,234.93,235.17
1524159900,235.59,234.9,235.44,235.02
1524159000,235.62,235.4,235.5,235.49
1524158100,236.04,235.25,235.86,235.29
1524157200,236.54,235.73,236.21,235.73
1524156300,236.6,236.04,236.23,236.22
1524155400,237.18,236.21,237.18,236.23
1524154500,237.26,236.9,237.07,237.26
1524153600,237.29,236.86,237.27,237.08
1524152700,237.87,236.95,237.46,237.45
1524151800,238.27,237.27,237.36,237.54
1524150900,237.81,237.3,237.63,237.38
1524150000,237.72,236.215,236.215,237.72
1524149100,236.26,234.83,235.4,236.26
1524148200,236.605,235.1,236.2,235.43
1524084300,236.88,236.43,236.75,236.47
1524083400,237.22,236.73,237.15,236.77
1524082500,237.1,236.66,236.74,237.1
1524081600,236.94,236.4,236.84,236.7
1524080700,237.18,236.74,236.87,236.79
1524079800,237.75,236.8,237.75,236.89
1524078900,237.82,237.41,237.46,237.74
1524078000,237.619,236.88,237.19,237.42
1524077100,237.96,237.15,237.92,237.22
1524076200,238.09,237.72,238.03,237.97
1524075300,238.45,237.78,238.41,237.99
1524074400,238.67,238.18,238.6,238.3
1524073500,238.86,238.19,238.43,238.67
1524072600,238.75,238.34,238.6,238.43
1524071700,239.19,238.62,239.13,238.64
1524070800,239.09,238.53,238.7,239.03
1524069900,239.07,238.63,238.74,238.63
1524069000,239.21,238.18,238.47,238.91
1524068100,238.43,237.76,237.78,238.4
1524067200,237.93,237.31,237.53,237.82
1524066300,238.37,237.4,238.27,237.4
1524065400,238.56,237.97,238.22,238.16
1524064500,238.29,237.37,237.64,238.25
1524063600,237.95,236.6,236.64,237.63
1524062700,238.21,236.33,238,236.77
1524061800,239.74,237.04,239,238.09
1523997900,238.84,237.9,238.27,238.58
1523997000,238.31,237.95,238.05,238.27
1523996100,238.32,237.51,237.61,238.04
1523995200,237.96,237.26,237.38,237.59
1523994300,237.63,237.09,237.42,237.43
1523993400,237.43,236.6,236.65,237.43
1523992500,237.01,236.26,236.71,236.67
1523991600,236.71,236.18,236.18,236.67
1523990700,237.04,236.13,236.76,236.19
1523989800,237.14,236.32,236.8,236.67
1523988900,236.95,236.12,236.32,236.87
1523988000,237.16,236.6,236.93,236.66
1523987100,237.48,236.91,236.94,237.02
1523986200,237.63,236.88,237.59,236.98
1523985300,237.92,237.56,237.88,237.62
1523984400,238.02,237.51,237.53,237.87
1523983500,237.8,237.12,237.69,237.51
1523982600,237.84,237.04,237.43,237.64
1523981700,237.93,236.82,237.06,237.44
1523980800,237.91,236.94,237.63,237.06
1523979900,238.63,237.63,238.63,237.69
1523979000,239.82,238.38,239.82,238.69
1523978100,239.98,239.16,239.35,239.76
1523977200,240.87,238.97,239.59,239.349
1523976300,239.73,237.22,237.25,239.73
1523975400,241.605,237.05,239.84,237.25
1523911500,231.59,230.24,231.5,230.46
1523910600,231.71,231.12,231.31,231.52
1523909700,231.67,231.26,231.63,231.32
1523908800,231.8,231.2,231.49,231.63
1523907900,231.54,230.62,230.63,231.49
1523907000,230.73,230.3,230.31,230.65
1523906100,230.87,230.37,230.75,230.37
1523905200,231.53,230.64,231.53,230.75
1523904300,231.81,231.38,231.55,231.55
1523903400,231.56,230.89,231.1,231.56
1523902500,231.405,230.68,230.77,231.1
1523901600,230.79,229.49,229.49,230.77
1523900700,229.75,228.66,228.66,229.4
1523899800,228.91,228.41,228.72,228.54
1523898900,228.8,228.48,228.54,228.68
1523898000,228.75,228.02,228.26,228.68
1523897100,228.33,227.61,227.64,228.22
1523896200,228.04,227.65,227.98,227.72
1523895300,228.07,227.33,227.41,228.04
1523894400,227.75,226.96,226.96,227.54
1523893500,227.79,226.89,227.69,226.93
1523892600,228.16,227.31,228.16,227.62
1523891700,228.2,227.25,227.49,228.2
1523890800,227.78,227.13,227.2,227.46
1523889900,227.3,226.65,227.03,227.19
1523889000,228.49,226.365,226.69,227.07
1523652300,224.6,223.93,223.94,224.26
1523651400,224.08,223.11,223.15,223.9
1523650500,223.99,223.2,223.99,223.2
1523649600,224.47,223.78,224.47,223.99
1523648700,224.81,224.41,224.79,224.56
1523647800,225.09,224.5,224.93,224.81
1523646900,224.96,224.53,224.73,224.96
1523646000,225.01,224.71,224.91,224.73
1523645100,225.07,224.71,225,224.85
1523644200,225.04,224.63,224.9,225.01
1523643300,225.11,224.76,224.9,224.8
1523642400,225.02,224.75,224.93,224.93
1523641500,225.06,224.64,224.86,224.92
1523640600,225.22,224.8,225.19,224.91
1523639700,225.33,224.73,224.73,225.33
1523638800,224.9,224.35,224.63,224.78
1523637900,224.6,223.77,224.11,224.55
1523637000,224.18,223.93,224.07,224.05
1523636100,224.56,224.01,224.31,224.11
1523635200,224.61,224.16,224.43,224.27
1523634300,225.18,224.47,225.005,224.47
1523633400,225.46,224.82,225.14,225.01
1523632500,225.96,225.05,225.58,225.14
1523631600,225.79,225.17,225.45,225.52
1523630700,225.81,224.98,225.68,225.37
1523629800,226.05,225.1,225.1,225.66
1523565900,224.77,224.23,224.75,224.27
1523565000,225.01,224.655,224.87,224.76
1523564100,225.04,224.4,224.55,224.85
1523563200,224.83,224.45,224.68,224.53
1523562300,224.82,224.5,224.79,224.7
1523561400,224.92,224.5,224.57,224.72
1523560500,224.72,224.43,224.47,224.57
1523559600,224.5,224.25,224.36,224.44
1523558700,224.48,224.15,224.43,224.32
1523557800,224.68,224.4,224.4,224.405
1523556900,225.04,224.42,225.01,224.56
1523556000,225.4,224.75,225.22,224.99
1523555100,225.38,225.095,225.1,225.31
1523554200,225.06,224.86,225,225.02
1523553300,225.21,224.82,224.95,225.1
1523552400,225.42,224.88,225.21,225
1523551500,225.71,224.86,225.71,225.17
1523550600,225.75,224.98,225.33,225.75
1523549700,225.71,225.225,225.45,225.35
1523548800,225.6,225.1,225.24,225.37
1523547900,225.63,225.06,225.42,225.34
1523547000,225.43,224.82,225.03,225.43
1523546100,225.62,225.03,225.03,225.19
1523545200,225.57,224.775,225.17,224.97
1523544300,225.62,225.07,225.25,225.195
1523543400,225.17,223.45,224.04,225.16
1523479500,222.77,221.69,222.77,221.94
1523478600,223.6,222.71,223.16,222.71
1523477700,223.34,222.67,223.11,223.05
1523476800,223.83,223.1,223.83,223.1
1523475900,224.23,223.7,224.17,223.72
1523475000,224.77,224.17,224.23,224.2
1523474100,224.89,224.19,224.19,224.25
1523473200,224.65,224.01,224.34,224.27
1523472300,224.65,223.89,223.96,224.37
1523471400,224.53,223.98,224.16,224.05
1523470500,224.4,223.67,223.67,224.21
1523469600,224.21,223.44,223.93,223.52
1523468700,224.07,223.67,224,223.82
1523467800,223.99,223.61,223.94,223.99
1523466900,224.02,223.41,223.9,223.9
1523466000,224.06,223.56,223.56,223.88
1523465100,223.82,223.29,223.65,223.45
1523464200,223.76,223.18,223.47,223.75
1523463300,223.5,222.88,222.9,223.41
1523462400,223.11,222.35,223.11,222.9
1523461500,223.77,223.09,223.77,223.11
1523460600,224.57,223.78,224.56,223.82
1523459700,224.81,224.21,224.26,224.55
1523458800,224.4,223.64,223.71,224.26
1523457900,224.2,223.07,224.2,223.67
1523457000,224.92,224.15,224.27,224.37
1523393100,227.2,226.63,226.88,226.73
1523392200,227.03,226.4,226.86,226.89
1523391300,227.04,226.34,226.87,226.91
1523390400,227.08,226.31,226.83,226.89
1523389500,226.77,226.06,226.08,226.77
1523388600,226.79,225.81,226.37,226.14
1523387700,226.88,226.22,226.74,226.28
1523386800,226.97,226.32,226.52,226.7
1523385900,226.61,225.59,226.37,226.51
1523385000,226.92,226.02,226.33,226.29
1523384100,226.67,226.211,226.55,226.36
1523383200,226.73,225.99,226.22,226.62
1523382300,226.47,225.92,226.14,226.23
1523381400,226.54,225.62,225.63,226.1
1523380500,226.68,225.31,226.63,225.76
1523379600,227.3,226.67,227.3,226.69
1523378700,227.25,226.53,227.19,227.18
1523377800,228.16,227.29,227.81,227.29
1523376900,228.06,227.25,227.32,227.68
1523376000,227.88,227.26,227.33,227.28
1523375100,227.76,227.15,227.6,227.33
1523374200,227.58,226.8,226.8,227.47
1523373300,227,225.99,226.05,226.77
1523372400,226.04,225.1,225.3,225.95
1523371500,225.52,224.44,224.46,225.3
1523370600,225.4,223.49,225.4,224.33
1523306700,224.09,222.36,223.96,222.8
1523305800,224.51,223.78,224.31,223.96
1523304900,225.11,224.22,225.06,224.39
1523304000,225.59,224.86,225.08,225.11
1523303100,225.15,224.78,224.78,225.05
1523302200,225.01,224.5,224.54,224.83
1523301300,224.825,224.42,224.62,224.6
1523300400,225.33,224.57,225.33,224.6
1523299500,225.39,224.53,224.63,225.32
1523298600,224.82,224.47,224.6,224.59
1523297700,224.69,224.31,224.59,224.59
1523296800,224.94,224.57,224.64,224.61
1523295900,224.73,224.23,224.23,224.61
1523295000,224.43,223.97,224,224.24
1523294100,224.24,223.74,223.97,224.11
1523293200,224.31,223.95,224.17,223.95
