date,high,low,open,close
1524496500,48.08,47.99,48.05,48
1524495600,48.185,48.03,48.185,48.045
1524494700,48.33,48.06,48.165,48.17
1524493800,48.26,48.095,48.2,48.18
1524257100,47.93,47.24,47.56,47.92
1524256200,48.1,47.3,48,47.59
1524255300,48.01,47.893,47.93,47.99
1524254400,48.04,47.9,48.04,47.94
1524253500,48.09,48.025,48.09,48.05
1524252600,48.115,48.03,48.06,48.095
1524251700,48.06,47.94,47.945,48.06
1524250800,48,47.93,47.94,47.95
1524249900,47.98,47.93,47.96,47.93
1524249000,48,47.93,47.95,47.96
1524248100,47.97,47.87,47.97,47.95
1524247200,48,47.89,47.91,47.97
1524246300,47.96,47.88,47.95,47.92
1524245400,48.02,47.93,48.02,47.94
1524244500,48.06,48,48.04,48.02
1524243600,48.08,48.02,48.06,48.04
1524242700,48.1,48.02,48.08,48.06
1524241800,48.14,48.045,48.05,48.08
1524240900,48.22,48.04,48.165,48.04
1524240000,48.29,48.12,48.27,48.17
1524239100,48.323,48.19,48.27,48.28
1524238200,48.41,48.25,48.41,48.28
1524237300,48.43,48.32,48.36,48.42
1524236400,48.39,48.26,48.33,48.38
1524235500,48.4,48.21,48.4,48.34
1524234600,48.615,48.29,48.35,48.4
1524170700,48.56,48.44,48.52,48.45
1524169800,48.675,48.435,48.5,48.52
1524168900,48.555,48.47,48.545,48.5
1524168000,48.58,48.5,48.51,48.55
1524167100,48.545,48.46,48.52,48.505
1524166200,48.56,48.47,48.51,48.515
1524165300,48.54,48.44,48.54,48.51
1524164400,48.59,48.529,48.53,48.55
1524163500,48.58,48.51,48.57,48.52
1524162600,48.64,48.56,48.63,48.57
1524161700,48.65,48.54,48.54,48.63
1524160800,48.54,48.45,48.47,48.54
1524159900,48.56,48.44,48.44,48.47
1524159000,48.52,48.44,48.49,48.45
1524158100,48.575,48.475,48.54,48.49
1524157200,48.62,48.535,48.57,48.54
1524156300,48.69,48.575,48.69,48.58
1524155400,48.78,48.67,48.77,48.7
1524154500,48.82,48.7,48.82,48.77
1524153600,48.88,48.8,48.88,48.825
1524152700,48.955,48.8,48.8,48.88
1524151800,48.81,48.67,48.7,48.8
1524150900,48.76,48.63,48.71,48.7
1524150000,48.73,48.57,48.57,48.71
1524149100,48.62,48.49,48.59,48.57
1524148200,48.74,48.385,48.6,48.59
1524084300,48.63,48.57,48.6,48.61
1524083400,48.65,48.59,48.64,48.61
1524082500,48.695,48.63,48.69,48.64
1524081600,48.71,48.645,48.67,48.695
1524080700,48.71,48.665,48.68,48.665
1524079800,48.73,48.68,48.71,48.685
1524078900,48.785,48.68,48.785,48.71
1524078000,48.79,48.66,48.735,48.79
1524077100,48.79,48.73,48.77,48.73
1524076200,48.8,48.76,48.78,48.77
1524075300,48.84,48.78,48.8,48.78
1524074400,48.8,48.75,48.76,48.8
1524073500,48.81,48.77,48.795,48.77
1524072600,48.81,48.75,48.78,48.8
1524071700,48.85,48.74,48.85,48.77
1524070800,48.85,48.73,48.77,48.84
1524069900,48.82,48.76,48.8,48.76
1524069000,48.83,48.77,48.81,48.8
1524068100,48.83,48.64,48.82,48.81
1524067200,48.86,48.79,48.815,48.82
1524066300,48.86,48.79,48.83,48.82
1524065400,48.85,48.7,48.7,48.82
1524064500,48.825,48.7,48.8,48.7
1524063600,48.85,48.76,48.83,48.8
1524062700,49.05,48.78,48.94,48.82
1524061800,49.02,48.79,48.94,48.94
1523997900,48.94,48.85,48.94,48.86
1523997000,48.97,48.9,48.96,48.94
1523996100,49.035,48.895,48.895,48.96
1523995200,49.02,48.865,48.87,48.89
1523994300,48.9,48.76,48.9,48.87
1523993400,48.93,48.87,48.89,48.9
1523992500,48.93,48.82,48.9,48.89
1523991600,48.99,48.89,48.93,48.9
1523990700,48.94,48.86,48.905,48.93
1523989800,48.92,48.89,48.92,48.91
1523988900,48.93,48.82,48.87,48.92
1523988000,48.98,48.85,48.98,48.88
1523987100,49,48.93,48.93,48.99
1523986200,48.98,48.92,48.94,48.93
1523985300,48.95,48.875,48.88,48.942
1523984400,48.92,48.84,48.91,48.88
1523983500,48.93,48.8,48.8,48.91
1523982600,48.895,48.75,48.89,48.79
1523981700,48.93,48.75,48.75,48.9
1523980800,48.76,48.62,48.62,48.75
1523979900,48.61,48.55,48.59,48.61
1523979000,48.59,48.46,48.46,48.59
1523978100,48.47,48.37,48.39,48.45
1523977200,48.49,48.38,48.46,48.38
1523976300,48.49,48.39,48.48,48.46
1523975400,48.72,48.31,48.59,48.485
1523911500,48.425,48.32,48.42,48.39
1523910600,48.46,48.365,48.37,48.42
1523909700,48.38,48.28,48.33,48.38
1523908800,48.36,48.295,48.35,48.325
1523907900,48.39,48.355,48.365,48.355
1523907000,48.4,48.31,48.31,48.36
1523906100,48.34,48.24,48.25,48.32
1523905200,48.36,48.24,48.36,48.245
1523904300,48.42,48.36,48.385,48.37
1523903400,48.38,48.33,48.37,48.38
1523902500,48.41,48.33,48.34,48.38
1523901600,48.37,48.27,48.27,48.33
1523900700,48.26,48.14,48.16,48.26
1523899800,48.175,48.13,48.13,48.165
1523898900,48.19,48.13,48.18,48.13
1523898000,48.24,48.18,48.18,48.21
1523897100,48.18,48.115,48.12,48.17
1523896200,48.16,48.08,48.12,48.12
1523895300,48.17,48.11,48.155,48.13
1523894400,48.195,48.11,48.16,48.16
1523893500,48.245,48.125,48.24,48.16
1523892600,48.255,48.1,48.11,48.24
1523891700,48.12,48.02,48.075,48.11
1523890800,48.2,48.065,48.1,48.08
1523889900,48.175,48.04,48.08,48.1
1523889000,48.08,47.87,47.95,48.08
