date,high,low,open,close
1524496500,86.27,86.13,86.27,86.26
1524495600,86.5,86.25,86.465,86.28
1524494700,86.52,86.22,86.35,86.43
1524493800,87.07,86.39,86.89,86.39
1524257100,86.99,86.78,86.83,86.98
1524256200,86.91,86.72,86.755,86.82
1524255300,86.84,86.68,86.84,86.76
1524254400,87.1,86.84,87.1,86.85
1524253500,87.17,87.06,87.13,87.09
1524252600,87.25,87.065,87.21,87.12
1524251700,87.2,87.12,87.16,87.2
1524250800,87.19,87.11,87.15,87.15
1524249900,87.19,87.1,87.18,87.15
1524249000,87.26,87.01,87.06,87.19
1524248100,87.09,86.91,87.05,87.06
1524247200,87.07,86.93,86.95,87.07
1524246300,87.135,86.92,87.11,86.95
1524245400,87.24,87.12,87.22,87.12
1524244500,87.295,87.195,87.23,87.23
1524243600,87.36,87.205,87.36,87.22
1524242700,87.46,87.29,87.46,87.38
1524241800,87.51,87.31,87.32,87.45
1524240900,87.46,87.3,87.38,87.34
1524240000,87.54,87.28,87.49,87.36
1524239100,87.68,87.38,87.65,87.52
1524238200,87.89,87.59,87.88,87.64
1524237300,87.9,87.69,87.82,87.89
1524236400,88.07,87.6,88.07,87.84
1524235500,88.37,87.98,88.11,88.04
1524234600,88.21,87.66,87.81,88.09
1524170700,87.95,87.77,87.93,87.88
1524169800,88.04,87.66,87.69,87.94
1524168900,87.79,87.67,87.71,87.695
1524168000,87.75,87.55,87.59,87.72
1524167100,87.61,87.47,87.58,87.61
1524166200,87.6,87.45,87.47,87.6
1524165300,87.53,87.39,87.41,87.48
1524164400,87.44,87.32,87.33,87.36
1524163500,87.46,87.24,87.36,87.33
1524162600,87.35,87.14,87.28,87.35
1524161700,87.37,87.25,87.33,87.26
1524160800,87.49,87.3,87.49,87.35
1524159900,87.62,87.44,87.56,87.5
1524159000,87.57,87.29,87.29,87.57
1524158100,87.34,87.19,87.24,87.28
1524157200,87.29,87.17,87.27,87.25
1524156300,87.42,87.24,87.29,87.3
1524155400,87.36,87.21,87.36,87.3
1524154500,87.45,87.16,87.24,87.39
1524153600,87.32,87.18,87.3,87.25
1524152700,87.41,87.09,87.28,87.3
1524151800,87.36,86.89,86.92,87.3
1524150900,86.97,86.69,86.7,86.9
1524150000,86.845,86.58,86.845,86.71
1524149100,86.97,86.69,86.97,86.83
1524148200,87.68,86.85,87.47,87.01
1524084300,87.67,87.51,87.66,87.56
1524083400,87.7,87.61,87.69,87.65
1524082500,87.73,87.64,87.73,87.7
1524081600,87.79,87.71,87.76,87.73
1524080700,87.81,87.73,87.75,87.75
1524079800,87.89,87.72,87.87,87.74
1524078900,87.93,87.8,87.91,87.86
1524078000,87.92,87.73,87.791,87.92
1524077100,87.89,87.8,87.86,87.8
1524076200,87.975,87.84,87.94,87.86
1524075300,88.06,87.93,88.01,87.93
1524074400,88.02,87.85,87.85,88.02
1524073500,87.88,87.81,87.88,87.86
1524072600,87.93,87.87,87.92,87.87
1524071700,87.96,87.845,87.96,87.9
1524070800,88.04,87.93,87.97,87.95
1524069900,88.13,87.98,88.13,87.98
1524069000,88.21,88.07,88.12,88.16
1524068100,88.17,88.04,88.11,88.11
1524067200,88.205,88.11,88.15,88.12
1524066300,88.22,88.12,88.18,88.18
1524065400,88.17,88.01,88.03,88.15
1524064500,88.11,87.9,87.9,88.02
1524063600,88.42,87.9,88.4,87.91
1524062700,88.55,88.32,88.52,88.42
1524061800,88.56,88.16,88.2,88.51
1523997900,87.98,87.86,87.95,87.88
1523997000,88.04,87.93,88,87.96
1523996100,88.01,87.9,87.9,87.97
1523995200,87.98,87.86,87.96,87.9
1523994300,88.07,87.91,88.02,87.97
1523993400,88.1,87.93,87.93,88.03
1523992500,87.92,87.82,87.86,87.92
1523991600,87.97,87.8,87.96,87.87
1523990700,88.11,87.92,88.095,87.96
1523989800,88.09,87.99,87.99,88.09
1523988900,88.08,87.88,88.07,87.99
1523988000,88.06,87.9,87.98,88.06
1523987100,88.05,87.93,87.93,87.99
1523986200,88.09,87.93,88.09,87.93
1523985300,88.08,87.86,87.86,88.08
1523984400,87.869,87.7,87.8,87.869
1523983500,87.79,87.68,87.68,87.76
1523982600,87.86,87.65,87.85,87.65
1523981700,87.94,87.76,87.76,87.87
1523980800,87.861,87.75,87.83,87.76
1523979900,87.86,87.66,87.84,87.81
1523979000,87.905,87.68,87.72,87.84
1523978100,87.76,87.63,87.67,87.71
1523977200,87.99,87.67,87.98,87.67
1523976300,88.17,87.9,87.95,87.98
1523975400,87.98,87.43,87.5,87.94
1523911500,86.919,86.81,86.86,86.84
1523910600,86.87,86.74,86.75,86.86
1523909700,86.86,86.68,86.86,86.75
1523908800,86.94,86.83,86.9,86.86
1523907900,87.06,86.85,87.04,86.91
1523907000,87.14,87.03,87.08,87.04
1523906100,87.23,87.05,87.22,87.08
1523905200,87.45,87.19,87.43,87.21
1523904300,87.65,87.45,87.6,87.45
1523903400,87.635,87.41,87.42,87.58
1523902500,87.51,87.4,87.44,87.4
1523901600,87.52,87.3,87.3,87.45
1523900700,87.37,87.18,87.21,87.29
1523899800,87.29,87.15,87.27,87.22
1523898900,87.3,87.16,87.19,87.26
1523898000,87.22,87.08,87.1,87.19
1523897100,87.13,87.06,87.12,87.09
1523896200,87.13,86.98,87.05,87.09
1523895300,87.13,86.955,87.08,87.06
1523894400,87.24,87.051,87.17,87.12
1523893500,87.19,86.98,87.15,87.17
1523892600,87.15,86.82,86.98,87.15
1523891700,87.005,86.74,86.85,86.98
1523890800,86.98,86.77,86.77,86.84
1523889900,86.79,86.63,86.69,86.77
1523889000,86.72,86.14,86.2,86.66
1523652300,86.09,85.94,85.99,86.02
1523651400,86.04,85.79,85.87,86
1523650500,85.98,85.78,85.98,85.9
1523649600,86.09,85.96,86.07,85.97
1523648700,86.13,86.04,86.07,86.07
1523647800,86.18,86.04,86.06,86.07
1523646900,86.17,85.995,86.17,86.06
1523646000,86.19,86.14,86.16,86.15
1523645100,86.24,86.14,86.24,86.155
1523644200,86.26,86.19,86.221,86.25
1523643300,86.23,86.14,86.15,86.195
1523642400,86.13,85.97,85.99,86.13
1523641500,86.01,85.88,85.95,85.98
1523640600,86.05,85.9,85.97,85.96
1523639700,85.99,85.86,85.87,85.98
1523638800,85.965,85.79,85.86,85.865
1523637900,85.88,85.67,85.75,85.86
1523637000,85.88,85.61,85.88,85.71
1523636100,85.9,85.58,85.72,85.871
1523635200,85.72,85.32,85.35,85.711
1523634300,85.64,85.36,85.38,85.36
1523633400,85.49,85.2,85.25,85.38
1523632500,85.59,85.21,85.42,85.26
1523631600,85.7,85.33,85.645,85.43
1523630700,85.8,85.48,85.5,85.66
1523629800,86.1,85.41,85.89,85.5
1523565900,85.65,85.41,85.64,85.43
1523565000,85.9,85.63,85.89,85.65
1523564100,85.94,85.82,85.89,85.89
1523563200,86.03,85.77,86.03,85.88
1523562300,86.06,85.95,86.06,86.03
1523561400,86.16,86.03,86.1,86.04
1523560500,86.25,86.1,86.22,86.1
1523559600,86.21,86.06,86.095,86.21
1523558700,86.26,86.03,86.24,86.06
1523557800,86.25,86.09,86.11,86.25
1523556900,86.33,86.07,86.33,86.12
1523556000,86.46,86.22,86.42,86.31
1523555100,86.47,86.32,86.32,86.34
1523554200,86.37,86.28,86.33,86.29
1523553300,86.35,86.12,86.22,86.32
1523552400,86.38,86.22,86.29,86.22
1523551500,86.41,86.16,86.4,86.27
1523550600,86.47,86.35,86.42,86.41
1523549700,86.57,86.41,86.46,86.41
1523548800,86.5,86.32,86.43,86.49
1523547900,86.555,86.4,86.49,86.44
1523547000,86.73,86.4,86.73,86.5
1523546100,86.78,86.68,86.69,86.72
1523545200,86.83,86.57,86.7,86.69
1523544300,86.73,86.45,86.48,86.69
1523543400,86.49,86.11,86.19,86.49
1523479500,86.11,85.86,86.09,85.91
1523478600,86.27,86.07,86.11,86.09
1523477700,86.11,85.91,85.99,86.1
1523476800,86.26,85.99,86.18,85.99
1523475900,86.19,86.07,86.18,86.14
1523475000,86.395,86.17,86.29,86.19
1523474100,86.3,86.1,86.14,86.21
1523473200,86.24,85.99,86.17,86.13
1523472300,86.26,86.12,86.15,86.16
1523471400,86.23,86.03,86.15,86.15
1523470500,86.28,86.12,86.13,86.14
1523469600,86.4,86.11,86.33,86.11
1523468700,86.47,86.25,86.47,86.32
1523467800,86.49,86.35,86.47,86.45
1523466900,86.59,86.41,86.54,86.43
1523466000,86.65,86.48,86.53,86.58
1523465100,86.6,86.47,86.49,86.52
1523464200,86.49,86.25,86.37,86.48
1523463300,86.36,86.2,86.3,86.36
1523462400,86.37,86.07,86.33,86.28
1523461500,86.75,86.33,86.75,86.33
1523460600,86.86,86.68,86.72,86.75
1523459700,86.68,86.46,86.5,86.68
1523458800,86.67,86.46,86.65,86.49
1523457900,86.66,86.35,86.44,86.659
1523457000,86.52,85.85,86,86.45
1523393100,86.59,86.385,86.515,86.45
1523392200,86.59,86.44,86.58,86.52
1523391300,86.59,86.38,86.5,86.58
1523390400,86.6,86.3,86.35,86.51
1523389500,86.35,86.02,86.05,86.35
1523388600,86.29,85.92,86.17,86.06
1523387700,86.42,86.12,86.37,86.16
1523386800,86.51,86.3,86.36,86.39
1523385900,86.39,86.05,86.23,86.37
1523385000,86.56,86.22,86.37,86.24
1523384100,86.38,86.18,86.28,86.37
1523383200,86.34,86.06,86.19,86.28
1523382300,86.28,86.08,86.16,86.18
1523381400,86.31,85.84,85.84,86.18
1523380500,86.23,85.66,86.23,85.9
1523379600,86.375,86.22,86.29,86.23
1523378700,86.36,86.09,86.36,86.29
1523377800,86.65,86.24,86.25,86.41
1523376900,86.36,86.17,86.35,86.23
1523376000,86.6,86.29,86.51,86.35
1523375100,86.64,86.49,86.52,86.5
1523374200,86.57,86.41,86.43,86.5
1523373300,86.5,86.24,86.49,86.41
1523372400,86.48,86.09,86.31,86.48
1523371500,86.74,86.3,86.59,86.33
1523370600,87.09,86.54,86.84,86.57
1523306700,86.79,86.24,86.75,86.29
1523305800,86.9,86.61,86.83,86.75
1523304900,87.04,86.79,87.03,86.85
1523304000,87.21,87.04,87.17,87.04
1523303100,87.18,87.05,87.1,87.17
1523302200,87.32,87.07,87.22,87.09
1523301300,87.44,87.19,87.37,87.25
1523300400,87.39,87.25,87.37,87.39
1523299500,87.39,87.085,87.13,87.38
1523298600,87.28,87.1,87.25,87.12
1523297700,87.29,87.145,87.155,87.25
1523296800,87.29,87.165,87.22,87.17
1523295900,87.3,87.08,87.08,87.22
1523295000,87.23,87.02,87.2,87.07
1523294100,87.22,87.1,87.15,87.21
1523293200,87.23,87.08,87.15,87.14
1523292300,87.45,87.07,87.36,87.14
1523291400,87.42,87.25,87.25,87.28
1523290500,87.27,87.12,87.19,87.23
1523289600,87.23,87.03,87.19,87.19
1523288700,87.27,87.05,87.05,87.2
1523287800,87.07,86.71,86.71,87.05
1523286900,86.87,86.63,86.79,86.71
1523286000,86.98,86.7,86.91,86.79
1523285100,86.97,86.63,86.87,86.88
1523284200,87.19,86.59,86.85,86.86
1523047500,86.96,86.57,86.75,86.69
1523046600,86.8,86.29,86.31,86.7
1523045700,86.52,86.31,86.49,86.31
1523044800,86.5,86.2,86.29,86.5
1523043900,86.47,86.14,86.47,86.22
1523043000,86.72,86.35,86.64,86.47
1523042100,86.83,86.62,86.78,86.65
1523041200,86.82,86.59,86.7,86.78
1523040300,87.08,86.67,87.07,86.71
1523039400,87.37,86.99,87.28,87.07
1523038500,87.35,87.04,87.1,87.28
1523037600,87.42,87.08,87.42,87.09
1523036700,87.47,87.25,87.29,87.44
1523035800,87.41,87.1,87.17,87.29
1523034900,87.38,87.16,87.32,87.2
1523034000,87.45,87.25,87.38,87.33
1523033100,87.42,87.25,87.405,87.385
1523032200,87.49,87.27,87.28,87.41
1523031300,87.37,87.14,87.31,87.24
1523030400,87.47,87.25,87.41,87.33
1523029500,87.54,87.2,87.43,87.41
1523028600,87.72,87.42,87.67,87.43
1523027700,87.85,87.57,87.85,87.65
1523026800,87.89,87.62,87.715,87.84
1523025900,87.82,87.49,87.69,87.72
1523025000,87.69,86.66,86.79,87.69
1522961100,88.11,87.82,88.05,87.82
1522960200,88.11,87.82,88.11,88.06
1522959300,88.24,88.08,88.12,88.1
1522958400,88.2,87.92,87.95,88.13
1522957500,88.07,87.95,88.02,87.95
1522956600,88.005,87.75,87.75,88
1522955700,87.78,87.62,87.64,87.75
1522954800,87.71,87.55,87.6,87.64
1522953900,87.67,87.5,87.5,87.57
1522953000,87.72,87.41,87.63,87.47
1522952100,87.8,87.55,87.79,87.64
1522951200,88.005,87.78,87.93,87.83
1522950300,87.99,87.71,87.75,87.9
1522949400,87.95,87.76,87.94,87.76
1522948500,88,87.75,87.92,87.95
1522947600,88.09,87.85,88.06,87.92
1522946700,88.15,87.93,88.08,88.05
1522945800,88.25,88.03,88.25,88.08
1522944900,88.34,88.1,88.23,88.24
1522944000,88.23,87.79,87.81,88.22
1522943100,87.86,87.67,87.71,87.8
1522942200,87.84,87.67,87.78,87.7
1522941300,87.8,87.54,87.55,87.78
1522940400,87.51,87.28,87.44,87.5
1522939500,87.49,87.05,87.24,87.41
1522938600,87.72,87.23,87.72,87.23
1522874700,87.49,87.2,87.37,87.24
1522873800,87.49,87.34,87.4,87.36
1522872900,87.47,87.1,87.18,87.38
1522872000,87.35,87.13,87.17,87.18
1522871100,87.25,87.09,87.21,87.2
1522870200,87.25,87,87.16,87.25
1522869300,87.181,86.78,86.79,87.15
1522868400,86.8,86.51,86.57,86.76
1522867500,86.7,86.49,86.7,86.54
1522866600,86.72,86.5,86.54,86.71
1522865700,86.67,86.45,86.66,86.57
1522864800,86.84,86.6,86.69,86.65
1522863900,86.82,86.59,86.79,86.7
1522863000,86.87,86.67,86.77,86.75
1522862100,86.82,86.62,86.82,86.72
1522861200,86.87,86.55,86.7,86.83
1522860300,86.73,86.63,86.71,86.7
1522859400,87.12,86.63,86.95,86.68
1522858500,87.12,86.92,86.95,86.98
1522857600,86.99,86.75,86.87,86.94
1522856700,86.92,86.49,86.5,86.89
1522855800,86.54,86.09,86.21,86.5
1522854900,86.25,86.02,86.08,86.15
1522854000,86.28,86,86.14,86.08
1522853100,86.3,86,86.15,86.16
1522852200,86.2,85.45,85.6,86.16
1522788300,86.94,86.56,86.57,86.8
1522787400,86.75,86.41,86.73,86.58
1522786500,86.78,86.4,86.44,86.72
1522785600,86.72,86.09,86.13,86.47
1522784700,86.23,85.81,85.81,86.17
1522783800,85.91,85.68,85.89,85.81
1522782900,86,85.82,85.94,85.91
1522782000,86.1,85.91,86.07,85.93
1522781100,86.2,85.88,85.94,86.09
1522780200,85.99,85.86,85.99,85.95
1522779300,86,85.69,85.74,85.97
1522778400,85.86,85.68,85.79,85.72
1522777500,85.79,85.58,85.76,85.77
1522776600,85.83,85.6,85.6,85.75
1522775700,85.89,85.56,85.87,85.6
1522774800,85.94,85.77,85.84,85.83
1522773900,86.03,85.83,86.03,85.83
1522773000,86.13,85.93,86.09,86.05
1522772100,86.28,86.02,86.25,86.11
1522771200,86.52,86.25,86.28,86.26
1522770300,86.5,86.07,86.2,86.25
1522769400,86.23,85.97,86.01,86.21
1522768500,86.03,85.7,85.79,86.03
1522767600,86.08,85.77,86.01,85.77
