date,high,low,open,close
1524496500,78.96,78.81,78.82,78.87
1524495600,78.975,78.761,78.9,78.82
1524494700,78.97,78.75,78.95,78.9
1524493800,79.2,78.84,78.94,78.94
1524257100,79.01,78.66,78.71,79
1524256200,78.825,78.52,78.64,78.72
1524255300,78.64,78.45,78.53,78.64
1524254400,78.7,78.46,78.7,78.53
1524253500,78.71,78.58,78.63,78.7
1524252600,78.72,78.535,78.7,78.63
1524251700,78.74,78.64,78.72,78.69
1524250800,78.77,78.67,78.7,78.73
1524249900,78.79,78.695,78.79,78.71
1524249000,78.8,78.65,78.72,78.8
1524248100,78.72,78.6,78.65,78.72
1524247200,78.66,78.53,78.61,78.65
1524246300,78.7,78.6,78.7,78.62
1524245400,78.74,78.53,78.62,78.7
1524244500,78.7,78.58,78.7,78.62
1524243600,78.73,78.62,78.68,78.68
1524242700,78.75,78.64,78.72,78.67
1524241800,78.81,78.68,78.69,78.72
1524240900,78.7,78.35,78.38,78.7
1524240000,78.565,78.36,78.47,78.4
1524239100,78.52,78.34,78.47,78.48
1524238200,78.59,78.45,78.52,78.48
1524237300,78.59,78.45,78.51,78.48
1524236400,78.71,78.39,78.7,78.51
1524235500,78.91,78.61,78.75,78.7
1524234600,79.4,78.69,79.32,78.74
1524170700,79.44,79.3,79.43,79.41
1524169800,79.6,79.23,79.33,79.44
1524168900,79.34,79.26,79.29,79.33
1524168000,79.36,79.23,79.27,79.3
1524167100,79.31,79.215,79.28,79.27
1524166200,79.305,79.11,79.18,79.29
1524165300,79.2,79.08,79.16,79.19
1524164400,79.2,79.04,79.18,79.15
1524163500,79.2,79.04,79.05,79.18
1524162600,79.09,78.94,78.97,79.04
1524161700,79.06,78.92,78.96,78.97
1524160800,79,78.86,78.98,78.96
1524159900,79.17,78.96,79.06,78.98
1524159000,79.12,79.01,79.08,79.07
1524158100,79.24,78.99,79.11,79.07
1524157200,79.25,79.04,79.14,79.11
1524156300,79.45,79.13,79.41,79.15
1524155400,79.81,79.39,79.8,79.41
1524154500,79.81,79.66,79.68,79.78
1524153600,79.7,79.58,79.61,79.68
1524152700,79.61,79.22,79.305,79.61
1524151800,79.5,79.3,79.49,79.31
1524150900,79.48,79.265,79.34,79.48
1524150000,79.36,78.82,78.9,79.35
1524149100,79.01,78.81,78.96,78.91
1524148200,79.42,78.89,79.35,78.95
1524084300,79.53,79.2,79.485,79.23
1524083400,79.62,79.47,79.57,79.49
1524082500,79.67,79.56,79.64,79.58
1524081600,79.69,79.6,79.64,79.63
1524080700,79.72,79.63,79.71,79.63
1524079800,79.75,79.66,79.68,79.71
1524078900,79.73,79.59,79.59,79.67
1524078000,79.61,79.39,79.42,79.6
1524077100,79.48,79.33,79.33,79.42
1524076200,79.34,79.23,79.23,79.32
1524075300,79.32,79.22,79.29,79.23
1524074400,79.32,79.17,79.18,79.29
