date,high,low,open,close
1524496500,14.645,14.55,14.55,14.625
1524495600,14.585,14.505,14.575,14.55
1524494700,14.58,14.39,14.525,14.58
1524493800,14.78,14.52,14.77,14.525
1524257100,14.645,14.515,14.625,14.54
1524256200,14.655,14.615,14.62,14.625
1524255300,14.65,14.585,14.605,14.62
1524254400,14.619,14.585,14.605,14.61
1524253500,14.625,14.565,14.62,14.605
1524252600,14.68,14.6,14.655,14.62
1524251700,14.68,14.56,14.625,14.655
1524250800,14.7,14.61,14.69,14.62
1524249900,14.75,14.665,14.695,14.7
1524249000,14.74,14.64,14.7,14.695
1524248100,14.71,14.59,14.63,14.7
1524247200,14.625,14.445,14.47,14.62
1524246300,14.525,14.42,14.51,14.475
1524245400,14.52,14.35,14.35,14.51
1524244500,14.415,14.34,14.355,14.35
1524243600,14.535,14.355,14.53,14.355
1524242700,14.58,14.501,14.565,14.535
1524241800,14.57,14.47,14.47,14.565
1524240900,14.52,14.43,14.52,14.475
1524240000,14.65,14.52,14.65,14.52
1524239100,14.675,14.52,14.54,14.65
1524238200,14.689,14.481,14.649,14.54
1524237300,14.679,14.561,14.645,14.65
1524236400,14.65,14.43,14.58,14.645
1524235500,14.88,14.55,14.88,14.575
1524234600,15.05,14.72,14.97,14.88
1524170700,14.02,13.96,14,13.995
1524169800,14.055,13.935,13.95,14.005
1524168900,13.975,13.935,13.965,13.95
1524168000,13.97,13.855,13.88,13.965
1524167100,13.88,13.785,13.865,13.875
1524166200,13.87,13.765,13.785,13.865
1524165300,13.795,13.75,13.775,13.785
1524164400,13.785,13.77,13.785,13.775
1524163500,13.795,13.735,13.74,13.785
1524162600,13.74,13.675,13.675,13.74
1524161700,13.71,13.655,13.675,13.675
1524160800,13.685,13.63,13.681,13.675
1524159900,13.745,13.68,13.735,13.68
1524159000,13.74,13.681,13.681,13.74
1524158100,13.745,13.665,13.725,13.68
1524157200,13.8,13.71,13.79,13.725
1524156300,13.799,13.765,13.77,13.79
1524155400,13.805,13.76,13.79,13.77
1524154500,13.845,13.785,13.825,13.79
1524153600,13.88,13.81,13.88,13.825
1524152700,13.905,13.86,13.905,13.88
1524151800,13.97,13.86,13.97,13.91
1524150900,13.975,13.91,13.93,13.97
1524150000,13.93,13.85,13.885,13.93
1524149100,13.95,13.83,13.92,13.89
1524148200,13.95,13.68,13.68,13.915
1524084300,13.685,13.66,13.67,13.665
1524083400,13.71,13.665,13.71,13.67
1524082500,13.735,13.685,13.685,13.71
1524081600,13.715,13.675,13.705,13.685
1524080700,13.735,13.69,13.69,13.7
1524079800,13.725,13.69,13.725,13.69
1524078900,13.77,13.72,13.745,13.725
1524078000,13.75,13.68,13.685,13.745
1524077100,13.705,13.685,13.695,13.685
1524076200,13.74,13.695,13.735,13.695
1524075300,13.745,13.735,13.745,13.735
1524074400,13.745,13.695,13.705,13.74
1524073500,13.725,13.695,13.695,13.705
1524072600,13.715,13.691,13.71,13.695
1524071700,13.725,13.675,13.675,13.71
1524070800,13.73,13.675,13.725,13.675
1524069900,13.75,13.725,13.745,13.725
1524069000,13.75,13.73,13.74,13.74
1524068100,13.75,13.7,13.745,13.75
1524067200,13.77,13.705,13.705,13.745
1524066300,13.71,13.68,13.69,13.71
1524065400,13.71,13.625,13.645,13.685
1524064500,13.715,13.64,13.69,13.645
1524063600,13.83,13.685,13.825,13.69
1524062700,13.83,13.71,13.75,13.825
1524061800,13.92,13.74,13.87,13.74
1523997900,13.805,13.771,13.785,13.79
1523997000,13.82,13.771,13.775,13.79
1523996100,13.79,13.73,13.79,13.775
1523995200,13.81,13.76,13.775,13.785
1523994300,13.795,13.755,13.775,13.775
1523993400,13.805,13.775,13.805,13.775
1523992500,13.815,13.78,13.805,13.805
1523991600,13.86,13.805,13.85,13.81
1523990700,13.85,13.785,13.795,13.85
1523989800,13.805,13.77,13.795,13.795
1523988900,13.799,13.761,13.78,13.795
1523988000,13.815,13.765,13.775,13.785
1523987100,13.795,13.76,13.79,13.77
1523986200,13.815,13.79,13.815,13.79
1523985300,13.855,13.785,13.815,13.82
1523984400,13.83,13.789,13.79,13.82
1523983500,13.805,13.76,13.771,13.78
1523982600,13.855,13.765,13.855,13.775
1523981700,13.87,13.78,13.78,13.85
1523980800,13.855,13.745,13.825,13.78
1523979900,13.845,13.785,13.785,13.82
1523979000,13.79,13.7,13.7,13.785
1523978100,13.75,13.67,13.685,13.695
1523977200,13.735,13.605,13.64,13.685
1523976300,13.65,13.52,13.52,13.64
1523975400,13.52,13.36,13.38,13.51
1523911500,13.335,13.285,13.315,13.32
1523910600,13.32,13.28,13.305,13.32
1523909700,13.31,13.245,13.265,13.31
1523908800,13.285,13.26,13.265,13.265
1523907900,13.32,13.265,13.285,13.265
1523907000,13.29,13.24,13.27,13.285
1523906100,13.3,13.265,13.295,13.275
1523905200,13.305,13.281,13.295,13.29
1523904300,13.34,13.291,13.34,13.295
1523903400,13.365,13.33,13.355,13.335
1523902500,13.37,13.335,13.355,13.355
1523901600,13.365,13.31,13.33,13.355
1523900700,13.39,13.325,13.365,13.33
1523899800,13.415,13.355,13.401,13.361
1523898900,13.445,13.401,13.435,13.405
1523898000,13.44,13.395,13.395,13.433
1523897100,13.415,13.385,13.405,13.395
1523896200,13.43,13.315,13.325,13.405
1523895300,13.348,13.305,13.33,13.325
1523894400,13.335,13.24,13.245,13.33
1523893500,13.305,13.235,13.295,13.24
1523892600,13.35,13.25,13.325,13.295
1523891700,13.345,13.255,13.315,13.33
1523890800,13.375,13.275,13.355,13.32
1523889900,13.49,13.355,13.44,13.355
1523889000,13.58,13.4,13.5,13.44
1523652300,13.515,13.49,13.5,13.505
1523651400,13.515,13.49,13.495,13.5
1523650500,13.505,13.46,13.49,13.5
1523649600,13.515,13.465,13.515,13.5
1523648700,13.54,13.49,13.535,13.515
1523647800,13.535,13.49,13.49,13.535
1523646900,13.535,13.49,13.521,13.495
1523646000,13.545,13.52,13.535,13.52
1523645100,13.585,13.53,13.58,13.53
1523644200,13.63,13.57,13.63,13.575
1523643300,13.66,13.62,13.62,13.63
1523642400,13.625,13.585,13.585,13.62
1523641500,13.595,13.565,13.59,13.59
1523640600,13.63,13.569,13.63,13.58
1523639700,13.64,13.595,13.595,13.635
1523638800,13.62,13.575,13.609,13.595
1523637900,13.615,13.525,13.53,13.609
1523637000,13.53,13.47,13.475,13.525
1523636100,13.5,13.45,13.47,13.475
1523635200,13.565,13.47,13.49,13.47
1523634300,13.555,13.49,13.52,13.49
1523633400,13.56,13.46,13.505,13.522
1523632500,13.59,13.48,13.525,13.5
1523631600,13.53,13.431,13.53,13.525
1523630700,13.675,13.53,13.6,13.539
1523629800,13.62,13.37,13.37,13.609
1523565900,13.24,13.18,13.205,13.185
1523565000,13.22,13.175,13.175,13.205
1523564100,13.18,13.115,13.115,13.175
1523563200,13.115,13.095,13.105,13.115
1523562300,13.105,13.07,13.08,13.105
1523561400,13.105,13.08,13.095,13.08
1523560500,13.1,13.07,13.07,13.095
1523559600,13.075,13.05,13.055,13.065
1523558700,13.075,13.03,13.045,13.05
1523557800,13.055,13.02,13.02,13.045
1523556900,13.08,13.02,13.075,13.025
1523556000,13.085,13.055,13.065,13.07
1523555100,13.065,13.025,13.025,13.065
1523554200,13.035,13.02,13.035,13.025
1523553300,13.04,13.015,13.035,13.03
1523552400,13.05,13.015,13.015,13.03
1523551500,13.02,13.005,13.015,13.015
1523550600,13.02,13.005,13.015,13.015
1523549700,13.035,12.995,12.995,13.02
1523548800,13.015,12.985,13.005,12.995
1523547900,13.025,13,13.011,13.005
1523547000,13.05,13.01,13.05,13.01
1523546100,13.11,13.035,13.035,13.05
1523545200,13.04,13,13.005,13.035
1523544300,13.06,12.995,13.025,13.001
1523543400,13.055,12.975,13.03,13.02
1523479500,12.985,12.935,12.94,12.975
1523478600,13.005,12.94,12.995,12.94
1523477700,13.005,12.98,12.985,12.99
1523476800,13.01,12.98,13,12.985
1523475900,13,12.971,13,13
1523475000,13.015,12.975,12.98,13
1523474100,13.005,12.975,12.98,12.98
1523473200,13.005,12.98,12.995,12.985
1523472300,12.995,12.96,12.96,12.99
1523471400,12.97,12.955,12.97,12.96
1523470500,12.97,12.93,12.93,12.965
1523469600,12.991,12.93,12.955,12.93
1523468700,12.955,12.92,12.955,12.955
1523467800,12.965,12.93,12.96,12.95
1523466900,12.995,12.95,12.995,12.95
1523466000,13.03,12.99,13.025,12.995
1523465100,13.035,13.002,13.005,13.02
1523464200,13.005,12.97,12.98,13.005
1523463300,13.015,12.975,13.005,12.98
1523462400,13.015,13,13.005,13.005
1523461500,13.055,13,13.04,13
1523460600,13.06,13.01,13.025,13.04
1523459700,13.04,13.015,13.031,13.02
1523458800,13.075,13.02,13.06,13.035
1523457900,13.07,13.015,13.029,13.06
1523457000,13.06,12.86,12.87,13.025
1523393100,13.065,13.035,13.035,13.055
1523392200,13.1,13.03,13.085,13.03
1523391300,13.09,13.065,13.08,13.09
1523390400,13.095,13.055,13.095,13.08
1523389500,13.1,13.07,13.075,13.095
1523388600,13.08,13.045,13.07,13.075
1523387700,13.105,13.06,13.095,13.061
1523386800,13.095,13.075,13.09,13.095
1523385900,13.09,13.03,13.06,13.09
1523385000,13.1,13.06,13.075,13.06
1523384100,13.09,13.07,13.08,13.075
1523383200,13.085,13.05,13.06,13.08
1523382300,13.065,13.015,13.015,13.06
1523381400,13.025,12.96,12.98,13.011
1523380500,13.03,12.955,13.02,12.985
1523379600,13.08,13.02,13.06,13.02
1523378700,13.06,13.001,13.03,13.055
1523377800,13.075,13.025,13.055,13.03
1523376900,13.07,13.01,13.025,13.055
1523376000,13.055,13.01,13.01,13.025
1523375100,13.065,13,13.032,13.011
1523374200,13.08,13.031,13.07,13.031
1523373300,13.075,13.025,13.075,13.06
1523372400,13.08,13.005,13.031,13.075
1523371500,13.14,13.03,13.095,13.035
1523370600,13.14,12.99,13.01,13.09
1523306700,12.895,12.82,12.895,12.84
1523305800,12.94,12.86,12.94,12.9
1523304900,12.945,12.905,12.94,12.94
1523304000,12.98,12.945,12.97,12.945
1523303100,13.005,12.955,12.955,12.96
1523302200,12.98,12.95,12.96,12.955
1523301300,12.985,12.95,12.96,12.96
1523300400,13.05,12.96,13.05,12.96
1523299500,13.087,13.045,13.045,13.055
1523298600,13.055,13.01,13.035,13.045
1523297700,13.05,13.01,13.05,13.035
1523296800,13.095,13.05,13.08,13.05
1523295900,13.105,13.01,13.015,13.075
1523295000,13.025,12.985,12.985,13.015
1523294100,13.025,12.97,13.02,12.985
1523293200,13.035,13.01,13.025,13.015
1523292300,13.04,12.985,12.985,13.025
1523291400,12.99,12.965,12.985,12.985
1523290500,12.995,12.945,12.95,12.985
1523289600,12.965,12.91,12.95,12.95
1523288700,13.01,12.95,12.995,12.95
1523287800,13.07,12.995,13.005,12.995
1523286900,13.02,12.96,12.99,13.005
1523286000,12.99,12.9,12.985,12.985
1523285100,13.005,12.905,12.965,12.98
1523284200,13.16,12.961,13.1,12.961
1523047500,13.09,13.02,13.035,13.055
1523046600,13.05,12.961,12.98,13.035
1523045700,13.025,12.975,13.015,12.985
1523044800,13.02,12.955,12.98,13.02
1523043900,13.005,12.935,13,12.975
1523043000,13.03,12.965,13.02,13.005
1523042100,13.125,12.99,13.125,13.015
1523041200,13.135,13.09,13.115,13.13
1523040300,13.18,13.12,13.18,13.12
1523039400,13.24,13.171,13.24,13.185
1523038500,13.245,13.2,13.21,13.235
1523037600,13.27,13.205,13.27,13.215
1523036700,13.28,13.21,13.225,13.28
1523035800,13.24,13.17,13.17,13.22
1523034900,13.255,13.17,13.255,13.17
1523034000,13.295,13.255,13.28,13.26
1523033100,13.32,13.24,13.285,13.28
1523032200,13.3,13.235,13.235,13.28
1523031300,13.24,13.21,13.22,13.235
1523030400,13.255,13.21,13.23,13.23
1523029500,13.29,13.23,13.29,13.239
1523028600,13.36,13.28,13.35,13.285
1523027700,13.4,13.31,13.34,13.345
1523026800,13.4,13.32,13.39,13.34
1523025900,13.46,13.295,13.305,13.38
1523025000,13.385,13.26,13.34,13.3
1522961100,13.425,13.365,13.38,13.42
1522960200,13.395,13.355,13.395,13.38
1522959300,13.435,13.39,13.435,13.395
1522958400,13.44,13.415,13.43,13.435
1522957500,13.445,13.42,13.425,13.44
1522956600,13.43,13.365,13.365,13.43
1522955700,13.385,13.345,13.345,13.365
1522954800,13.39,13.341,13.375,13.345
1522953900,13.38,13.33,13.335,13.375
1522953000,13.4,13.325,13.34,13.33
1522952100,13.38,13.335,13.38,13.345
1522951200,13.45,13.38,13.435,13.385
1522950300,13.455,13.43,13.435,13.435
1522949400,13.46,13.41,13.425,13.435
1522948500,13.435,13.4,13.43,13.425
1522947600,13.47,13.43,13.445,13.43
1522946700,13.465,13.425,13.465,13.44
1522945800,13.52,13.46,13.51,13.465
1522944900,13.56,13.475,13.495,13.51
1522944000,13.5,13.399,13.4,13.495
1522943100,13.42,13.37,13.4,13.395
1522942200,13.46,13.39,13.4,13.395
1522941300,13.415,13.35,13.35,13.4
1522940400,13.35,13.26,13.28,13.349
1522939500,13.28,13.165,13.255,13.28
1522938600,13.36,13.24,13.29,13.25
1522874700,13.295,13.245,13.245,13.28
1522873800,13.265,13.23,13.255,13.245
1522872900,13.265,13.17,13.185,13.255
1522872000,13.23,13.145,13.159,13.185
1522871100,13.17,13.135,13.14,13.16
1522870200,13.14,13.08,13.095,13.14
1522869300,13.105,13.04,13.06,13.095
1522868400,13.055,13.011,13.02,13.055
1522867500,13.01,12.975,13.005,13.01
1522866600,13.01,12.96,12.975,13.005
1522865700,12.995,12.96,12.985,12.979
1522864800,13.005,12.96,13.005,12.98
1522863900,13.02,12.985,13.01,13.005
1522863000,13.04,12.99,13.035,13.01
1522862100,13.05,13.01,13.04,13.035
1522861200,13.07,12.955,12.96,13.045
1522860300,12.965,12.93,12.95,12.96
1522859400,13.03,12.93,13.015,12.951
1522858500,13.02,12.96,12.985,13.015
1522857600,13.02,12.98,13.02,12.99
1522856700,13.03,12.97,12.971,13.02
1522855800,12.98,12.951,12.97,12.975
1522854900,13.025,12.945,13.02,12.97
1522854000,13.035,12.9,12.945,13.025
1522853100,12.99,12.84,12.86,12.95
1522852200,12.895,12.79,12.8,12.865
1522788300,13.14,13.065,13.065,13.13
1522787400,13.1,13.04,13.1,13.065
1522786500,13.105,13.05,13.065,13.095
1522785600,13.105,12.985,12.985,13.06
1522784700,13.005,12.93,12.93,12.99
1522783800,12.975,12.925,12.97,12.925
1522782900,13,12.97,13,12.98
1522782000,13.03,12.995,13.025,13.01
1522781100,13.029,12.985,12.995,13.02
1522780200,12.995,12.97,12.995,12.99
1522779300,12.995,12.95,12.95,12.99
1522778400,12.965,12.935,12.95,12.95
1522777500,12.985,12.945,12.975,12.955
1522776600,12.985,12.91,12.92,12.975
1522775700,12.965,12.9,12.96,12.92
1522774800,13.04,12.95,13.025,12.955
1522773900,13.085,13.02,13.03,13.02
1522773000,13.04,13.005,13.025,13.035
1522772100,13.055,12.985,12.995,13.03
1522771200,13.005,12.955,12.955,12.99
1522770300,12.99,12.925,12.925,12.955
1522769400,12.95,12.855,12.865,12.925
1522768500,12.885,12.805,12.869,12.869
1522767600,12.965,12.85,12.885,12.865
1522766700,13.05,12.88,13.035,12.887
1522765800,13.1,12.99,13.1,13.03
1522701900,13.13,13.025,13.035,13.11
1522701000,13.045,13.01,13.015,13.03
1522700100,13.04,13.011,13.025,13.02
1522699200,13.03,12.995,13.015,13.025
1522698300,13.025,12.985,12.99,13.015
1522697400,13.03,12.985,13.015,12.99
1522696500,13.06,12.995,12.995,13.02
1522695600,13.015,12.96,13.005,12.995
1522694700,13.049,13,13.025,13.005
1522693800,13.085,13.025,13.075,13.025
1522692900,13.17,13.07,13.145,13.07
1522692000,13.165,13.135,13.143,13.15
1522691100,13.145,13.09,13.135,13.143
1522690200,13.16,13.115,13.14,13.135
1522689300,13.16,13.085,13.105,13.14
1522688400,13.195,13.09,13.155,13.102
1522687500,13.17,13.105,13.115,13.155
1522686600,13.235,13.08,13.23,13.115
1522685700,13.24,13.16,13.2,13.24
1522684800,13.28,13.2,13.271,13.205
1522683900,13.29,13.225,13.26,13.275
1522683000,13.31,13.255,13.31,13.265
1522682100,13.355,13.29,13.32,13.305
1522681200,13.45,13.3,13.41,13.32
1522680300,13.54,13.41,13.49,13.41
1522679400,13.52,13.31,13.44,13.49
1522356300,13.555,13.47,13.515,13.48
1522355400,13.54,13.445,13.485,13.51
1522354500,13.495,13.465,13.485,13.49
1522353600,13.49,13.445,13.45,13.485
1522352700,13.475,13.42,13.435,13.45
1522351800,13.44,13.405,13.44,13.435
1522350900,13.46,13.4,13.45,13.435
1522350000,13.455,13.415,13.415,13.45
1522349100,13.472,13.41,13.415,13.42
1522348200,13.425,13.39,13.405,13.415
1522347300,13.435,13.39,13.428,13.41
1522346400,13.485,13.43,13.455,13.43
1522345500,13.469,13.4,13.4,13.455
1522344600,13.419,13.39,13.41,13.405
1522343700,13.435,13.38,13.425,13.41
1522342800,13.45,13.41,13.415,13.43
1522341900,13.455,13.41,13.415,13.415
1522341000,13.455,13.402,13.455,13.415
1522340100,13.52,13.45,13.52,13.45
1522339200,13.535,13.455,13.47,13.515
1522338300,13.47,13.36,13.46,13.47
1522337400,13.465,13.4,13.455,13.46
