date,high,low,open,close
1524496500,251.04,249.62,250.12,249.68
1524495600,251.22,250,251.04,250.11
1524494700,251.5,250.34,251.5,250.98
1524493800,252.6,251.09,251.66,251.38
1524257100,252.05,251.53,251.72,251.99
1524256200,252.01,251.5,251.74,251.71
1524255300,252.19,251.65,252.19,251.79
1524254400,252.82,251.8,252.82,252.28
1524253500,253.12,252.5,252.75,252.77
1524252600,253.52,252.66,253.402,252.87
1524251700,253.48,253.13,253.26,253.43
1524250800,253.4,253.01,253.14,253.28
1524249900,253.4,252.97,253.37,253.26
1524249000,253.55,253.14,253.39,253.35
1524248100,253.53,252.86,253.51,253.38
1524247200,253.55,252.83,252.83,253.55
1524246300,253.26,252.64,253,252.92
1524245400,253.65,252.9,253.65,252.98
1524244500,253.97,253.4,253.59,253.73
1524243600,254.11,253.55,254.06,253.55
1524242700,254.62,254.04,254.38,254.15
1524241800,254.57,253.61,253.79,254.29
1524240900,253.77,253.21,253.21,253.55
1524240000,254.4,253.1,254.4,253.24
1524239100,255.29,254.47,254.96,254.53
1524238200,255.01,254.56,254.74,254.96
1524237300,254.74,254.05,254.12,254.74
1524236400,255.36,254,255.23,254.12
1524235500,255.64,254.6,254.72,255.04
1524234600,255.4,254.1,254.1,254.73
1524170700,254.48,253.73,254.28,254.22
1524169800,254.57,253.16,253.22,254.29
1524168900,253.9,253.19,253.9,253.235
1524168000,254.29,253.87,254.07,253.92
1524167100,254.1,253.54,253.74,254.08
1524166200,253.8,252.9,252.9,253.75
1524165300,253.71,252.83,253.71,253.04
1524164400,253.88,253.51,253.68,253.77
1524163500,254.09,253.55,253.97,253.63
1524162600,254.11,253.08,253.28,254.08
1524161700,253.96,253.15,253.17,253.3
1524160800,254.1,253.09,253.86,253.36
1524159900,254.97,253.5,254.58,253.84
1524159000,255.25,254.47,255.13,254.62
1524158100,254.98,254.46,254.67,254.88
1524157200,255.97,254.64,255.97,254.67
1524156300,256.16,255.61,255.81,255.91
1524155400,255.89,254.55,254.94,255.8
1524154500,255,254.33,254.35,254.9
1524153600,254.65,254.03,254.51,254.38
1524152700,255,253.98,254.7,254.33
1524151800,255.3,254.61,254.61,254.72
1524150900,254.92,253.91,254.22,254.55
1524150000,255.01,253.52,255.01,254.3
1524149100,255.98,254.6,255.16,254.87
1524148200,256,254,254,255.08
1524084300,254.1,253.12,253.6,254.02
1524083400,254.13,253.37,254.01,253.61
1524082500,254.77,254,254.6,254.03
1524081600,255.03,254.03,254.03,254.57
1524080700,254.2,253.275,253.63,254.03
1524079800,254.2,253.55,254.14,253.58
1524078900,254.21,253.78,253.9,254.15
1524078000,253.93,252.94,253.15,253.91
1524077100,253.55,252.98,253.02,253.18
1524076200,253.81,252.92,253.58,252.97
1524075300,253.93,253.45,253.67,253.55
1524074400,253.72,252.94,253.07,253.72
1524073500,253.17,252.34,252.65,253.13
1524072600,253.37,252.25,253.37,252.52
1524071700,254.15,253.3,253.66,253.39
1524070800,254.4,253.64,253.94,253.64
1524069900,254.48,253.86,254.16,253.92
1524069000,254.81,254,254.56,254.379
1524068100,255.31,254.56,255.31,254.56
1524067200,255.91,255.33,255.54,255.33
1524066300,255.53,254.59,254.77,255.53
1524065400,255.74,254.33,255.7,254.48
1524064500,255.75,254.57,254.83,255.71
1524063600,256.18,254.5,256.05,254.74
1524062700,257,255.82,256.15,256.23
1524061800,256.7,254.21,255,256.41
1523997900,254.91,253.41,254.1,253.63
1523997000,254.16,253.18,253.18,254.11
1523996100,253.25,252.68,252.68,253.09
1523995200,253.37,252.63,252.8,252.67
1523994300,253.1,252.51,252.82,252.75
1523993400,252.94,252.5,252.75,252.77
1523992500,253.24,252.5,253.03,252.82
1523991600,254.038,253.078,253.82,253.078
1523990700,254.07,253.32,253.47,253.86
1523989800,253.57,252.96,253.47,253.21
1523988900,253.57,252.38,253.5,253.56
1523988000,254.26,253.52,253.94,253.52
1523987100,254.52,253.44,253.55,253.94
1523986200,254.98,253.4,254.98,253.55
1523985300,255.5,254.92,255.22,254.92
1523984400,255.41,254.78,255.09,255.26
1523983500,255.3,253.94,254.5,255.01
1523982600,254.96,253.65,254.469,254.42
1523981700,255.7,254.08,254.21,254.39
1523980800,255.6,254.15,254.53,254.28
1523979900,255.23,252.88,253.29,254.54
1523979000,254.92,253.23,253.54,253.29
1523978100,256.79,252.94,256.63,253.65
1523977200,257.76,256.51,257.32,256.56
1523976300,260.43,256.87,259.27,257.17
1523975400,262.24,257.84,261.7,259.28
1523911500,259.44,257.8,259.33,258.23
1523910600,259.4,258.62,258.68,259.26
1523909700,258.73,257.97,258.73,258.65
1523908800,258.77,258.38,258.4,258.7
1523907900,259.2,258.17,259,258.4
1523907000,259.08,258.4,258.45,258.98
1523906100,259.11,258.38,258.86,258.46
1523905200,260.61,258.8,260.61,258.86
1523904300,260.65,260.18,260.22,260.61
1523903400,260.3,259.38,259.41,260.16
1523902500,260.01,259.47,259.81,259.49
1523901600,259.94,259.42,259.42,259.87
1523900700,259.45,258.19,258.19,259.23
1523899800,258.46,257.55,258.06,258.11
1523898900,258.67,257.91,258.58,258.04
1523898000,259.14,258.63,258.77,258.75
1523897100,258.73,258.17,258.28,258.71
1523896200,258.96,258.22,258.93,258.24
1523895300,259.14,258.3,258.45,259.12
1523894400,259.62,258.42,259.35,258.56
1523893500,259.79,258.66,259.77,259.36
1523892600,259.83,259.06,259.4,259.75
1523891700,259.5,258.17,258.67,259.5
1523890800,259.49,258.72,259.02,258.73
1523889900,259.98,257.88,258.45,259.06
1523889000,259.4,256.68,257.13,258.35
1523652300,256.2,255.31,255.31,255.99
1523651400,255.53,254.54,255.05,255.3
1523650500,256.13,254.71,256.01,255.07
1523649600,256.73,256.04,256.73,256.07
1523648700,257.1,256.64,256.99,256.78
1523647800,257.61,256.8,257.26,256.97
1523646900,257.64,257.01,257.64,257.23
1523646000,258.05,257.63,257.84,257.79
1523645100,257.97,257.69,257.73,257.8
1523644200,258.26,257.41,258.07,257.75
1523643300,258.02,257.17,257.28,257.96
1523642400,257.22,256.95,256.98,257.09
1523641500,257,256.5,256.76,256.69
1523640600,257.4,256.63,257.4,256.86
1523639700,257.64,256.83,257.5,257.48
1523638800,258.31,257.2,258.01,257.51
1523637900,258.17,257.3,257.73,258.08
1523637000,258.59,257.41,257.41,257.62
1523636100,257.71,256.44,256.93,257.68
1523635200,257.17,256.22,256.64,256.9
1523634300,258.19,256.95,257.57,256.95
1523633400,257.79,256.91,257.62,257.56
1523632500,259,257.3,257.89,257.521
1523631600,259.68,257.7,259.54,257.85
1523630700,261.03,259.381,260,259.381
1523629800,262.38,257.91,262.1,260
1523565900,260.32,259.5,259.88,259.54
1523565000,260.73,259.87,260.62,259.87
1523564100,260.7,259.7,259.93,260.62
1523563200,259.99,259.16,259.62,259.99
1523562300,259.64,259.03,259.39,259.63
1523561400,259.64,259.26,259.61,259.52
1523560500,259.57,258.97,258.97,259.53
1523559600,258.95,257.84,257.84,258.88
1523558700,258.75,257.63,258.179,257.87
1523557800,258.24,257.27,257.4,258.125
1523556900,258.23,257.36,258.13,257.48
1523556000,259.11,257.87,258.96,257.96
1523555100,259.87,258.56,259.47,258.94
1523554200,259.28,259.05,259.21,259.28
1523553300,259.35,258.95,259.02,259.33
1523552400,259.5,258.99,259.07,259.22
1523551500,259,258.45,258.92,258.98
1523550600,259.52,258.99,259.13,259.21
1523549700,259.25,257.7,257.7,259.14
1523548800,257.85,257.179,257.179,257.8
1523547900,257.74,256.84,257.3,257.26
1523547000,257.81,257.06,257.08,257.49
1523546100,257.5,256.81,257.15,257.1
1523545200,257.74,256.98,257.46,257.18
1523544300,257.65,256.74,257.23,257.49
1523543400,257.17,255.2,256.27,257.03
1523479500,253.34,252.75,253.02,252.94
1523478600,253.36,252.54,252.66,253.18
1523477700,252.59,251.93,252.3,252.43
1523476800,253.57,252.32,253.5,252.32
1523475900,253.42,252.59,252.78,253.42
1523475000,253.92,252.83,253.33,252.86
1523474100,254.1,253.3,253.37,253.3
1523473200,254.8,253.46,254.37,253.59
1523472300,254.4,253.81,253.89,254.4
1523471400,254.31,253.8,254.13,254.11
1523470500,254.5,253.53,253.65,254.26
1523469600,254,253.22,253.55,253.49
1523468700,253.71,252.93,253.52,253.49
1523467800,253.77,253.15,253.77,253.51
1523466900,253.87,253.05,253.55,253.59
1523466000,254.39,253.6,253.6,253.65
1523465100,253.98,253.01,253.01,253.39
1523464200,253.31,252.51,252.53,253.19
1523463300,252.85,251.78,252.47,252.45
1523462400,252.5,251.74,252.45,252.28
1523461500,253.77,252.48,253.77,252.49
