date,high,low,open,close
1524496500,145.11,144.87,144.96,145
1524495600,145.33,144.83,144.96,144.91
1524494700,144.92,144.35,144.73,144.92
1524493800,145.17,144.46,145.03,144.7
1524257100,145.07,144.705,144.75,144.96
1524256200,144.93,144.54,144.62,144.74
1524255300,144.68,144.51,144.64,144.6
1524254400,144.84,144.55,144.84,144.64
1524253500,144.87,144.66,144.74,144.83
1524252600,145.08,144.71,145,144.74
1524251700,145.1,144.79,145.1,145.02
1524250800,145.14,144.9,145.09,144.99
1524249900,145.38,145.12,145.19,145.17
1524249000,145.3,144.96,145.11,145.18
1524248100,145.1,144.8,144.94,145.1
1524247200,144.95,144.68,144.7,144.95
1524246300,144.93,144.55,144.69,144.8
1524245400,144.99,144.63,144.77,144.72
1524244500,144.8,144.55,144.66,144.77
1524243600,144.99,144.62,144.99,144.62
1524242700,145.22,144.95,145.22,144.98
1524241800,145.4,144.93,144.95,145.19
1524240900,145.27,144.84,145.13,144.93
1524240000,145.75,145,145.74,145.15
1524239100,146.42,145.68,146.41,145.77
1524238200,146.74,146.37,146.48,146.46
1524237300,146.51,146.23,146.41,146.48
1524236400,146.73,146.23,146.53,146.41
1524235500,147.168,146.5,147.07,146.57
1524234600,147.9,146.75,147.9,147.05
1524170700,147.75,147.56,147.7,147.7
1524169800,147.88,147.2,147.31,147.69
1524168900,147.63,147.29,147.63,147.31
1524168000,147.71,147.32,147.4,147.62
1524167100,147.42,146.99,147.08,147.41
1524166200,147.15,146.86,146.98,147.09
1524165300,147.22,146.83,147.13,146.99
1524164400,147.45,147.11,147.33,147.12
1524163500,147.5,147.23,147.28,147.31
1524162600,147.29,146.95,146.95,147.25
1524161700,147,146.76,146.92,146.91
1524160800,147.16,146.82,147.04,146.94
1524159900,147.23,146.94,147.02,147.06
1524159000,147.03,146.62,146.74,147.02
1524158100,146.99,146.71,146.91,146.75
1524157200,147.17,146.89,147.07,146.92
1524156300,147.428,147.07,147.4,147.07
1524155400,147.53,147.27,147.5,147.44
1524154500,147.57,147.15,147.23,147.49
1524153600,147.96,147.13,147.96,147.27
1524152700,148.36,147.74,148.16,147.94
1524151800,148.97,148.16,148.96,148.17
1524150900,149.15,148.7,148.75,148.96
1524150000,148.77,148.17,148.33,148.75
1524149100,148.86,148.07,148.83,148.33
1524148200,149.18,148.44,148.79,148.83
1524084300,149.19,148.6,148.72,148.67
1524083400,148.82,148.51,148.8,148.72
1524082500,149.19,148.8,149.09,148.8
1524081600,149.16,148.93,149.09,149.08
1524080700,149.2,148.88,149.12,149.03
1524079800,149.17,148.73,148.73,149.11
1524078900,148.88,148.61,148.78,148.71
1524078000,148.92,148.59,148.73,148.77
1524077100,148.95,148.6,148.87,148.7
1524076200,149.14,148.73,148.98,148.902
1524075300,149.09,148.63,148.73,148.985
1524074400,148.79,148.31,148.34,148.72
1524073500,148.5,148.26,148.48,148.34
1524072600,148.85,148.45,148.76,148.48
1524071700,148.98,148.66,148.718,148.76
1524070800,148.8,148.56,148.68,148.719
1524069900,149.1,148.61,148.91,148.65
1524069000,149.44,148.88,149.11,148.9
1524068100,149.53,149,149.39,149.09
1524067200,149.77,149.081,149.27,149.36
1524066300,150,149.16,149.97,149.25
1524065400,150.05,149.55,149.72,149.96
1524064500,150.21,149.59,149.81,149.74
1524063600,150.62,149.64,150.52,149.79
1524062700,151.47,150.26,151.19,150.55
1524061800,152.6,150.43,152,151.16
1523997900,161.79,160.86,161.79,160.95
1523997000,161.91,161.63,161.68,161.78
1523996100,161.91,161.66,161.77,161.69
