date,high,low,open,close
1524496500,51.81,51.55,51.57,51.75
1524495600,51.59,51.35,51.42,51.57
1524494700,51.43,51.09,51.245,51.43
1524493800,51.89,51.1,51.78,51.25
1524257100,51.53,51.33,51.42,51.53
1524256200,51.46,51.22,51.28,51.42
1524255300,51.31,51.19,51.3,51.28
1524254400,51.5,51.22,51.5,51.31
1524253500,51.5,51.35,51.44,51.49
1524252600,51.51,51.38,51.5,51.44
1524251700,51.52,51.43,51.5,51.49
1524250800,51.59,51.47,51.55,51.5
1524249900,51.615,51.53,51.58,51.54
1524249000,51.63,51.45,51.51,51.59
1524248100,51.54,51.36,51.48,51.52
1524247200,51.47,51.21,51.28,51.47
1524246300,51.355,51.23,51.29,51.27
1524245400,51.46,51.28,51.43,51.28
1524244500,51.45,51.29,51.39,51.435
1524243600,51.44,51.25,51.29,51.39
1524242700,51.28,51.06,51.085,51.28
1524241800,51.175,50.88,50.91,51.09
1524240900,51.21,50.9,51.01,50.91
1524240000,51.43,50.985,51.42,51
1524239100,51.64,51.37,51.62,51.43
1524238200,51.72,51.49,51.58,51.63
1524237300,51.61,51.42,51.44,51.58
1524236400,51.915,51.33,51.89,51.44
1524235500,52.19,51.7,52.02,51.885
1524234600,52.27,51.91,52,52.01
1524170700,52.4,52.125,52.39,52.22
1524169800,52.46,52.02,52.03,52.39
1524168900,52.23,52.02,52.16,52.03
1524168000,52.24,52.03,52.05,52.16
1524167100,52.085,51.88,51.945,52.05
1524166200,51.96,51.86,51.88,51.94
1524165300,52.15,51.86,52.15,51.89
1524164400,52.22,52.11,52.21,52.14
1524163500,52.27,52.14,52.16,52.2
1524162600,52.165,51.85,51.855,52.16
1524161700,51.98,51.855,51.86,51.86
1524160800,52.09,51.79,52,51.87
1524159900,52.175,51.86,51.88,52.01
1524159000,51.95,51.71,51.71,51.89
1524158100,51.87,51.7,51.79,51.72
1524157200,51.825,51.62,51.69,51.79
1524156300,51.91,51.7,51.91,51.7
1524155400,52.11,51.77,52.08,51.9
1524154500,52.11,51.68,51.73,52.08
1524153600,52.16,51.71,52.13,51.73
1524152700,52.42,52.045,52.32,52.13
1524151800,52.56,52.31,52.56,52.33
1524150900,52.7,52.48,52.56,52.56
1524150000,52.56,52.205,52.5,52.56
1524149100,52.53,52.27,52.5,52.5
1524148200,52.96,52.27,52.95,52.51
1524084300,53.99,53.57,53.96,53.61
1524083400,54.045,53.95,54.02,53.97
1524082500,54.14,54.01,54.07,54.02
1524081600,54.13,54.03,54.06,54.08
1524080700,54.16,54.05,54.13,54.06
1524079800,54.13,54.03,54.105,54.13
1524078900,54.205,54.09,54.18,54.1
1524078000,54.25,54.08,54.14,54.18
1524077100,54.22,54.12,54.19,54.145
1524076200,54.275,54.14,54.19,54.19
1524075300,54.29,54.14,54.24,54.19
1524074400,54.28,54.14,54.17,54.24
1524073500,54.19,54.09,54.09,54.175
1524072600,54.29,54.07,54.28,54.1
1524071700,54.33,54.21,54.28,54.28
1524070800,54.35,54.16,54.16,54.29
1524069900,54.29,53.98,54.02,54.16
1524069000,54.25,53.99,54.25,54.02
1524068100,54.3,54.17,54.24,54.25
1524067200,54.355,54.11,54.13,54.25
1524066300,54.15,53.93,54,54.135
1524065400,54,53.74,53.75,54
1524064500,53.77,53.35,53.35,53.74
1524063600,53.75,53.355,53.68,53.36
1524062700,53.78,53.49,53.64,53.69
1524061800,53.67,53.36,53.54,53.61
1523997900,53.66,53.51,53.615,53.54
1523997000,53.66,53.57,53.58,53.61
1523996100,53.66,53.56,53.62,53.58
1523995200,53.69,53.59,53.62,53.62
1523994300,53.625,53.55,53.58,53.62
1523993400,53.61,53.52,53.54,53.58
1523992500,53.6,53.46,53.56,53.54
1523991600,53.65,53.545,53.56,53.56
1523990700,53.69,53.53,53.6,53.56
1523989800,53.68,53.575,53.68,53.59
1523988900,53.68,53.45,53.56,53.68
1523988000,53.64,53.445,53.48,53.56
1523987100,53.565,53.45,53.53,53.49
1523986200,53.645,53.51,53.62,53.54
1523985300,53.64,53.53,53.62,53.62
1523984400,53.62,53.44,53.44,53.62
1523983500,53.46,53.38,53.38,53.43
1523982600,53.64,53.375,53.6,53.4
1523981700,53.68,53.38,53.39,53.6
1523980800,53.48,53.27,53.27,53.38
1523979900,53.33,53.13,53.21,53.26
1523979000,53.22,53.08,53.21,53.2
1523978100,53.37,53.18,53.34,53.21
1523977200,53.61,53.34,53.445,53.34
1523976300,53.48,53.31,53.44,53.44
1523975400,53.46,52.9,52.99,53.44
1523911500,52.51,52.37,52.47,52.4
1523910600,52.49,52.19,52.2,52.48
1523909700,52.23,52.08,52.17,52.2
1523908800,52.31,52.12,52.27,52.16
1523907900,52.33,52.225,52.275,52.275
1523907000,52.33,52.18,52.2,52.27
1523906100,52.31,52.16,52.2,52.21
1523905200,52.405,52.19,52.365,52.2
1523904300,52.375,52.26,52.31,52.37
1523903400,52.425,52.3,52.39,52.32
1523902500,52.52,52.38,52.5,52.39
1523901600,52.51,52.43,52.46,52.51
1523900700,52.485,52.26,52.26,52.45
1523899800,52.325,52.2,52.27,52.24
1523898900,52.295,52.21,52.28,52.265
1523898000,52.31,52.18,52.19,52.28
1523897100,52.24,52.095,52.18,52.18
1523896200,52.175,52,52.05,52.175
1523895300,52.07,51.79,51.84,52.06
1523894400,52.17,51.85,52.08,51.85
1523893500,52.265,52.01,52.23,52.08
1523892600,52.38,52.145,52.36,52.23
1523891700,52.37,52.08,52.14,52.36
1523890800,52.35,52.11,52.17,52.13
1523889900,52.235,52.02,52.145,52.17
1523889000,52.42,52.01,52.29,52.14
1523652300,51.935,51.81,51.84,51.86
1523651400,51.89,51.625,51.64,51.83
1523650500,51.84,51.6,51.84,51.65
1523649600,52.09,51.69,52.09,51.85
1523648700,52.23,52.07,52.17,52.09
1523647800,52.25,52.08,52.17,52.17
1523646900,52.25,52.09,52.25,52.18
1523646000,52.29,52.2,52.2,52.25
1523645100,52.32,52.17,52.305,52.205
1523644200,52.42,52.27,52.42,52.3
1523643300,52.45,52.255,52.255,52.42
1523642400,52.395,52.23,52.37,52.26
1523641500,52.38,52.21,52.27,52.36
1523640600,52.34,52.21,52.33,52.28
1523639700,52.35,52.15,52.18,52.33
1523638800,52.32,52.1,52.2,52.17
1523637900,52.2,51.995,52.14,52.2
1523637000,52.24,52.02,52.11,52.15
1523636100,52.12,51.8,51.83,52.11
1523635200,51.98,51.71,51.94,51.83
