date,high,low,open,close
1524496500,111.57,111.21,111.24,111.37
1524495600,111.53,111.19,111.45,111.23
1524494700,111.57,111.2,111.47,111.46
1524493800,111.95,111.36,111.57,111.41
1524257100,111.47,111.08,111.15,111.47
1524256200,111.36,110.99,111.17,111.15
1524255300,111.18,110.88,111.15,111.17
1524254400,111.24,110.95,111.24,111.16
1524253500,111.35,111.11,111.325,111.23
1524252600,111.8,111.31,111.77,111.32
1524251700,111.81,111.61,111.775,111.76
1524250800,111.84,111.65,111.74,111.75
1524249900,111.925,111.73,111.88,111.74
1524249000,111.97,111.84,111.96,111.88
1524248100,111.98,111.67,111.9,111.96
1524247200,111.9,111.65,111.71,111.9
1524246300,111.85,111.62,111.67,111.73
1524245400,111.98,111.675,111.9,111.675
1524244500,111.96,111.74,111.82,111.89
1524243600,112.06,111.79,112.05,111.81
1524242700,112.13,111.9,112.08,112.025
1524241800,112.12,111.48,111.55,112.07
1524240900,111.68,111.39,111.44,111.55
1524240000,111.88,111.33,111.83,111.46
1524239100,112.145,111.78,112.045,111.85
1524238200,112.09,111.85,112.06,112.07
1524237300,112.08,111.81,112.01,112.03
1524236400,112.73,111.97,112.73,112.03
1524235500,112.74,112.21,112.31,112.73
1524234600,112.49,111.95,112.32,112.24
1524170700,111.79,111.54,111.73,111.71
1524169800,111.86,111.21,111.22,111.72
1524168900,111.44,111.22,111.41,111.22
1524168000,111.5,111.325,111.39,111.42
1524167100,111.48,111.24,111.41,111.39
1524166200,111.44,111.04,111.04,111.41
1524165300,111.23,110.88,111.23,111.03
1524164400,111.49,111.21,111.43,111.23
1524163500,111.46,111.32,111.35,111.4
1524162600,111.36,110.91,110.93,111.34
1524161700,111.15,110.91,111.1,110.92
1524160800,111.26,110.97,111.2,111.1
1524159900,111.35,111.07,111.13,111.2
1524159000,111.42,111.125,111.32,111.15
1524158100,111.35,111.15,111.23,111.31
1524157200,111.48,111.16,111.46,111.23
1524156300,111.47,111.03,111.09,111.46
1524155400,111.11,110.86,110.88,111.1
1524154500,110.92,110.48,110.56,110.89
1524153600,110.79,110.45,110.79,110.57
1524152700,111.04,110.52,110.75,110.79
1524151800,110.98,110.7,110.7,110.75
1524150900,110.74,110.15,110.28,110.71
1524150000,110.5,110.09,110.5,110.28
1524149100,110.52,110.08,110.22,110.5
1524148200,110.65,109.5,109.53,110.2
1524084300,109.4,109.25,109.36,109.31
1524083400,109.51,109.3,109.4,109.37
1524082500,109.61,109.39,109.49,109.41
1524081600,109.58,109.28,109.34,109.5
1524080700,109.43,109.07,109.17,109.34
1524079800,109.32,109.17,109.27,109.17
1524078900,109.28,109.18,109.19,109.27
1524078000,109.28,108.92,109,109.19
1524077100,109.16,108.99,109.05,108.99
1524076200,109.38,109,109.37,109.04
1524075300,109.49,109.28,109.41,109.36
1524074400,109.42,109.21,109.275,109.41
1524073500,109.3,109.09,109.15,109.28
1524072600,109.6,108.9,109.6,109.15
1524071700,110.095,109.61,110.08,109.619
1524070800,110.18,110.02,110.05,110.08
1524069900,110.24,109.98,110.079,110.04
1524069000,110.32,110.03,110.18,110.08
1524068100,110.6,110.17,110.6,110.17
1524067200,110.83,110.6,110.77,110.62
1524066300,110.79,110.53,110.55,110.77
1524065400,110.71,110.41,110.675,110.54
1524064500,110.73,110.42,110.46,110.675
1524063600,110.97,110.41,110.97,110.46
1524062700,111.07,110.74,110.74,110.96
1524061800,110.87,110.36,110.53,110.73
1523997900,110.7,110.2,110.69,110.21
1523997000,110.69,110.45,110.48,110.69
1523996100,110.62,110.36,110.36,110.49
1523995200,110.49,110.04,110.08,110.36
1523994300,110.17,109.99,110.1,110.08
1523993400,110.15,110.01,110.08,110.11
1523992500,110.33,110.03,110.29,110.08
1523991600,110.62,110.26,110.53,110.285
1523990700,110.6,110.32,110.44,110.54
1523989800,110.57,110.37,110.57,110.45
1523988900,110.77,110.37,110.77,110.6
1523988000,111,110.76,110.91,110.78
1523987100,111.15,110.9,111.01,110.91
1523986200,111.23,110.94,111.22,111.01
1523985300,111.28,111.14,111.22,111.23
1523984400,111.38,111.22,111.25,111.23
1523983500,111.33,111.1,111.1,111.25
1523982600,111.16,110.99,111.05,111.1
1523981700,111.17,110.9,111,111.05
1523980800,111.44,110.96,111.37,111
1523979900,111.52,111.29,111.43,111.36
1523979000,111.55,111.15,111.18,111.42
1523978100,111.63,111.11,111.57,111.18
1523977200,111.91,111.47,111.64,111.54
1523976300,111.66,111.33,111.37,111.64
1523975400,111.39,110.69,111.28,111.36
1523911500,110.73,110.19,110.7,110.21
1523910600,110.85,110.61,110.67,110.71
1523909700,110.865,110.49,110.8,110.68
1523908800,110.84,110.67,110.74,110.79
1523907900,110.88,110.63,110.79,110.74
1523907000,110.92,110.68,110.72,110.81
1523906100,110.84,110.64,110.765,110.72
1523905200,111.145,110.75,111.14,110.77
1523904300,111.27,111.06,111.11,111.14
1523903400,111.16,110.78,110.78,111.11
1523902500,111.095,110.75,111.06,110.75
1523901600,111.07,110.75,110.75,111.07
1523900700,110.74,110.29,110.29,110.74
1523899800,110.31,110.05,110.11,110.29
1523898900,110.36,109.96,110.36,110.088
1523898000,110.53,110.21,110.22,110.33
1523897100,110.17,109.8,110,110.17
1523896200,110.5,109.97,110.5,109.98
1523895300,110.67,110.37,110.66,110.52
1523894400,111.11,110.61,110.98,110.67
1523893500,111.29,110.81,111.23,110.96
1523892600,111.27,110.94,111.27,111.23
1523891700,111.27,110.52,110.66,111.25
1523890800,111.17,110.521,110.75,110.67
1523889900,111.18,110.43,110.72,110.71
1523889000,111.47,110.45,110.96,110.72
1523652300,110.38,109.61,109.61,110.3
1523651400,109.69,109.21,109.26,109.6
1523650500,109.76,109.05,109.75,109.26
1523649600,110.08,109.62,110.08,109.74
1523648700,110.159,109.96,110.09,110.08
1523647800,110.21,109.83,109.96,110.12
1523646900,110.17,109.81,110.17,109.98
1523646000,110.36,110.16,110.34,110.17
1523645100,110.41,110.22,110.25,110.34
1523644200,110.38,110,110.29,110.25
1523643300,110.39,109.99,109.995,110.28
1523642400,110.14,109.94,110.05,110
1523641500,110.09,109.76,109.95,110.04
1523640600,110.41,109.83,110.41,109.94
1523639700,110.74,110.09,110.64,110.42
1523638800,110.97,110.3,110.79,110.63
1523637900,110.94,110.26,110.46,110.75
1523637000,110.73,110.2,110.33,110.48
1523636100,110.59,109.87,110.08,110.33
1523635200,110.5,109.92,110.5,110.05
1523634300,111.44,110.5,111.25,110.5
1523633400,111.63,110.97,111.34,111.26
1523632500,112.35,111.29,112.17,111.39
1523631600,112.66,111.81,112.51,112.17
1523630700,113.49,112.45,113.33,112.5
1523629800,115.15,112.31,115,113.34
1523565900,113.84,113.3,113.84,113.38
1523565000,114.35,113.84,114.31,113.84
1523564100,114.39,113.879,114,114.33
1523563200,114,113.7,113.95,114
1523562300,113.951,113.6,113.85,113.95
1523561400,113.88,113.71,113.82,113.84
1523560500,113.84,113.38,113.38,113.788
1523559600,113.46,113.04,113.12,113.37
1523558700,113.44,113.03,113.24,113.13
1523557800,113.29,112.81,112.91,113.25
1523556900,113.26,112.84,113.1,112.92
1523556000,113.63,113.03,113.51,113.08
1523555100,113.56,113.38,113.47,113.5
1523554200,113.53,113.4,113.42,113.45
1523553300,113.47,113.15,113.16,113.42
1523552400,113.4,113.12,113.16,113.17
1523551500,113.32,112.88,113.32,113.17
1523550600,113.32,113.05,113.11,113.31
1523549700,113.3,113.07,113.15,113.13
1523548800,113.21,112.68,112.7,113.16
1523547900,112.97,112.545,112.97,112.7
1523547000,113.02,112.645,112.74,112.97
1523546100,112.86,112.49,112.51,112.73
1523545200,112.67,112.28,112.6,112.51
1523544300,112.7,112.41,112.45,112.6
1523543400,112.43,111.5,111.5,112.42
1523479500,110.92,110.55,110.92,110.63
1523478600,110.97,110.67,110.71,110.92
1523477700,110.77,110.52,110.64,110.7
1523476800,111.24,110.62,111.2,110.63
1523475900,111.18,110.92,111.03,111.18
1523475000,111.34,111.02,111.07,111.05
1523474100,111.42,111.06,111.21,111.06
1523473200,111.62,111.07,111.44,111.21
1523472300,111.48,111.2,111.33,111.41
1523471400,111.42,111.16,111.32,111.34
1523470500,111.53,111.25,111.25,111.32
1523469600,111.555,111.13,111.31,111.16
1523468700,111.59,111.07,111.59,111.31
1523467800,111.8,111.47,111.74,111.58
1523466900,111.8,111.48,111.58,111.73
1523466000,111.74,111.19,111.19,111.57
1523465100,111.37,111.11,111.21,111.19
1523464200,111.24,110.84,110.935,111.23
1523463300,111,110.66,110.94,110.94
1523462400,111.04,110.77,111.04,110.94
1523461500,111.71,111,111.7,111.03
1523460600,111.74,111.5,111.64,111.69
1523459700,111.625,111.17,111.23,111.62
1523458800,111.41,111.16,111.22,111.23
1523457900,111.34,110.89,111.31,111.22
1523457000,111.49,110.88,111.42,111.32
