date,high,low,open,close
1524496500,217.63,217.21,217.63,217.38
1524495600,218.17,217.57,218.17,217.57
1524494700,218.41,217.77,218.41,218.01
1524493800,218.73,218.02,218.02,218.47
1524257100,217.89,217.26,217.28,217.74
1524256200,217.57,217.17,217.32,217.31
1524255300,217.35,216.93,217.18,217.32
1524254400,217.53,216.86,217.53,217.15
1524253500,217.55,217.29,217.44,217.55
1524252600,217.72,217.24,217.52,217.47
1524251700,217.76,217.49,217.76,217.53
1524250800,218.08,217.79,217.9,217.81
1524249900,218.2,217.92,218.07,217.92
1524249000,218.09,217.65,217.65,217.99
1524248100,217.68,217.34,217.38,217.63
1524247200,217.42,217.14,217.19,217.4
1524246300,217.4,216.99,217.08,217.34
1524245400,217.39,216.9,217.2,217.12
1524244500,217.4,217.14,217.18,217.16
1524243600,217.59,217.11,217.59,217.17
1524242700,217.95,217.47,217.95,217.52
1524241800,218.02,217.64,217.64,217.86
1524240900,217.7,216.87,217.03,217.57
1524240000,218.04,216.76,218.04,216.99
1524239100,219.09,218.03,218.92,218.04
1524238200,219.51,218.82,219.45,218.92
1524237300,219.7,219.29,219.48,219.59
1524236400,219.81,219.43,219.77,219.55
1524235500,220.28,218.87,218.88,219.76
1524234600,218.87,218,218.41,218.68
1524170700,219.04,218.48,219.01,218.83
1524169800,219.13,217.67,217.75,218.92
1524168900,218.23,217.78,218.03,217.78
1524168000,218.26,217.98,218.09,218.1
1524167100,218.11,217.7,217.96,218.07
1524166200,217.96,217.43,217.47,217.96
1524165300,217.53,217.26,217.51,217.47
1524164400,217.66,217.41,217.46,217.57
1524163500,217.69,217.39,217.56,217.39
1524162600,217.53,217.05,217.34,217.5
1524161700,217.48,217.15,217.27,217.33
1524160800,217.32,217.03,217.11,217.32
1524159900,217.75,217.05,217.75,217.17
1524159000,217.94,217.62,217.665,217.8
1524158100,217.81,217.51,217.51,217.58
1524157200,217.63,217.29,217.63,217.39
1524156300,218.48,217.62,218.24,217.62
1524155400,218.28,217.6,218.17,218.1
1524154500,218.5,218,218.16,218.26
1524153600,218.78,218.11,218.78,218.22
1524152700,219.05,218.5,218.76,218.79
1524151800,219.27,218.61,218.82,218.79
1524150900,218.91,218.51,218.9,218.79
1524150000,218.9,217.9,218.1,218.9
1524149100,218.42,217.5,217.63,217.89
1524148200,218.91,217.51,218.19,217.51
1524084300,219.88,219.44,219.81,219.52
1524083400,220.04,219.8,220.04,219.83
1524082500,220.12,219.69,219.71,220.12
1524081600,219.99,219.67,219.86,219.81
1524080700,220.01,219.69,219.71,219.81
1524079800,219.85,219.46,219.85,219.68
1524078900,220.11,219.8,219.82,219.85
1524078000,219.83,219.16,219.2,219.73
1524077100,219.89,219.4,219.82,219.41
1524076200,219.96,219.68,219.93,219.77
1524075300,219.92,219.62,219.77,219.92
1524074400,219.87,219.2,219.2,219.76
1524073500,219.41,219.16,219.3,219.25
1524072600,219.71,219.24,219.71,219.24
1524071700,219.93,219.62,219.77,219.74
1524070800,219.83,219.49,219.79,219.71
1524069900,220.3,219.72,220.07,219.72
1524069000,220.44,220.19,220.33,220.19
1524068100,220.58,220.09,220.26,220.34
1524067200,220.7,220.28,220.33,220.36
1524066300,220.4,220.09,220.24,220.27
1524065400,220.11,219.89,220.11,220.07
1524064500,220.16,219.64,219.64,220.03
1524063600,220.71,219.52,220.71,219.52
1524062700,220.73,220.13,220.13,220.71
1524061800,221.01,219.38,220.99,219.98
1523997900,220.67,220.08,220.67,220.1
1523997000,220.98,220.515,220.93,220.68
1523996100,221.05,220.605,220.63,220.905
1523995200,220.83,220.155,220.24,220.61
1523994300,220.25,219.82,220.16,220.25
1523993400,220.21,219.93,220,220.155
1523992500,220.21,219.785,220.15,220.02
1523991600,220.55,220.11,220.22,220.11
1523990700,220.62,220.07,220.32,220.28
1523989800,220.46,220.09,220.11,220.28
1523988900,220.16,219.73,220.135,220.09
1523988000,220.5,220.11,220.34,220.11
1523987100,220.89,220.42,220.865,220.42
1523986200,221.26,220.695,221,220.79
1523985300,221.54,221.05,221.415,221.05
1523984400,221.53,221.11,221.11,221.38
1523983500,221.34,220.91,220.91,221.15
1523982600,221.15,220.62,221.1,220.87
1523981700,221.31,220.89,221.16,221.17
1523980800,221.68,221.1,221.55,221.11
1523979900,221.67,221.08,221.08,221.52
1523979000,221.06,220.14,220.25,221.06
1523978100,220.38,220.03,220.31,220.25
1523977200,220.51,220.18,220.22,220.3
1523976300,220.22,218.795,218.795,220.22
1523975400,219.79,218.77,219.15,218.94
1523911500,218.61,217.63,218.57,217.73
1523910600,218.68,218.09,218.09,218.55
1523909700,218.17,217.69,217.94,218.17
1523908800,218.34,217.93,218.22,217.97
1523907900,218.44,217.91,217.99,218.24
1523907000,218.44,217.92,218.26,218.16
1523906100,218.35,218.03,218.08,218.22
1523905200,218.67,218.11,218.63,218.11
1523904300,218.66,218.39,218.46,218.63
1523903400,218.7,218.29,218.55,218.42
1523902500,219.06,218.41,219,218.61
1523901600,219.26,218.93,218.95,219.06
