date,high,low,open,close
1524496500,95.59,95.21,95.23,95.55
1524495600,95.54,95.18,95.49,95.225
1524494700,95.545,95.03,95.5,95.49
1524493800,95.73,95.44,95.64,95.45
1524257100,95.05,94.76,94.87,95
1524256200,94.98,94.75,94.81,94.88
1524255300,94.88,94.48,94.66,94.81
1524254400,94.97,94.42,94.95,94.66
1524253500,94.98,94.65,94.87,94.94
1524252600,95.04,94.72,95,94.87
1524251700,95.08,94.915,95.06,94.99
1524250800,95.2,95.03,95.12,95.06
1524249900,95.325,95.05,95.14,95.12
1524249000,95.215,95,95.01,95.13
1524248100,95.03,94.67,94.76,95.02
1524247200,94.76,94.35,94.41,94.76
1524246300,94.525,94.24,94.3,94.41
1524245400,94.45,94.24,94.43,94.3
1524244500,94.5,94.24,94.385,94.435
1524243600,94.56,94.25,94.31,94.38
1524242700,94.51,94.19,94.36,94.33
1524241800,94.52,94.08,94.11,94.34
1524240900,94.52,94.06,94.23,94.11
1524240000,94.83,94.15,94.79,94.24
1524239100,95.27,94.7,95.24,94.79
1524238200,95.54,95.21,95.43,95.25
1524237300,95.49,95.085,95.085,95.44
1524236400,95.16,94.89,95.05,95.08
1524235500,95.38,94.97,95.37,95.05
1524234600,96.11,95.36,95.9,95.37
1524170700,96.36,95.975,96.26,96.11
1524169800,96.31,95.69,95.72,96.25
1524168900,96.02,95.71,95.86,95.72
1524168000,95.95,95.72,95.78,95.87
1524167100,95.88,95.66,95.83,95.8
1524166200,95.87,95.625,95.65,95.84
1524165300,95.86,95.56,95.86,95.66
1524164400,95.915,95.78,95.85,95.86
1524163500,95.95,95.78,95.87,95.83
1524162600,95.89,95.52,95.53,95.86
1524161700,95.66,95.51,95.51,95.53
1524160800,95.6,95.35,95.495,95.52
1524159900,95.88,95.48,95.82,95.5
1524159000,95.88,95.45,95.48,95.84
1524158100,95.66,95.44,95.5,95.49
1524157200,95.69,95.42,95.61,95.5
1524156300,96.05,95.61,96.045,95.65
1524155400,96.32,95.975,96.29,96.05
1524154500,96.38,96.13,96.24,96.3
1524153600,96.69,96.25,96.69,96.25
1524152700,96.74,96.45,96.66,96.69
1524151800,96.92,96.67,96.92,96.67
1524150900,97.07,96.81,97,96.92
1524150000,97.03,96.33,96.37,97
1524149100,96.39,95.97,96.11,96.37
1524148200,96.67,96.05,96.44,96.09
1524084300,96.67,96.34,96.62,96.44
1524083400,96.69,96.5,96.64,96.63
1524082500,96.72,96.53,96.54,96.63
1524081600,96.64,96.38,96.43,96.54
1524080700,96.64,96.41,96.45,96.41
1524079800,96.46,96.37,96.44,96.45
1524078900,96.49,96.365,96.47,96.44
1524078000,96.51,96.2,96.3,96.47
1524077100,96.43,96.26,96.37,96.295
1524076200,96.43,96.26,96.41,96.36
1524075300,96.56,96.395,96.56,96.4
1524074400,96.58,96.5,96.54,96.55
1524073500,96.56,96.46,96.555,96.54
1524072600,96.66,96.44,96.61,96.55
