date,high,low,open,close
1524496500,137.04,136.67,136.92,136.75
1524495600,137.47,136.85,137.43,136.87
1524494700,137.48,136.53,136.54,137.37
1524493800,137.09,136.47,137.09,136.47
1524257100,136.89,136.46,136.59,136.87
1524256200,136.91,136.5,136.61,136.59
1524255300,136.7,136.4,136.7,136.6
1524254400,136.78,136.42,136.78,136.71
1524253500,136.84,136.63,136.69,136.77
1524252600,136.98,136.63,136.94,136.73
1524251700,136.93,136.78,136.88,136.93
1524250800,136.97,136.85,136.85,136.92
1524249900,137.02,136.85,136.95,136.85
1524249000,137,136.87,136.91,136.95
1524248100,136.91,136.59,136.7,136.85
1524247200,136.74,136.34,136.38,136.71
1524246300,136.43,136.18,136.33,136.41
1524245400,136.61,136.29,136.53,136.29
1524244500,136.61,136.3,136.34,136.54
1524243600,136.55,136.29,136.53,136.32
1524242700,136.6,136.33,136.34,136.52
1524241800,136.48,136.02,136.05,136.36
1524240900,136.15,135.86,135.94,136.05
1524240000,136.52,135.85,136.46,135.96
1524239100,136.84,136.42,136.84,136.47
1524238200,137.16,136.75,137.16,136.83
1524237300,137.24,136.97,137.24,137.13
1524236400,137.74,137.14,137.72,137.27
1524235500,137.84,137.19,137.32,137.63
1524234600,137.24,136.86,136.86,137.05
1524170700,136.74,136.56,136.72,136.6
1524169800,136.76,136.08,136.11,136.69
1524168900,136.4,136.12,136.4,136.15
1524168000,136.52,136.4,136.44,136.44
1524167100,136.5,136.32,136.5,136.42
1524166200,136.57,136.37,136.42,136.5
1524165300,136.7,136.4,136.7,136.49
1524164400,136.93,136.73,136.81,136.73
1524163500,136.97,136.77,136.97,136.77
1524162600,137.02,136.83,136.95,136.98
1524161700,136.94,136.78,136.94,136.8
1524160800,136.86,136.71,136.85,136.86
1524159900,136.9,136.66,136.75,136.9
1524159000,136.89,136.72,136.89,136.72
1524158100,136.89,136.7,136.79,136.8
1524157200,136.84,136.61,136.66,136.78
1524156300,136.72,136.54,136.68,136.72
1524155400,136.775,136.55,136.73,136.775
1524154500,136.97,136.6,136.91,136.73
1524153600,136.95,136.78,136.95,136.91
1524152700,136.94,136.57,136.9,136.94
1524151800,137.49,136.94,137.39,136.94
1524150900,137.51,136.95,136.95,137.29
1524150000,137.15,136.83,137.15,136.89
1524149100,137.11,136.2,136.29,136.94
1524148200,136.36,135.67,135.75,136.22
1524084300,136.61,136.27,136.32,136.47
1524083400,136.51,136.2,136.35,136.35
1524082500,136.38,136.09,136.1,136.34
1524081600,136.15,135.65,135.67,136.09
1524080700,135.85,135.63,135.63,135.71
1524079800,135.73,135.59,135.66,135.59
1524078900,135.62,135.48,135.62,135.6
1524078000,135.56,135.21,135.3,135.52
1524077100,135.45,135.3,135.41,135.32
1524076200,135.73,135.45,135.72,135.45
1524075300,135.85,135.66,135.82,135.69
1524074400,135.88,135.73,135.74,135.88
1524073500,135.61,135.33,135.33,135.61
1524072600,135.69,135.33,135.69,135.36
1524071700,135.94,135.7,135.94,135.7
1524070800,136.03,135.93,135.96,135.93
1524069900,136.13,135.94,136.03,135.96
1524069000,136.21,135.91,136.07,135.91
1524068100,136.5,135.93,136.33,136
1524067200,136.53,136.18,136.53,136.35
1524066300,136.82,136.25,136.79,136.51
1524065400,137.08,136.61,137.08,136.77
1524064500,137.16,136.84,136.95,137.03
1524063600,137.27,136.87,137.25,136.9
1524062700,137.54,137.01,137.36,137.01
1524061800,137.9,137.28,137.77,137.34
1523997900,137.44,137.31,137.44,137.35
1523997000,137.56,137.27,137.35,137.475
1523996100,137.53,137.22,137.22,137.37
1523995200,137.34,137.02,137.14,137.14
1523994300,137.45,137.03,137.45,137.2
1523993400,137.38,137.23,137.23,137.37
1523992500,137.45,137.15,137.43,137.22
1523991600,137.83,137.4,137.75,137.42
1523990700,137.89,137.63,137.88,137.77
1523989800,137.79,137.59,137.69,137.78
1523988900,137.84,137.56,137.84,137.73
1523988000,137.99,137.8,137.94,137.84
1523987100,138.12,137.83,138.01,137.93
1523986200,138.23,138.02,138.14,138.02
1523985300,138.34,138.14,138.27,138.14
1523984400,138.35,138.12,138.31,138.25
1523983500,138.52,138.28,138.52,138.3
1523982600,138.61,138.46,138.49,138.54
1523981700,138.64,138.37,138.47,138.49
1523980800,138.87,138.45,138.81,138.45
1523979900,138.96,138.65,138.65,138.85
1523979000,138.62,138.43,138.54,138.57
1523978100,138.58,138.31,138.58,138.54
1523977200,138.79,138.47,138.47,138.56
1523976300,138.53,138.22,138.29,138.42
1523975400,138.42,137.87,138.25,138.22
1523911500,137.93,137.48,137.91,137.52
1523910600,137.95,137.75,137.87,137.87
1523909700,137.89,137.59,137.65,137.88
1523908800,137.71,137.51,137.51,137.64
1523907900,137.8,137.5,137.76,137.53
1523907000,137.77,137.57,137.59,137.76
1523906100,137.73,137.59,137.69,137.59
1523905200,138.17,137.86,138.17,137.87
1523904300,138.29,138.16,138.16,138.26
1523903400,138.2,137.98,137.98,138.14
1523902500,137.94,137.72,137.72,137.91
1523901600,137.91,137.66,137.66,137.68
1523900700,137.55,137.03,137.03,137.55
1523899800,137.19,136.99,137.04,137.08
1523898900,137.22,137.07,137.22,137.07
1523898000,137.39,137.23,137.28,137.25
1523897100,137.47,137.23,137.36,137.24
1523896200,137.81,137.37,137.8,137.37
1523895300,138.06,137.74,137.9,137.79
1523894400,137.92,137.65,137.72,137.9
1523893500,137.72,137.25,137.43,137.67
1523892600,137.46,137.17,137.34,137.44
1523891700,137.33,136.93,136.96,137.31
1523890800,137.47,136.9,137.34,136.9
1523889900,137.33,136.68,136.84,137.3
1523889000,137.4,136.39,137.32,136.96
1523652300,136.43,136.07,136.11,136.3
1523651400,136.19,135.61,135.66,136.07
1523650500,136.01,135.67,136.01,135.69
1523649600,136.33,135.99,136.33,136.06
1523648700,136.53,136.27,136.53,136.45
1523647800,136.65,136.41,136.54,136.54
1523646900,136.58,136.44,136.51,136.5
1523646000,136.72,136.63,136.69,136.63
1523645100,136.79,136.62,136.77,136.62
1523644200,136.66,136.53,136.55,136.66
1523643300,136.54,136.44,136.54,136.53
1523642400,136.44,136.27,136.27,136.44
1523641500,136.38,136.09,136.14,136.3
1523640600,136.19,135.94,136.08,136.19
1523639700,136.15,135.91,136.15,136.14
1523638800,136.43,135.95,136.29,136.08
1523637900,136.5,136.12,136.25,136.31
1523637000,136.51,136.23,136.44,136.23
1523636100,136.51,136.08,136.19,136.44
1523635200,136.51,136.1,136.33,136.1
1523634300,136.82,136.4,136.68,136.4
1523633400,136.93,136.59,136.59,136.62
1523632500,137.5,136.75,137.29,136.87
1523631600,137.86,137.16,137.59,137.32
1523630700,138.2,137.62,138.2,137.62
1523629800,138.42,137.88,138.37,138.15
1523565900,137.64,137.28,137.64,137.31
1523565000,137.98,137.64,137.98,137.64
1523564100,138.11,137.66,137.68,138.03
1523563200,137.76,137.52,137.61,137.76
1523562300,137.66,137.38,137.55,137.66
1523561400,137.64,137.52,137.64,137.52
1523560500,137.7,137.53,137.53,137.59
1523559600,137.46,137.23,137.23,137.44
1523558700,137.51,137.14,137.25,137.15
1523557800,137.24,137,137,137.19
1523556900,137.69,137.1,137.69,137.1
1523556000,137.95,137.56,137.95,137.62
1523555100,137.96,137.67,137.67,137.91
1523554200,137.59,137.43,137.48,137.54
1523553300,137.63,137.39,137.4,137.55
1523552400,137.44,137.35,137.39,137.44
1523551500,137.37,137.07,137.37,137.31
1523550600,137.4,137.09,137.39,137.4
1523549700,137.4,137.12,137.14,137.38
1523548800,137.19,136.82,136.83,137.19
1523547900,137.16,136.73,137.12,136.78
1523547000,137.37,137.12,137.25,137.13
1523546100,137.6,137.22,137.51,137.255
1523545200,137.72,137.38,137.67,137.5
1523544300,138.3,137.53,138.2,137.53
1523543400,138.29,137.35,137.35,138.27
1523479500,136.73,136.51,136.62,136.59
1523478600,136.8,136.44,136.44,136.71
1523477700,136.41,136.18,136.4,136.29
1523476800,136.82,136.42,136.78,136.45
1523475900,136.74,136.57,136.64,136.66
1523475000,136.81,136.62,136.67,136.8
1523474100,136.89,136.64,136.64,136.67
1523473200,136.96,136.57,136.96,136.73
1523472300,136.87,136.72,136.72,136.87
1523471400,136.78,136.57,136.67,136.75
1523470500,136.95,136.73,136.8,136.75
1523469600,137.03,136.71,137,136.77
1523468700,137.01,136.72,137.01,136.85
1523467800,137.03,136.821,137.03,137
1523466900,137.05,136.85,136.97,137.04
1523466000,137.07,136.68,136.68,137.07
1523465100,136.73,136.53,136.65,136.53
1523464200,136.84,136.46,136.46,136.65
1523463300,136.57,136.24,136.3,136.56
1523462400,136.24,135.94,135.98,136.23
1523461500,136.55,136.14,136.55,136.23
1523460600,136.91,136.59,136.71,136.65
1523459700,136.8,136.62,136.68,136.65
1523458800,136.68,136.47,136.57,136.54
1523457900,136.72,136.24,136.48,136.57
1523457000,136.52,135.7,135.8,136.52
1523393100,137.93,137.72,137.72,137.84
1523392200,137.77,137.38,137.56,137.73
1523391300,137.81,137.26,137.5,137.52
1523390400,137.6,137.22,137.59,137.5
1523389500,137.59,137.27,137.27,137.56
1523388600,137.71,137.13,137.57,137.32
1523387700,138.05,137.49,137.85,137.5
1523386800,138.07,137.74,137.98,137.88
1523385900,137.95,137.44,137.67,137.92
1523385000,137.96,137.56,137.61,137.7
1523384100,137.73,137.47,137.69,137.65
1523383200,137.69,137.34,137.36,137.69
1523382300,137.57,137.26,137.4,137.51
1523381400,137.59,137.2,137.2,137.42
1523380500,138.01,137.18,137.96,137.18
1523379600,138.13,137.95,138.01,137.97
1523378700,138.1,137.66,138.09,138.01
1523377800,138.57,138.08,138.41,138.16
1523376900,138.53,138.19,138.53,138.34
1523376000,138.78,138.34,138.34,138.52
1523375100,138.34,138.05,138.31,138.29
1523374200,138.6,138.28,138.43,138.32
1523373300,138.4,138.02,138.24,138.33
1523372400,138.41,137.64,137.83,138.29
1523371500,138.3,137.8,138.1,137.85
1523370600,138.9,138.14,138.7,138.25
1523306700,138.2,137.16,138.15,137.23
1523305800,138.5,137.98,138.38,138.16
1523304900,138.61,138.19,138.61,138.4
1523304000,138.86,138.54,138.72,138.74
1523303100,138.72,138.4,138.42,138.72
1523302200,138.67,138.36,138.46,138.4
1523301300,138.63,138.35,138.51,138.51
1523300400,138.98,138.51,138.98,138.52
1523299500,139.08,138.57,138.57,139.07
1523298600,138.67,138.51,138.61,138.56
1523297700,138.69,138.57,138.57,138.59
1523296800,138.58,138.27,138.32,138.58
1523295900,138.34,138.1,138.1,138.22
1523295000,138.21,138,138.21,138.02
1523294100,138.28,137.88,138.05,138.27
1523293200,138.11,137.79,137.94,138.1
1523292300,138.15,137.72,138,137.75
1523291400,137.96,137.6,137.62,137.96
1523290500,137.92,137.51,137.741,137.54
1523289600,137.74,137.28,137.4,137.74
1523288700,137.615,137.18,137.33,137.41
1523287800,137.74,137.155,137.29,137.29
