date,high,low,open,close
1524496500,123,122.7,122.85,122.8
1524495600,123.26,122.83,123.25,122.85
1524494700,123.34,123.08,123.33,123.16
1524493800,123.51,122.9,123.03,123.35
1524257100,123.07,122.73,122.79,123.05
1524256200,123.03,122.8,122.9,122.8
1524255300,122.91,122.6,122.74,122.9
1524254400,123,122.57,123,122.74
1524253500,123.04,122.9,122.95,123
1524252600,123.06,122.8,123.04,122.94
1524251700,123.14,123.02,123.08,123.05
1524250800,123.3,123.05,123.2,123.06
1524249900,123.25,123.07,123.16,123.16
1524249000,123.22,123.07,123.21,123.16
1524248100,123.15,122.95,123.1,123.15
1524247200,123.17,122.92,123.04,123.11
1524246300,123.38,123,123.37,123.06
1524245400,123.6,123.33,123.5,123.41
1524244500,123.85,123.5,123.7,123.51
1524243600,123.94,123.65,123.94,123.75
1524242700,123.98,123.75,123.82,123.91
1524241800,124.02,123.34,123.41,123.8
1524240900,123.49,122.57,122.83,123.34
1524240000,123.24,122.68,123.24,122.8
1524239100,123.76,123.18,123.67,123.2
1524238200,124.17,123.63,124.17,123.67
1524237300,124.22,123.93,124.04,124.16
1524236400,124.16,123.96,124.15,124.07
1524235500,124.5,123.76,123.95,124.15
1524234600,124,123.41,124,123.92
1524170700,124.08,123.53,124.06,123.85
1524169800,124.09,123.48,123.51,124.03
1524168900,123.75,123.47,123.75,123.51
1524168000,123.91,123.73,123.76,123.76
1524167100,123.83,123.36,123.43,123.79
1524166200,123.47,123.25,123.31,123.41
1524165300,123.52,123.16,123.47,123.28
1524164400,123.57,123.16,123.45,123.49
1524163500,123.61,123.41,123.61,123.43
1524162600,123.75,123.48,123.68,123.63
1524161700,123.94,123.69,123.92,123.69
1524160800,124.23,123.9,124.18,123.9
1524159900,124.54,124.16,124.44,124.2
1524159000,124.5,124.31,124.38,124.47
1524158100,124.4,124.11,124.18,124.32
1524157200,124.19,123.96,124.12,124.13
1524156300,124.72,124.11,124.69,124.17
1524155400,124.69,124.35,124.58,124.67
1524154500,124.87,124.58,124.81,124.64
1524153600,125.17,124.81,125.17,124.85
1524152700,125.47,125.09,125.32,125.2
1524151800,125.5,125.2,125.46,125.36
1524150900,125.56,125.32,125.47,125.45
1524150000,125.47,124.89,124.94,125.46
1524149100,124.93,124.57,124.73,124.93
1524148200,124.86,124.29,124.71,124.86
1524084300,124.87,124.69,124.71,124.8
1524083400,124.81,124.69,124.74,124.71
1524082500,124.85,124.69,124.7,124.74
1524081600,124.85,124.67,124.84,124.69
1524080700,124.94,124.78,124.83,124.82
1524079800,124.95,124.75,124.87,124.86
1524078900,124.91,124.73,124.73,124.88
1524078000,124.76,124.53,124.59,124.7
1524077100,124.73,124.6,124.62,124.6
1524076200,124.76,124.57,124.63,124.61
1524075300,124.69,124.51,124.61,124.64
1524074400,124.65,124.56,124.57,124.62
1524073500,124.64,124.47,124.56,124.53
1524072600,124.74,124.52,124.65,124.53
1524071700,124.8,124.61,124.77,124.68
1524070800,124.82,124.67,124.69,124.79
1524069900,124.88,124.63,124.69,124.69
1524069000,124.89,124.6,124.81,124.67
1524068100,124.78,124.58,124.7,124.66
1524067200,125.12,124.74,124.81,124.74
1524066300,124.8,124.57,124.74,124.78
1524065400,124.75,124.19,124.44,124.68
1524064500,124.5,124.31,124.45,124.42
1524063600,125,124.38,124.82,124.43
1524062700,125,124.44,124.65,124.85
1524061800,125.42,124.58,125.42,124.61
1523997900,125.1,124.51,125.02,124.58
1523997000,125.25,124.92,125.08,125.04
1523996100,125.13,124.57,124.57,125.08
1523995200,124.74,124.52,124.6,124.56
1523994300,124.84,124.57,124.8,124.6
1523993400,124.81,124.46,124.47,124.8
1523992500,124.83,124.41,124.75,124.5
1523991600,124.85,124.64,124.79,124.76
1523990700,125.03,124.78,124.96,124.79
1523989800,124.93,124.75,124.88,124.93
1523988900,124.87,124.42,124.66,124.87
1523988000,124.85,124.63,124.73,124.63
1523987100,125.25,124.78,125.23,124.81
1523986200,125.4,125.12,125.35,125.21
1523985300,125.61,125.35,125.61,125.38
1523984400,125.73,125.59,125.67,125.6
1523983500,125.86,125.55,125.58,125.67
1523982600,125.94,125.59,125.93,125.59
1523981700,125.95,125.56,125.75,125.94
1523980800,125.86,125.49,125.6,125.76
1523979900,125.62,125.13,125.15,125.58
1523979000,125.15,124.73,124.76,125.15
1523978100,124.92,124.65,124.91,124.7
1523977200,124.99,124.59,124.65,124.93
1523976300,124.65,124.19,124.22,124.62
1523975400,124.72,124.27,124.72,124.27
1523911500,123.98,123.76,123.89,123.82
1523910600,123.92,123.74,123.75,123.91
1523909700,123.87,123.5,123.87,123.74
1523908800,123.88,123.73,123.83,123.88
1523907900,124.02,123.7,123.7,123.83
1523907000,123.76,123.59,123.67,123.72
1523906100,123.81,123.59,123.68,123.67
1523905200,123.94,123.62,123.92,123.64
1523904300,123.97,123.7,123.76,123.88
1523903400,123.84,123.68,123.69,123.77
1523902500,123.79,123.57,123.79,123.73
1523901600,123.8,123.58,123.58,123.8
1523900700,123.65,123.09,123.09,123.57
1523899800,123.35,123.07,123.29,123.09
1523898900,123.35,123.08,123.21,123.29
1523898000,123.43,123.16,123.39,123.22
1523897100,123.365,123.16,123.26,123.34
1523896200,123.31,123.15,123.22,123.25
1523895300,123.4,123.15,123.27,123.33
1523894400,123.6,123.28,123.33,123.28
1523893500,123.75,123.19,123.73,123.29
1523892600,123.74,123.54,123.62,123.71
1523891700,123.61,123.05,123.22,123.58
1523890800,123.35,122.86,123.01,123.21
1523889900,123.38,122.86,123.24,123.01
1523889000,123.83,122.88,123.83,123.24
1523652300,122.93,122.44,122.44,122.71
1523651400,122.48,122.1,122.13,122.44
1523650500,122.29,121.85,122.29,122.14
1523649600,122.62,122.24,122.62,122.3
1523648700,122.93,122.61,122.92,122.65
1523647800,123.16,122.83,123.07,122.91
1523646900,123.16,123.03,123.16,123.14
1523646000,123.26,123.05,123.16,123.2
1523645100,123.23,123.06,123.23,123.13
1523644200,123.33,123.18,123.33,123.23
1523643300,123.34,123.1,123.22,123.31
1523642400,123.22,123.03,123.05,123.22
1523641500,123.05,122.9,122.95,123.01
1523640600,123.34,122.93,123.34,122.98
1523639700,123.43,123.15,123.15,123.42
1523638800,123.39,123.04,123.19,123.1
1523637900,123.27,123,123.17,123.22
1523637000,123.26,123,123.17,123.14
1523636100,123.21,122.82,122.84,123.21
1523635200,123.03,122.75,123.01,122.85
1523634300,123.41,123.08,123.12,123.13
1523633400,123.45,123.12,123.43,123.14
1523632500,123.94,123.36,123.9,123.46
1523631600,123.92,123.63,123.73,123.92
1523630700,123.88,123.71,123.81,123.82
1523629800,124,123.46,124,123.77
1523565900,123.46,123.15,123.46,123.25
1523565000,123.6,123.37,123.45,123.49
1523564100,123.65,123.37,123.5,123.48
1523563200,123.48,123.18,123.42,123.48
1523562300,123.44,123.24,123.38,123.38
1523561400,123.47,123.22,123.45,123.37
1523560500,123.64,123.44,123.48,123.44
1523559600,123.57,123.24,123.28,123.46
1523558700,123.56,123.19,123.52,123.28
1523557800,123.57,123.08,123.08,123.52
1523556900,123.59,123.11,123.59,123.18
1523556000,123.77,123.49,123.76,123.56
1523555100,123.78,123.65,123.67,123.73
1523554200,123.72,123.56,123.64,123.64
1523553300,123.77,123.62,123.76,123.65
1523552400,123.86,123.69,123.86,123.7
1523551500,123.8,123.6,123.77,123.8
1523550600,123.77,123.43,123.43,123.77
1523549700,123.57,123.21,123.22,123.42
1523548800,123.29,123.11,123.12,123.22
1523547900,123.24,122.96,123.21,123.13
1523547000,123.39,123.19,123.32,123.24
1523546100,123.47,123.26,123.36,123.3
1523545200,123.45,123.13,123.35,123.35
1523544300,123.52,123.24,123.27,123.37
1523543400,123.22,122.85,123.04,123.22
1523479500,122.58,122.31,122.52,122.44
