date,high,low,open,close
1524496500,124.97,124.41,124.415,124.85
1524495600,124.63,124.27,124.43,124.42
1524494700,124.5,124.22,124.27,124.45
1524493800,124.46,124.2,124.3,124.27
1524257100,124.25,123.71,123.75,124.2
1524256200,123.97,123.42,123.57,123.76
1524255300,123.7,123.39,123.48,123.57
1524254400,123.87,123.31,123.87,123.48
1524253500,123.94,123.7,123.8,123.87
1524252600,124.04,123.8,124.04,123.84
1524251700,124.04,123.9,124.04,124.03
1524250800,124.2,124.01,124.15,124.03
1524249900,124.48,124.19,124.4,124.2
1524249000,124.44,124.04,124.04,124.42
1524248100,123.96,123.71,123.77,123.96
1524247200,123.77,123.57,123.65,123.77
1524246300,123.76,123.51,123.65,123.65
1524245400,123.75,123.54,123.72,123.61
1524244500,124.09,123.67,124.09,123.72
1524243600,124.1,123.92,124.04,124.06
1524242700,124.13,123.95,124,124.03
1524241800,124.12,123.55,123.59,124.03
1524240900,124.09,123.58,124.07,123.605
1524240000,124.53,124,124.5,124.05
1524239100,124.78,124.24,124.76,124.52
1524238200,124.82,124.48,124.6,124.82
1524237300,124.61,124.42,124.44,124.61
1524236400,124.45,124,124.02,124.45
1524235500,124.14,123.89,124.07,124.01
1524234600,124.37,123.86,124.15,124.04
1524170700,124.05,123.825,123.94,123.95
1524169800,123.98,123.335,123.36,123.89
1524168900,123.6,123.37,123.45,123.37
1524168000,123.46,123.17,123.2,123.46
1524167100,123.33,123.16,123.32,123.18
1524166200,123.44,123.25,123.32,123.32
1524165300,123.575,123.26,123.535,123.33
1524164400,123.78,123.54,123.72,123.55
1524163500,123.92,123.68,123.89,123.69
1524162600,123.94,123.53,123.58,123.9
1524161700,123.73,123.59,123.67,123.61
1524160800,123.94,123.6,123.94,123.66
1524159900,124.24,123.92,124.08,123.96
1524159000,124.3,124.1,124.26,124.13
1524158100,124.325,124.09,124.11,124.28
1524157200,124.17,124.03,124.15,124.13
1524156300,124.36,124.11,124.26,124.16
1524155400,124.35,124.18,124.27,124.29
1524154500,124.31,124.1,124.12,124.28
1524153600,124.27,124.06,124.26,124.13
1524152700,124.43,124.11,124.29,124.25
1524151800,124.66,124.26,124.63,124.27
1524150900,124.7,124.445,124.52,124.64
1524150000,124.55,124.09,124.21,124.52
1524149100,124.29,123.76,124.08,124.2
1524148200,124.6,123.99,124.3,124.06
1524084300,124.69,124.5,124.68,124.5
1524083400,124.8,124.63,124.8,124.7
1524082500,124.87,124.72,124.72,124.79
1524081600,124.8,124.57,124.63,124.72
1524080700,124.77,124.6,124.66,124.6
1524079800,124.71,124.55,124.55,124.63
1524078900,124.7,124.56,124.65,124.57
1524078000,124.619,124.38,124.5,124.58
1524077100,124.67,124.5,124.66,124.5
1524076200,124.8,124.62,124.76,124.65
1524075300,124.78,124.67,124.76,124.76
1524074400,124.76,124.66,124.67,124.76
1524073500,124.71,124.589,124.68,124.69
1524072600,124.77,124.57,124.67,124.66
1524071700,124.77,124.6,124.72,124.68
1524070800,124.74,124.489,124.489,124.74
1524069900,124.58,124.38,124.45,124.45
1524069000,124.63,124.42,124.6,124.42
1524068100,124.61,124.47,124.58,124.6
1524067200,124.68,124.26,124.31,124.57
1524066300,124.38,124.22,124.23,124.31
1524065400,124.32,124.07,124.08,124.18
1524064500,124.12,123.42,123.42,124.08
1524063600,123.87,123.38,123.8,123.41
1524062700,123.79,123.54,123.74,123.79
1524061800,124.21,123.64,123.88,123.65
1523997900,124.25,123.79,124.23,123.82
1523997000,124.26,124.08,124.08,124.26
1523996100,124.15,124.05,124.1,124.07
1523995200,124.15,123.93,123.98,124.1
1523994300,124.06,123.93,123.93,123.99
1523993400,123.99,123.91,123.91,123.93
1523992500,124.02,123.73,123.95,123.91
1523991600,124.22,123.93,123.99,123.94
1523990700,124.01,123.85,123.96,124
1523989800,123.97,123.84,123.9,123.97
1523988900,123.94,123.65,123.9,123.94
1523988000,123.99,123.81,123.9,123.89
1523987100,123.9,123.75,123.78,123.9
1523986200,123.86,123.67,123.83,123.78
1523985300,123.91,123.81,123.91,123.84
1523984400,123.92,123.66,123.66,123.87
1523983500,123.72,123.59,123.69,123.64
1523982600,123.79,123.56,123.73,123.69
1523981700,123.82,123.6,123.66,123.73
1523980800,123.93,123.65,123.81,123.65
1523979900,123.88,123.46,123.48,123.79
1523979000,123.73,123.44,123.73,123.45
1523978100,124.06,123.71,124.03,123.76
1523977200,124.08,123.72,123.72,124.06
1523976300,123.72,123.02,123.11,123.72
1523975400,123.14,122.54,122.91,123.08
1523911500,122.29,121.83,122.25,121.91
1523910600,122.3,121.95,121.99,122.25
1523909700,122.09,121.87,122.08,122
1523908800,122.13,122,122.01,122.09
1523907900,122.16,121.94,122.11,122.03
1523907000,122.28,122.07,122.07,122.13
1523906100,122.21,122.03,122.03,122.12
1523905200,122.31,121.99,122.31,122
1523904300,122.52,122.27,122.47,122.32
1523903400,122.47,122.25,122.25,122.44
1523902500,122.8,122.26,122.78,122.26
1523901600,122.86,122.72,122.8,122.78
1523900700,122.79,122.37,122.37,122.68
1523899800,122.54,122.23,122.48,122.39
1523898900,122.56,122.45,122.47,122.48
1523898000,122.6,122.26,122.35,122.54
1523897100,122.47,122.33,122.42,122.34
1523896200,122.48,122.13,122.24,122.4
1523895300,122.31,121.98,122.04,122.29
1523894400,122.17,121.85,121.96,122.07
1523893500,122.24,121.9,122.2,121.96
1523892600,122.21,122.03,122.15,122.16
1523891700,122.17,121.97,122.08,122.17
1523890800,122.25,121.9,121.98,122
1523889900,122.06,121.72,122.02,121.98
1523889000,122.71,121.57,121.96,122
1523652300,121.29,120.96,121.13,121.14
1523651400,121.21,120.66,120.79,121.13
1523650500,121.09,120.7,121.09,120.83
1523649600,121.44,120.94,121.43,121.1
1523648700,121.6,121.375,121.55,121.46
1523647800,121.83,121.5,121.78,121.56
1523646900,121.8,121.65,121.8,121.79
1523646000,122.05,121.83,122.02,121.85
1523645100,122.17,121.74,121.78,122.02
1523644200,121.84,121.7,121.77,121.77
1523643300,121.85,121.51,121.52,121.77
1523642400,121.59,121.43,121.56,121.53
1523641500,121.71,121.41,121.51,121.57
1523640600,121.81,121.5,121.78,121.51
1523639700,121.83,121.59,121.76,121.81
1523638800,121.92,121.59,121.71,121.72
1523637900,121.73,121.51,121.7,121.73
1523637000,121.93,121.66,121.75,121.7
1523636100,121.82,121.47,121.47,121.75
1523635200,121.6,121.31,121.57,121.47
1523634300,122.11,121.6,121.8,121.6
1523633400,122.03,121.64,122,121.78
1523632500,122.47,122,122.15,122.04
1523631600,122.15,121.7,121.92,122.15
1523630700,122.37,121.96,122.22,121.97
1523629800,122.43,121.53,121.73,122.2
1523565900,121.63,120.99,121.62,121.05
1523565000,121.88,121.58,121.84,121.6
1523564100,121.91,121.6,121.7,121.87
1523563200,121.68,121.45,121.62,121.68
1523562300,121.68,121.43,121.68,121.59
1523561400,121.91,121.6,121.87,121.69
1523560500,121.97,121.78,121.8,121.86
1523559600,121.79,121.43,121.43,121.75
1523558700,121.61,121.37,121.51,121.44
1523557800,121.64,121.33,121.37,121.59
1523556900,121.63,121.38,121.58,121.43
1523556000,121.79,121.49,121.7,121.51
1523555100,121.75,121.52,121.52,121.67
1523554200,121.57,121.46,121.57,121.5
1523553300,121.67,121.48,121.52,121.57
1523552400,121.65,121.49,121.58,121.56
1523551500,121.72,121.29,121.72,121.59
1523550600,121.68,121.42,121.49,121.66
1523549700,121.64,121.33,121.33,121.54
1523548800,121.54,121.209,121.4,121.37
1523547900,121.49,121.07,121.27,121.4
1523547000,121.31,121,121.06,121.27
1523546100,121.25,120.96,121.14,121.04
1523545200,121.29,121.02,121.23,121.11
1523544300,121.35,121.06,121.29,121.26
1523543400,121.26,120.4,120.4,121.26
1523479500,120.01,119.62,120.01,119.82
1523478600,120.18,119.92,119.92,120.02
1523477700,119.95,119.7,119.9,119.91
1523476800,120.37,119.88,120.34,119.9
1523475900,120.44,120.2,120.27,120.29
1523475000,120.65,120.27,120.36,120.27
1523474100,120.69,120.37,120.55,120.37
1523473200,121,120.45,120.97,120.54
1523472300,120.99,120.63,120.71,120.91
1523471400,120.9,120.46,120.65,120.74
1523470500,120.9,120.61,120.61,120.68
1523469600,120.96,120.59,120.82,120.6
1523468700,121.03,120.72,121.03,120.82
1523467800,121.17,120.95,121.17,121.04
1523466900,121.27,121.03,121.21,121.1
1523466000,121.48,121.15,121.15,121.2
1523465100,121.21,121.06,121.06,121.08
1523464200,121.18,120.81,120.85,121.08
1523463300,120.92,120.64,120.81,120.8
1523462400,120.89,120.5,120.79,120.84
1523461500,121.47,120.81,121.47,120.81
1523460600,121.65,121.31,121.41,121.48
1523459700,121.53,120.94,121.01,121.4
1523458800,121.05,120.73,120.73,121.03
1523457900,120.82,120.49,120.81,120.73
1523457000,120.86,119.86,119.99,120.78
1523393100,121.06,120.66,120.78,120.79
1523392200,120.93,120.61,120.84,120.79
1523391300,121.03,120.65,120.88,120.85
1523390400,121,120.52,120.72,120.88
1523389500,120.7,120.36,120.47,120.7
